排名,名称,排位指数,指数变化,单边获胜率,胜率变化,热度排名
1,魔墙人偶,144.34,82.95,61.43%,10.5%,1
2,古月鸟,69.82,-5.79,53.82%,-0.74%,19
3,喷火龙,65.03,2.27,52.21%,0.87%,15
4,班基拉斯,64.39,-23.2,51.55%,-4.65%,4
5,耿鬼,63.9,5.32,51.34%,2.12%,3
6,甜冷美后,63.13,-2.2,51.25%,-0.48%,8
7,铝钢龙,62.31,-0.51,51.51%,-0.16%,37
8,藏饱栗鼠,62.01,1.35,51.17%,0.74%,36
9,怪力,61.95,-2.47,50.88%,-0.86%,16
10,妖火红狐,61.84,3.03,50.86%,1.43%,17
11,幸福蛋,60.87,-30.18,50.29%,-5.14%,12
12,甲贺忍蛙,60.51,3.08,50.18%,1.67%,2
13,白蓬蓬,60.36,-0.63,50.25%,-0.39%,40
14,坚盾剑怪,59.61,4.64,49.79%,2.42%,11
15,仙子伊布,59.57,4.09,49.83%,1.66%,27
16,梦幻,59.47,0.0,49.68%,0.0%,9
17,路卡利欧,59.14,6.07,49.54%,3.05%,13
18,象牙猪,58.84,1.23,49.57%,0.54%,32
19,快龙,58.51,-12.16,49.34%,-4.24%,25
20,太阳伊布,58.3,4.88,49.17%,1.62%,20
21,阿罗拉九尾,58.08,0.41,49.33%,0.26%,34
22,阿勃梭鲁,57.44,4.56,48.61%,2.03%,10
23,冰伊布,57.37,-2.37,48.54%,-1.31%,5
24,闪焰王牌,57.22,-1.03,48.46%,-0.54%,7
25,卡比兽,56.72,-2.87,48.49%,-1.29%,22
26,皮卡丘,56.7,-1.82,48.2%,-0.91%,6
27,烈箭鹰,56.37,13.6,47.96%,3.5%,14
28,沙奈朵,56.24,-3.12,48.57%,-1.16%,28
29,烈咬陆鲨,55.87,1.76,49.03%,0.34%,38
30,朽木妖,55.66,-2.12,48.25%,-0.78%,26
31,胡帕,55.1,-1.98,47.64%,-0.74%,30
32,胖可丁,55.05,3.38,48.23%,0.27%,35
33,妙蛙花,54.31,0.16,47.2%,0.08%,17
34,狙射树枭,53.78,2.06,46.96%,0.83%,21
35,水箭龟,53.66,-0.76,47.57%,-0.27%,31
36,岩殿居蟹,53.41,1.94,47.46%,0.16%,29
37,捷拉奥拉,53.11,1.17,47.16%,0.39%,24
38,呆壳兽,53.08,-4.73,47.07%,-1.73%,23
39,玛力露丽,47.06,1.04,46.94%,0.05%,39
40,爆肌蚊,42.3,-2.37,44.05%,-1.16%,33
