排名,名称,排位指数,指数变化,单边获胜率,胜率变化,热度排名,选出率,百大选出率,百大选出排名,百大选出率变化
1,魔墙人偶,84.54,-3.45,56.07%,0.17%,2,31.59%,24.67%,2,-5.84%
2,梦幻,77.72,-6.12,54.5%,-0.72%,4,23.45%,24.8%,1,-8.24%
3,嘟嘟利,72.98,3.62,54.28%,0.88%,9,16.29%,20.28%,3,2.71%
4,白蓬蓬,66.6,-3.52,52.25%,-1.01%,5,21.61%,3.38%,14,2.0%
5,铝钢龙,65.24,1.14,53.01%,0.6%,30,7.1%,0.3%,37,-0.25%
6,妙蛙花,64.1,-0.97,51.01%,0.08%,1,35.32%,5.2%,9,1.12%
7,喷火龙,63.16,-0.85,51.25%,-0.34%,11,15.17%,1.64%,21,-0.86%
8,甜冷美后,62.85,1.03,51.36%,0.5%,16,11.69%,11.41%,5,-0.15%
9,藏饱栗鼠,62.22,-0.89,51.55%,-0.59%,43,3.14%,0.3%,38,-0.92%
10,班基拉斯,62.22,-0.37,51.16%,-0.28%,23,8.91%,1.01%,26,-0.05%
11,烈咬陆鲨,62.04,1.67,51.22%,1.04%,32,6.46%,3.63%,12,2.45%
12,象牙猪,60.73,0.39,50.31%,0.15%,10,15.97%,3.1%,16,0.88%
13,怪力,60.58,0.18,50.33%,0.1%,26,7.46%,2.09%,20,0.25%
14,玛力露丽,60.15,-1.34,50.06%,-0.53%,7,17.87%,5.91%,7,0.53%
15,坚盾剑怪,59.32,-1.13,49.68%,-0.51%,17,10.69%,8.61%,6,-3.42%
16,路卡利欧,59.19,1.0,49.59%,0.46%,14,12.57%,5.58%,8,0.16%
17,妖火红狐,59.04,0.77,49.51%,0.34%,13,13.9%,3.51%,13,0.84%
18,幸福蛋,58.96,-0.48,49.48%,-0.23%,20,9.82%,3.11%,15,0.04%
19,甲贺忍蛙,58.27,-0.47,48.95%,-0.25%,6,20.65%,2.81%,17,-0.52%
20,古月鸟,58.26,-3.72,49.57%,-1.81%,41,4.06%,0.31%,36,0.05%
21,冰伊布,57.98,-1.75,49.12%,-0.76%,19,9.92%,4.55%,10,-1.07%
22,索罗亚克,57.86,1.09,48.58%,0.54%,3,28.33%,13.25%,4,8.56%
23,卡比兽,57.63,0.72,48.96%,0.28%,21,9.7%,2.52%,19,-0.8%
24,耿鬼,57.51,-0.92,48.85%,-0.31%,24,8.69%,1.11%,25,-3.81%
25,闪焰王牌,57.27,0.35,48.74%,0.13%,18,10.36%,0.78%,28,-0.04%
26,阿罗拉九尾,57.25,-0.2,49.03%,-0.19%,31,6.66%,2.72%,18,2.49%
27,狙射树枭,56.81,0.69,48.4%,0.29%,15,11.96%,0.23%,44,-0.28%
28,岩殿居蟹,56.68,-0.24,48.79%,-0.05%,29,7.24%,0.88%,27,0.74%
29,巨钳螳螂,56.46,-0.83,48.13%,-0.34%,8,16.45%,3.71%,11,1.55%
30,皮卡丘,56.2,-0.22,48.02%,-0.18%,12,14.9%,1.32%,23,0.71%
31,沙奈朵,55.87,0.62,48.57%,0.07%,34,5.72%,0.58%,31,0.12%
32,捷拉奥拉,55.2,-0.22,48.12%,-0.21%,27,7.38%,0.28%,40,-0.21%
33,太阳伊布,54.51,2.7,47.96%,0.95%,28,7.34%,0.26%,42,0.2%
34,阿勃梭鲁,53.97,-2.56,47.32%,-0.88%,22,9.45%,0.75%,29,-4.62%
35,呆壳兽,53.68,-3.93,47.53%,-1.54%,25,8.34%,0.71%,30,-0.29%
36,烈箭鹰,52.86,1.07,47.59%,0.35%,33,5.79%,0.55%,32,0.08%
37,仙子伊布,52.53,2.74,47.87%,0.81%,40,4.72%,0.25%,43,0.07%
38,胖可丁,52.51,0.42,47.69%,0.01%,36,5.38%,0.38%,35,-0.71%
39,朽木妖,52.0,0.19,47.48%,0.26%,35,5.57%,0.28%,41,-0.42%
40,爆肌蚊,51.24,7.15,47.38%,2.16%,38,5.08%,0.55%,33,-0.15%
41,水箭龟,50.11,-2.14,46.87%,-0.57%,37,5.32%,0.3%,39,0.07%
42,快龙,49.45,-6.36,47.77%,-1.22%,44,3.03%,0.4%,34,-0.55%
43,胡帕,48.32,-6.18,47.24%,-1.2%,42,3.21%,1.41%,22,0.59%
44,皮可西,30.29,-12.17,41.79%,-1.05%,39,4.76%,1.29%,24,0.19%
