排名,名称,排位指数,指数变化,单边获胜率,胜率变化,热度排名,选出率
1,勾魂眼,79.04,0.0,55.05%,0.0%,6,18.68%
2,魔墙人偶,73.27,-10.99,54.07%,-1.67%,2,21.19%
3,铝钢龙,66.59,0.86,53.81%,0.62%,34,6.96%
4,梦幻,65.28,-15.48,51.76%,-3.4%,15,13.72%
5,班基拉斯,64.18,2.86,52.28%,1.56%,29,8.39%
6,嘟嘟利,63.74,-10.34,51.55%,-2.89%,22,9.98%
7,白蓬蓬,63.61,-1.67,51.6%,-0.35%,16,13.49%
8,幸福蛋,63.42,4.4,51.59%,2.05%,24,9.6%
9,烈咬陆鲨,63.38,1.12,52.16%,0.74%,39,4.88%
10,甜冷美后,63.0,0.82,51.06%,0.07%,8,17.35%
11,喷火龙,62.78,0.71,51.12%,0.3%,12,15.17%
12,沙奈朵,62.43,8.42,50.87%,2.95%,7,18.05%
13,仙子伊布,61.92,6.14,50.63%,1.94%,4,19.94%
14,藏饱栗鼠,61.59,-0.2,51.14%,-0.12%,44,2.93%
15,玛力露丽,60.99,0.41,50.41%,0.18%,9,16.7%
16,古月鸟,60.93,0.46,50.64%,0.32%,42,3.92%
17,甲贺忍蛙,60.34,1.23,50.12%,0.66%,5,19.93%
18,妙蛙花,60.17,-0.72,50.06%,-0.21%,1,21.78%
19,象牙猪,60.09,-1.08,50.04%,-0.44%,11,15.21%
20,路卡利欧,59.91,0.18,49.95%,0.1%,14,13.86%
21,水箭龟,59.42,5.49,49.7%,1.79%,19,12.56%
22,闪焰王牌,59.18,2.91,49.6%,1.37%,21,11.32%
23,妖火红狐,59.06,0.39,49.55%,0.23%,20,12.29%
24,呆壳兽,58.76,3.08,49.38%,1.13%,17,13.36%
25,怪力,58.67,-1.29,49.45%,-0.53%,30,8.3%
26,巨钳螳螂,58.37,0.73,49.16%,0.44%,13,14.4%
27,冰伊布,58.28,-0.56,49.25%,-0.23%,25,9.55%
28,坚盾剑怪,58.09,-1.34,49.17%,-0.55%,26,9.26%
29,卡比兽,57.85,-0.65,49.02%,-0.28%,23,9.91%
30,耿鬼,57.73,0.87,48.98%,0.42%,28,8.78%
31,索罗亚克,57.55,-1.95,48.53%,-1.15%,3,20.37%
32,皮卡丘,56.99,0.79,48.39%,0.45%,10,16.04%
33,阿罗拉九尾,56.83,-0.19,48.83%,0.05%,32,7.34%
34,捷拉奥拉,56.57,0.95,48.69%,0.36%,33,7.19%
35,狙射树枭,55.48,-0.68,47.69%,-0.28%,18,12.97%
36,胖可丁,53.83,1.04,48.04%,0.35%,38,5.19%
37,快龙,53.71,8.04,48.45%,1.29%,43,3.12%
38,岩殿居蟹,53.66,-1.89,47.9%,-0.51%,37,5.81%
39,太阳伊布,53.24,0.2,47.49%,0.23%,31,7.43%
40,阿勃梭鲁,51.95,-0.83,46.56%,-0.26%,27,8.9%
41,朽木妖,50.07,-0.03,47.27%,0.3%,41,4.61%
42,烈箭鹰,49.49,-2.02,46.43%,-0.57%,35,5.97%
43,爆肌蚊,48.97,-1.0,46.84%,-0.3%,40,4.78%
44,皮可西,44.77,17.77,44.81%,2.61%,36,5.92%
45,胡帕,41.15,-5.15,46.96%,-0.22%,45,2.18%
