排名,名称,排位指数,指数变化,单边获胜率,胜率变化,热度排名
1,古月鸟,80.39,3.36,55.69%,0.97%,3
2,幸福蛋,77.54,4.47,53.83%,0.71%,1
3,快龙,71.16,0.62,53.96%,-0.08%,9
4,甜冷美后,70.58,2.82,53.41%,0.67%,6
5,怪力,69.05,-1.3,53.11%,-0.27%,7
6,铝钢龙,64.94,0.82,52.81%,0.43%,28
7,胡帕,63.79,1.77,51.24%,0.6%,21
8,喷火龙,62.7,-0.35,51.27%,-0.12%,18
9,藏饱栗鼠,62.66,-1.89,51.6%,-1.11%,33
10,烈咬陆鲨,60.06,-1.3,50.04%,-0.84%,37
11,妖火红狐,60.02,0.7,50.01%,0.36%,17
12,卡比兽,59.98,1.11,49.99%,0.59%,16
13,耿鬼,59.55,-1.5,49.74%,-0.69%,11
14,白蓬蓬,59.47,-0.11,49.85%,-0.03%,35
15,阿罗拉九尾,59.47,0.89,49.79%,0.32%,27
16,水箭龟,59.22,-1.32,49.65%,-0.62%,23
17,呆壳兽,59.05,-0.38,49.47%,-0.2%,10
18,皮卡丘,59.03,-0.32,49.37%,-0.21%,2
19,冰伊布,58.79,1.88,49.25%,1.36%,5
20,朽木妖,58.63,-1.09,49.43%,-0.45%,25
21,捷拉奥拉,58.37,0.51,49.22%,0.3%,19
22,象牙猪,58.14,-0.37,49.23%,-0.16%,24
23,仙子伊布,57.96,0.58,49.15%,0.29%,26
24,甲贺忍蛙,57.89,1.2,48.81%,0.68%,8
25,闪焰王牌,57.46,0.08,48.66%,0.05%,13
26,魔墙人偶,57.41,-2.91,49.38%,-0.84%,38
27,妙蛙花,57.3,0.85,48.64%,0.43%,14
28,坚盾剑怪,57.28,0.65,48.73%,0.29%,20
29,沙奈朵,57.14,1.02,48.96%,0.3%,32
30,路卡利欧,55.75,-1.02,47.62%,-0.41%,12
31,岩殿居蟹,55.53,-1.49,48.31%,-0.54%,29
32,狙射树枭,54.06,0.23,46.98%,0.2%,15
33,阿勃梭鲁,53.08,-1.48,46.76%,-0.74%,22
34,爆肌蚊,52.12,0.0,44.59%,0.0%,4
35,太阳伊布,52.04,2.18,47.1%,0.65%,31
36,玛力露丽,50.99,-2.86,47.55%,-0.39%,34
37,胖可丁,50.64,0.54,47.36%,0.21%,36
38,烈箭鹰,48.65,-2.12,46.13%,-0.66%,30
