,一共游戏场数,4303
1,甜冷美后,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,54,17.71%,544,71.39%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,RB_pyi,61,91.04%
,,Kenoken,49,71.01%
,,버즈따갈피스,47,77.05%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,踩踏		热带踢	攻击强化,210,77.21%,22
,,踩踏		热带踢	速度强化,119,67.61%,19
,,踩踏		青草滑梯	速度强化,83,74.11%,13
,,踩踏		热带踢	万灵药,80,66.67%,11
,,踩踏		青草滑梯	伤药	,21,70.0%,2
,,踩踏		青草滑梯	攻击强化,20,57.14%,5
,,踩踏		热带踢	伤药	,6,100.0%,3
,,三旋击	热带踢	攻击强化,1,100.0%,1
,,三旋击	青草滑梯	伤药	,1,100.0%,1
,,三旋击	青草滑梯	万灵药,1,50.0%,2
,,三旋击	青草滑梯	速度强化,1,50.0%,1
,,踩踏		青草滑梯	万灵药,1,20.0%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,猛攻哑铃	气势头带	弱点保险,375,72.67%,36
,,亿奥斯饼干	猛攻哑铃	弱点保险,15,93.75%,2
,,猛攻哑铃	力量头带	弱点保险,11,64.71%,2
,,亿奥斯饼干	猛攻哑铃	气势头带,1,50.0%,2
,,能量增幅器	猛攻哑铃	弱点保险,49,71.01%,1
,,气势头带	力量头带	弱点保险,26,76.47%,1
,,猛攻哑铃	气势头带	焦点镜,16,64.0%,1
,,猛攻哑铃	气势头带	力量头带,12,57.14%,1
,,亿奥斯饼干	猛攻哑铃	力量头带,3,37.5%,1
,,救援屏障	猛攻哑铃	气势头带,1,50.0%,1
,,猛攻哑铃	气势头带	锐利之爪,0,0.0%,1
2,幸福蛋,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,51,17.24%,531,71.56%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,さみしい'04,81,69.83%
,,TE・999,67,66.34%
,,jĹ,30,76.92%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,炸蛋		生蛋		速度强化,417,71.4%,41
,,帮助		神秘守护	速度强化,52,71.23%,14
,,炸蛋		生蛋		攻击强化,30,81.08%,2
,,炸蛋		神秘守护	速度强化,17,65.38%,8
,,帮助		生蛋		速度强化,4,80.0%,5
,,炸蛋		生蛋		逃脱按键,4,57.14%,3
,,炸蛋		生蛋		万灵药,3,100.0%,1
,,炸蛋		生蛋		伤药	,3,100.0%,1
,,帮助		生蛋		攻击强化,1,100.0%,1
,,帮助		神秘守护	伤药	,0,0.0%,1
,,帮助		生蛋		逃脱按键,0,0.0%,1
,,炸蛋		生蛋		迟缓烟雾,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,救援屏障	学习装置	气势头带,215,71.19%,15
,,救援屏障	进击眼镜	气势头带,39,60.94%,6
,,能量增幅器	进击眼镜	气势头带,84,68.85%,3
,,讲究眼镜	救援屏障	气势头带,22,81.48%,3
,,能量增幅器	救援屏障	气势头带,4,57.14%,3
,,能量增幅器	进击眼镜	贝壳之铃,16,80.0%,2
,,讲究眼镜	进击眼镜	气势头带,5,62.5%,2
,,讲究眼镜	救援屏障	进击眼镜,30,76.92%,1
