,一共游戏场数,5786
1,路卡利欧,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,83,21.71%,901,71.74%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,EspoirСвёт,89,66.42%
,,OGwastaken,83,74.11%
,,NoL_Reirei,49,67.12%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,神速		骨棒乱打	万灵药,396,69.6%,49
,,神速		骨棒乱打	速度强化,256,75.29%,18
,,增强拳	近身战	攻击强化,55,78.57%,16
,,增强拳	近身战	速度强化,51,67.11%,13
,,增强拳	近身战	逃脱按键,31,70.45%,3
,,增强拳	近身战	伤药	,27,72.97%,7
,,神速		近身战	速度强化,20,64.52%,7
,,增强拳	近身战	向尾喵的尾巴,16,76.19%,2
,,神速		骨棒乱打	攻击强化,9,90.0%,5
,,增强拳	近身战	万灵药,9,52.94%,9
,,神速		近身战	得分加速装置,5,83.33%,1
,,神速		近身战	万灵药,4,80.0%,4
,,神速		骨棒乱打	逃脱按键,4,80.0%,2
,,神速		近身战	攻击强化,3,100.0%,3
,,增强拳	骨棒乱打	攻击强化,3,100.0%,2
,,增强拳	近身战	得分加速装置,3,60.0%,1
,,神速		骨棒乱打	伤药	,2,100.0%,2
,,增强拳	近身战	迟缓烟雾,2,100.0%,1
,,增强拳	骨棒乱打	速度强化,2,66.67%,3
,,神速		骨棒乱打	得分加速装置,2,66.67%,1
,,增强拳	骨棒乱打	万灵药,1,33.33%,2
,,神速		骨棒乱打	向尾喵的尾巴,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,猛攻哑铃	锐利之爪	弱点保险,260,72.42%,28
,,猛攻哑铃	力量头带	锐利之爪,262,73.8%,18
,,猛攻哑铃	力量头带	弱点保险,148,71.5%,17
,,猛攻哑铃	气势头带	力量头带,33,63.46%,4
,,猛攻哑铃	气势头带	锐利之爪,4,66.67%,4
,,亿奥斯饼干	猛攻哑铃	气势头带,25,80.65%,3
,,猛攻哑铃	气势头带	弱点保险,19,82.61%,2
,,得分护盾	猛攻哑铃	力量头带,89,66.42%,1
,,猛攻哑铃	轻石		锐利之爪,38,64.41%,1
,,救援屏障	猛攻哑铃	力量头带,1,100.0%,1
,,猛攻哑铃	力量头带	焦点镜,1,50.0%,1
,,力量头带	锐利之爪	焦点镜,0,0.0%,1
2,胡帕,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,66,15.61%,682,75.53%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,iamJPN,64,83.12%
,,ENT・ProD,60,77.92%
,,jĹ,44,83.02%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,潜灵奇袭	异次元洞	速度强化,220,72.13%,33
,,潜灵奇袭	异次元洞	逃脱按键,124,81.05%,12
,,异次元猛攻	幻象光线	速度强化,81,81.82%,28
,,暗影球	异次元洞	速度强化,73,70.87%,12
,,暗影球	异次元洞	伤药	,47,77.05%,2
,,异次元猛攻	幻象光线	逃脱按键,40,88.89%,10
,,暗影球	异次元洞	逃脱按键,39,69.64%,5
,,潜灵奇袭	异次元洞	攻击强化,22,66.67%,6
,,异次元猛攻	幻象光线	攻击强化,12,92.31%,5
,,异次元猛攻	幻象光线	伤药	,9,75.0%,2
,,潜灵奇袭	异次元洞	伤药	,8,66.67%,5
,,暗影球	异次元洞	攻击强化,5,71.43%,5
,,潜灵奇袭	戏法		速度强化,1,100.0%,1
,,暗影球	戏法		速度强化,1,100.0%,1
,,潜灵奇袭	戏法		攻击强化,0,0.0%,1
,,潜灵奇袭	戏法		逃脱按键,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,学习装置	气势头带	力量头带,372,77.02%,23
,,救援屏障	气势头带	力量头带,96,76.19%,11
,,救援屏障	学习装置	力量头带,66,78.57%,10
,,救援屏障	学习装置	气势头带,92,73.02%,6
,,讲究眼镜	气势头带	力量头带,32,68.09%,6
,,能量增幅器	学习装置	力量头带,7,58.33%,1
,,讲究眼镜	能量增幅器	力量头带,5,62.5%,1
,,讲究眼镜	学习装置	气势头带,3,75.0%,1
,,讲究眼镜	力量头带	焦点镜,2,66.67%,1
,,能量增幅器	救援屏障	气势头带,1,100.0%,1
,,气势头带	力量头带	博识眼镜,1,100.0%,1
,,能量增幅器	学习装置	气势头带,1,100.0%,1
,,讲究眼镜	救援屏障	力量头带,0,0.0%,1
3,快龙,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,56,10.65%,476,77.27%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,HMB_WKAIRYUW,46,68.66%
,,5i・Keep,45,88.24%
,,CSC・f3rZera,43,86.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,龙之舞	破坏光线	万灵药,275,74.53%,27
,,龙之舞	破坏光线	攻击强化,125,81.17%,20
,,龙之舞	破坏光线	逃脱按键,70,83.33%,13
,,龙之舞	逆鳞		万灵药,2,50.0%,2
,,神速		逆鳞		速度强化,1,100.0%,1
,,龙之舞	逆鳞		攻击强化,1,100.0%,1
,,神速		逆鳞		逃脱按键,1,100.0%,1
,,龙之舞	逆鳞		逃脱按键,1,100.0%,1
,,神速		逆鳞		万灵药,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,气势头带	力量头带	锐利之爪,212,81.85%,27
,,气势头带	力量头带	焦点镜,91,73.98%,11
,,救援屏障	气势头带	力量头带,83,70.34%,5
,,力量头带	锐利之爪	焦点镜,10,76.92%,4
,,猛攻哑铃	气势头带	力量头带,27,72.97%,3
,,救援屏障	猛攻哑铃	力量头带,45,88.24%,1
,,亿奥斯饼干	气势头带	力量头带,1,100.0%,1
,,救援屏障	气势头带	锐利之爪,1,100.0%,1
,,猛攻哑铃	力量头带	焦点镜,0,0.0%,1
,,救援屏障	猛攻哑铃	焦点镜,0,0.0%,1
4,甲贺忍蛙,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,61,9.83%,398,69.95%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,N_O_B,50,71.43%
,,공급,38,66.67%
,,caligola999,29,87.88%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,冲浪		烟幕		攻击强化,284,69.27%,40
,,冲浪		烟幕		逃脱按键,64,77.11%,13
