,一共游戏场数,1835
1,路卡利欧,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,39,20.11%,267,72.36%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Hinasakiです,25,75.76%
,,EspoirСвёт,25,71.43%
,,너도내꺼,24,80.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,神速		骨棒乱打	万灵药,185,72.83%,25
,,神速		骨棒乱打	速度强化,41,69.49%,7
,,增强拳	近身战	攻击强化,12,85.71%,9
,,增强拳	近身战	速度强化,12,80.0%,6
,,神速		近身战	速度强化,7,70.0%,6
,,神速		骨棒乱打	攻击强化,3,75.0%,2
,,增强拳	近身战	逃脱按键,3,42.86%,2
,,神速		近身战	万灵药,2,100.0%,2
,,增强拳	近身战	万灵药,1,100.0%,1
,,增强拳	骨棒乱打	攻击强化,1,50.0%,1
,,神速		骨棒乱打	逃脱按键,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,猛攻哑铃	锐利之爪	弱点保险,87,75.0%,13
,,猛攻哑铃	力量头带	弱点保险,129,74.14%,10
,,猛攻哑铃	力量头带	锐利之爪,42,63.64%,10
,,猛攻哑铃	气势头带	弱点保险,3,75.0%,2
,,猛攻哑铃	锐利之爪	焦点镜,2,66.67%,1
,,得分护盾	猛攻哑铃	力量头带,2,50.0%,1
,,力量头带	锐利之爪	弱点保险,1,100.0%,1
,,能量增幅器	猛攻哑铃	弱点保险,1,100.0%,1
2,快龙,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,31,15.86%,204,70.1%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,R0juu,28,75.68%
,,竜舞ぱらてゃ,23,79.31%
,,¥onkoメKiryu,20,80.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,龙之舞	破坏光线	万灵药,83,68.03%,15
,,龙之舞	破坏光线	攻击强化,66,68.04%,11
,,龙之舞	破坏光线	逃脱按键,33,75.0%,5
,,龙之舞	破坏光线	得分加速装置,22,78.57%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,气势头带	力量头带	锐利之爪,133,70.74%,17
,,气势头带	力量头带	焦点镜,26,68.42%,5
,,猛攻哑铃	气势头带	力量头带,11,73.33%,2
,,力量头带	锐利之爪	焦点镜,9,52.94%,2
,,得分护盾	气势头带	力量头带,23,79.31%,1
,,救援屏障	气势头带	力量头带,1,100.0%,1
,,猛攻哑铃	气势头带	弱点保险,1,100.0%,1
,,能量增幅器	力量头带	贝壳之铃,0,0.0%,1
,,猛攻哑铃	力量头带	焦点镜,0,0.0%,1
3,幸福蛋,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,25,9.43%,131,75.72%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,퍼밍,24,75.0%
,,"BTW_Deku,",14,93.33%
,,MW・TwoKiiL,13,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,炸蛋		生蛋		速度强化,58,74.36%,15
,,帮助		神秘守护	速度强化,35,71.43%,7
,,炸蛋		神秘守护	速度强化,24,77.42%,10
,,炸蛋		生蛋		伤药	,6,100.0%,1
,,帮助		神秘守护	伤药	,6,85.71%,1
,,帮助		生蛋		伤药	,2,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,救援屏障	进击眼镜	气势头带,34,62.96%,7
,,能量增幅器	救援屏障	气势头带,22,84.62%,5
,,讲究眼镜	救援屏障	气势头带,13,76.47%,3
,,救援屏障	得分护盾	气势头带,8,72.73%,3
,,讲究眼镜	学习装置	气势头带,17,94.44%,2
,,救援屏障	学习装置	气势头带,6,75.0%,2
,,救援屏障	亿奥斯饼干	气势头带,24,75.0%,1
,,能量增幅器	进击眼镜	贝壳之铃,6,100.0%,1
,,进击眼镜	学习装置	气势头带,1,100.0%,1
4,怪力,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,29,9.32%,122,71.35%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,みやゆー,28,60.87%
,,DanielMil,15,71.43%
,,TE・999,10,76.92%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,近身战	爆裂拳	逃脱按键,62,66.67%,15
,,十字劈	爆裂拳	逃脱按键,58,77.33%,14
,,十字劈	爆裂拳	攻击强化,2,100.0%,2
,,十字劈	地狱翻滚	攻击强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,猛攻哑铃	气势头带	力量头带,21,77.78%,9
,,猛攻哑铃	气势头带	锐利之爪,26,78.79%,6
,,猛攻哑铃	锐利之爪	焦点镜,20,80.0%,4
,,猛攻哑铃	气势头带	焦点镜,5,55.56%,4
,,能量增幅器	猛攻哑铃	气势头带,28,60.87%,1
,,能量增幅器	猛攻哑铃	焦点镜,8,100.0%,1
,,猛攻哑铃	力量头带	锐利之爪,6,66.67%,1
,,救援屏障	猛攻哑铃	力量头带,4,66.67%,1
,,猛攻哑铃	气势头带	弱点保险,4,57.14%,1
,,救援屏障	猛攻哑铃	锐利之爪,0,0.0%,1
5,捷拉奥拉,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,26,9.16%,114,67.86%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,CeS梦KiD,19,70.37%
,,MW・Angelシ,16,80.0%
,,ZenTisaneTTV,14,66.67%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,伏特替换	放电		攻击强化,81,68.64%,18
,,伏特替换	放电		万灵药,20,60.61%,5
,,伏特替换	放电		伤药	,10,90.91%,1
,,电光		疯狂伏特	攻击强化,2,100.0%,1
,,伏特替换	放电		速度强化,1,50.0%,1
,,伏特替换	放电		向尾喵的尾巴,0,0.0%,1
,,伏特替换	放电		逃脱按键,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,气势头带	力量头带	弱点保险,24,70.59%,3
,,能量增幅器	力量头带	弱点保险,20,76.92%,3
,,猛攻哑铃	气势头带	力量头带,19,59.38%,3
,,猛攻哑铃	气势头带	弱点保险,11,84.62%,3
,,能量增幅器	救援屏障	弱点保险,4,44.44%,3
,,气势头带	力量头带	锐利之爪,10,66.67%,2
,,能量增幅器	救援屏障	猛攻哑铃,11,61.11%,1
,,气势头带	锐利之爪	弱点保险,6,85.71%,1
,,能量增幅器	猛攻哑铃	锐利之爪,2,100.0%,1
,,救援屏障	猛攻哑铃	锐利之爪,2,66.67%,1
,,力量头带	锐利之爪	弱点保险,2,66.67%,1
,,猛攻哑铃	力量头带	锐利之爪,1,100.0%,1
,,能量增幅器	救援屏障	力量头带,1,50.0%,1
,,能量增幅器	猛攻哑铃	气势头带,1,50.0%,1
,,猛攻哑铃	气势头带	焦点镜,0,0.0%,1
6,冰伊布,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,13,7.74%,102,71.83%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,99ム任义伟,30,75.0%
,,Savior,18,69.23%
,,TB·毛囊,12,54.55%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,冰锥		冰砾		速度强化,60,73.17%,8
,,冰锥		冰砾		逃脱按键,31,67.39%,6
,,冰锥		冷冻干燥	速度强化,10,76.92%,2
,,冰冻之风	冷冻干燥	速度强化,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,讲究眼镜	能量增幅器	救援屏障,30,75.0%,1
,,救援屏障	力量头带	焦点镜,18,69.23%,1
,,讲究眼镜	能量增幅器	贝壳之铃,12,54.55%,1
,,气势头带	力量头带	博识眼镜,8,88.89%,1
,,救援屏障	力量头带	博识眼镜,8,72.73%,1
,,能量增幅器	救援屏障	力量头带,7,87.5%,1
,,能量增幅器	气势头带	博识眼镜,7,87.5%,1
,,能量增幅器	气势头带	力量头带,3,100.0%,1
,,讲究眼镜	进击眼镜	力量头带,3,75.0%,1
,,能量增幅器	力量头带	博识眼镜,3,60.0%,1
,,进击眼镜	气势头带	贝壳之铃,1,100.0%,1
,,能量增幅器	进击眼镜	气势头带,1,50.0%,1
,,救援屏障	气势头带	力量头带,1,33.33%,1
7,古月鸟,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,26,7.52%,103,74.64%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,SirWaddleChu,24,70.59%
,,JackriderHQ,22,81.48%
,,XIS・Mazo,20,86.96%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,潜水		空气斩	逃脱按键,66,73.33%,17
,,冲浪		暴风		逃脱按键,25,75.76%,7
,,潜水		空气斩	伤药	,7,70.0%,5
,,冲浪		空气斩	伤药	,2,100.0%,2
,,冲浪		空气斩	逃脱按键,2,100.0%,1
,,潜水		暴风		逃脱按键,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,讲究眼镜	救援屏障	气势头带,32,74.42%,6
,,讲究眼镜	气势头带	博识眼镜,10,71.43%,6
,,讲究眼镜	进击眼镜	博识眼镜,24,70.59%,3
,,能量增幅器	气势头带	贝壳之铃,3,50.0%,2
,,能量增幅器	进击眼镜	气势头带,20,86.96%,1
,,讲究眼镜	气势头带	锐利之爪,5,100.0%,1
,,讲究眼镜	救援屏障	博识眼镜,4,80.0%,1
,,能量增幅器	救援屏障	气势头带,2,100.0%,1
,,亿奥斯饼干	进击眼镜	气势头带,1,100.0%,1
,,能量增幅器	救援屏障	贝壳之铃,1,100.0%,1
