排名,名称,使用人数,使用率,使用率变化,胜场数,胜率
1,甜冷美后,71,21.13%,4.82%,945,72.08%
2,快龙,63,18.42%,4.02%,827,72.35%
3,幸福蛋,56,17.96%,3.57%,787,70.65%
4,冰伊布,36,11.49%,2.83%,515,72.23%
5,古月鸟,54,11.43%,-2.75%,499,70.38%
6,胡帕,44,10.82%,1.94%,481,71.68%
7,路卡利欧,51,10.24%,-3.59%,433,68.19%
8,怪力,52,10.06%,2.81%,451,72.28%
9,甲贺忍蛙,45,9.25%,0.12%,381,66.38%
10,闪焰王牌,31,6.51%,1.89%,273,67.57%
11,耿鬼,25,5.71%,2.6%,243,68.64%
12,卡比兽,34,5.4%,1.67%,255,76.12%
13,呆壳兽,33,4.37%,-0.71%,185,68.27%
14,皮卡丘,41,4.01%,-0.19%,166,66.67%
15,捷拉奥拉,29,3.9%,-2.17%,157,64.88%
16,妖火红狐,31,3.77%,-0.7%,167,71.37%
17,喷火龙,24,3.4%,-0.21%,159,75.36%
18,烈咬陆鲨,16,3.38%,0.36%,148,70.48%
19,藏饱栗鼠,22,2.55%,1.41%,113,71.52%
20,阿罗拉九尾,17,2.35%,0.3%,99,67.81%
21,阿勃梭鲁,20,2.3%,0.51%,91,63.64%
22,爆肌蚊,26,2.14%,-0.34%,79,59.4%
23,坚盾剑怪,29,1.79%,0.16%,75,67.57%
24,烈箭鹰,15,1.77%,0.98%,75,68.18%
25,铝钢龙,16,1.64%,-0.0%,74,72.55%
26,沙奈朵,18,1.53%,-0.14%,65,68.42%
26,水箭龟,26,1.53%,0.2%,74,77.89%
28,妙蛙花,27,1.45%,-0.67%,62,68.89%
29,仙子伊布,18,1.43%,-0.79%,58,65.17%
30,朽木妖,24,1.0%,0.3%,41,66.13%
31,魔墙人偶,14,0.92%,0.44%,40,70.18%
32,狙射树枭,18,0.68%,-0.51%,23,54.76%
32,象牙猪,18,0.68%,-0.69%,32,76.19%
34,太阳伊布,15,0.58%,0.16%,18,50.0%
35,玛力露丽,12,0.45%,-2.01%,22,78.57%
36,胖可丁,11,0.32%,-1.03%,12,60.0%
37,岩殿居蟹,9,0.29%,-0.28%,12,66.67%
38,白蓬蓬,9,0.24%,-0.19%,9,60.0%
