排名,名称,使用人数,使用率,使用率变化,胜场数,胜率
1,路卡利欧,83,21.71%,6.97%,901,71.74%
2,胡帕,66,15.61%,-19.68%,682,75.53%
3,快龙,56,10.65%,0.1%,476,77.27%
4,甲贺忍蛙,61,9.83%,7.21%,398,69.95%
5,阿勃梭鲁,70,9.32%,-30.07%,382,70.87%
6,甜冷美后,60,9.14%,-8.69%,387,73.16%
7,幸福蛋,73,8.16%,-9.72%,358,75.85%
8,捷拉奥拉,49,7.45%,0.76%,312,72.39%
9,妖火红狐,54,6.24%,-8.42%,263,72.85%
10,皮卡丘,50,5.98%,-1.18%,242,69.94%
11,怪力,52,5.58%,-0.09%,248,76.78%
12,闪焰王牌,52,5.53%,0.7%,222,69.38%
13,古月鸟,36,5.18%,-3.71%,232,77.33%
14,呆壳兽,63,4.75%,-5.29%,204,74.18%
15,烈咬陆鲨,15,4.46%,1.83%,184,71.32%
16,卡比兽,45,4.2%,-0.04%,181,74.49%
17,冰伊布,19,4.18%,0.0%,180,74.38%
18,藏饱栗鼠,23,3.42%,-0.35%,145,73.23%
19,水箭龟,33,3.4%,-1.34%,136,69.04%
20,耿鬼,27,3.32%,2.89%,138,71.88%
21,沙奈朵,15,2.85%,2.34%,120,72.73%
22,朽木妖,34,2.16%,-3.18%,85,68.0%
23,铝钢龙,11,1.85%,1.51%,70,65.42%
23,玛力露丽,32,1.85%,1.17%,79,73.83%
25,妙蛙花,23,1.69%,-1.27%,68,69.39%
26,狙射树枭,32,1.66%,-3.13%,72,75.0%
27,仙子伊布,19,1.43%,0.93%,66,79.52%
28,喷火龙,22,1.42%,0.19%,55,67.07%
29,烈箭鹰,14,0.92%,-1.58%,30,56.6%
30,魔墙人偶,8,0.86%,0.53%,34,68.0%
30,胖可丁,12,0.86%,0.27%,35,70.0%
32,坚盾剑怪,31,0.83%,-0.4%,30,62.5%
33,阿罗拉九尾,21,0.71%,-1.83%,29,70.73%
34,太阳伊布,11,0.64%,0.39%,19,51.35%
35,象牙猪,13,0.45%,-0.36%,18,69.23%
36,岩殿居蟹,12,0.29%,0.04%,10,58.82%
37,白蓬蓬,6,0.16%,-0.56%,5,55.56%
