排名,名称,使用人数,使用率,使用率变化,胜场数,胜率
1,甜冷美后,64,16.31%,5.69%,943,76.11%
2,快龙,73,14.4%,-0.52%,818,74.77%
3,幸福蛋,67,14.39%,2.03%,820,75.02%
4,古月鸟,69,14.18%,3.82%,806,74.84%
5,路卡利欧,62,13.82%,-4.44%,729,69.43%
6,甲贺忍蛙,55,9.14%,1.99%,488,70.32%
7,胡帕,48,8.87%,-0.94%,506,75.07%
8,冰伊布,45,8.66%,-0.82%,469,71.28%
9,怪力,56,7.25%,0.28%,411,74.59%
10,捷拉奥拉,42,6.07%,-0.45%,337,73.1%
11,呆壳兽,46,5.08%,1.56%,262,67.88%
12,闪焰王牌,41,4.62%,0.49%,244,69.52%
13,妖火红狐,33,4.48%,1.66%,242,71.18%
14,皮卡丘,43,4.2%,1.01%,217,68.03%
15,卡比兽,35,3.73%,0.92%,198,69.96%
16,喷火龙,40,3.61%,2.17%,196,71.53%
17,耿鬼,34,3.11%,-0.21%,164,69.49%
18,烈咬陆鲨,18,3.03%,-0.22%,164,71.3%
19,爆肌蚊,25,2.49%,0.0%,122,64.55%
20,玛力露丽,29,2.46%,-2.52%,131,70.05%
21,仙子伊布,33,2.22%,-0.3%,117,69.23%
22,妙蛙花,36,2.12%,0.7%,115,71.43%
23,阿罗拉九尾,33,2.05%,0.94%,111,71.15%
24,阿勃梭鲁,23,1.79%,0.02%,89,65.44%
25,沙奈朵,20,1.67%,-0.81%,96,75.59%
26,铝钢龙,15,1.65%,-0.97%,89,71.2%
27,坚盾剑怪,29,1.63%,0.45%,84,67.74%
28,象牙猪,22,1.37%,-0.63%,77,74.04%
29,胖可丁,15,1.36%,0.36%,72,69.9%
30,水箭龟,27,1.33%,0.13%,72,71.29%
31,狙射树枭,27,1.18%,-0.22%,63,70.0%
32,藏饱栗鼠,21,1.13%,-3.42%,62,72.09%
33,烈箭鹰,27,0.79%,-0.61%,37,61.67%
34,朽木妖,25,0.7%,-1.09%,33,62.26%
35,岩殿居蟹,16,0.57%,0.17%,30,69.77%
36,魔墙人偶,17,0.47%,-1.18%,19,52.78%
37,白蓬蓬,13,0.43%,0.21%,19,57.58%
38,太阳伊布,19,0.42%,-0.3%,19,59.38%
