,一共游戏场数,9194
1,卡比兽,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,92,15.73%,1132,78.28%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,HMB_azyaru,72,85.71%
,,1LevUP,66,89.19%
,,ほーく_mukiW,66,77.65%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,重磅冲撞	挡路		速度强化,1034,77.8%,81
,,重磅冲撞	挡路		逃脱按键,69,87.34%,12
,,抓狂		挡路		攻击强化,16,76.19%,1
,,抓狂		挡路		速度强化,10,76.92%,6
,,抓狂		挡路		万灵药,1,100.0%,1
,,抓狂		挡路		逃脱按键,1,100.0%,1
,,抓狂		挡路		伤药	,1,100.0%,1
,,重磅冲撞	挡路		伤药	,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,救援屏障	学习装置	气势头带,876,79.28%,55
,,救援屏障	亿奥斯饼干	气势头带,62,74.7%,7
,,救援屏障	得分护盾	气势头带,7,100.0%,4
,,救援屏障	气势头带	力量头带,7,77.78%,4
,,学习装置	轻石		气势头带,26,61.9%,3
,,突击背心	学习装置	气势头带,61,68.54%,2
,,亿奥斯饼干	学习装置	气势头带,22,81.48%,2
,,得分护盾	学习装置	气势头带,11,84.62%,2
,,学习装置	气势头带	凸凸头盔,9,75.0%,2
,,救援屏障	轻石		气势头带,6,75.0%,2
,,救援屏障	亿奥斯饼干	猛攻哑铃,14,82.35%,1
,,救援屏障	亿奥斯饼干	学习装置,13,100.0%,1
,,连打围巾	气势头带	力量头带,12,92.31%,1
,,突击背心	救援屏障	气势头带,2,66.67%,1
,,轻石		锐利之爪	焦点镜,1,100.0%,1
,,学习装置	气势头带	焦点镜,1,100.0%,1
,,轻石		气势头带	弱点保险,1,100.0%,1
,,猛攻哑铃	力量头带	焦点镜,1,100.0%,1
,,连打围巾	救援屏障	气势头带,0,0.0%,1
2,闪焰王牌,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,91,10.09%,700,75.43%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,S4L-,61,87.14%
,,18V_piwai,56,80.0%
,,はいふー,56,75.68%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,火焰踢	蓄能焰袭	逃脱按键,371,75.71%,52
,,火焰踢	蓄能焰袭	攻击强化,164,71.62%,23
,,火焰踢	蓄能焰袭	万灵药,105,78.36%,18
,,火焰踢	佯攻		攻击强化,30,85.71%,6
,,火焰踢	佯攻		逃脱按键,16,84.21%,7
,,火焰踢	蓄能焰袭	伤药	,5,71.43%,1
,,火焰踢	佯攻		万灵药,4,50.0%,4
,,火焰球	蓄能焰袭	万灵药,3,100.0%,2
,,火焰球	蓄能焰袭	逃脱按键,1,100.0%,1
,,火焰球	蓄能焰袭	攻击强化,1,100.0%,1
,,火焰踢	佯攻		速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,连打围巾	力量头带	焦点镜,452,74.59%,57
,,连打围巾	气势头带	力量头带,40,70.18%,10
,,连打围巾	治愈王冠	力量头带,99,81.15%,8
,,连打围巾	力量头带	锐利之爪,31,79.49%,4
,,力量头带	锐利之爪	焦点镜,58,76.32%,3
,,治愈王冠	力量头带	焦点镜,5,55.56%,2
