,一共游戏场数,3020
1,梦幻,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,38,22.72%,511,74.49%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,RNSヤWafu,46,92.0%
,,Suna_7,40,80.0%
,,RoseTheHat,39,79.59%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,冲浪		高速移动	逃脱按键,161,74.19%,29
,,日光束	光墙		逃脱按键,155,72.09%,25
,,电球		高速移动	逃脱按键,89,75.42%,21
,,日光束	高速移动	逃脱按键,55,79.71%,20
,,日光束	光墙		速度强化,9,75.0%,2
,,技能未定	技能未定	逃脱按键,7,87.5%,6
,,冲浪		指导		逃脱按键,5,100.0%,3
,,冲浪		技能未定	逃脱按键,5,83.33%,5
,,冲浪		高速移动	速度强化,5,55.56%,4
,,电球		指导		逃脱按键,4,80.0%,5
,,冲浪		光墙		逃脱按键,4,50.0%,4
,,电球		光墙		逃脱按键,3,100.0%,2
,,电球		高速移动	速度强化,3,60.0%,2
,,电球		技能未定	逃脱按键,2,100.0%,1
,,日光束	技能未定	逃脱按键,1,100.0%,1
,,冲浪		高速移动	攻击强化,1,100.0%,1
,,电球		技能未定	速度强化,1,100.0%,1
,,电球		指导		速度强化,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,讲究眼镜	贝壳之铃	博识眼镜,317,74.59%,21
,,讲究眼镜	进击眼镜	博识眼镜,181,75.42%,14
,,讲究眼镜	进击眼镜	贝壳之铃,13,65.0%,2
,,讲究眼镜	气势头带	博识眼镜,0,0.0%,1
2,魔墙人偶,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,44,21.26%,491,76.48%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,1LevUP,45,90.0%
,,YanGゑKellyJ,42,87.5%
,,MYSヤFroggy,36,78.26%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,念力		力量互换	速度强化,376,78.5%,36
,,念力		屏障		速度强化,63,71.59%,10
,,念力		屏障		伤药	,22,68.75%,3
,,念力		力量互换	逃脱按键,19,79.17%,4
,,念力		力量互换	伤药	,7,46.67%,4
,,精神强念	力量互换	速度强化,2,100.0%,1
,,念力		屏障		逃脱按键,2,100.0%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,讲究眼镜	进击眼镜	气势头带,398,75.52%,31
,,讲究眼镜	进击眼镜	博识眼镜,46,88.46%,4
,,能量增幅器	进击眼镜	气势头带,6,75.0%,3
,,亿奥斯饼干	进击眼镜	气势头带,2,50.0%,2
,,救援屏障	进击眼镜	气势头带,17,80.95%,1
,,进击眼镜	气势头带	博识眼镜,12,66.67%,1
,,得分护盾	进击眼镜	气势头带,9,81.82%,1
,,救援屏障	进击眼镜	博识眼镜,1,100.0%,1
3,嘟嘟利,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,27,16.39%,351,70.91%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,-月光闇-,47,94.0%
,,T2_Haruta,38,80.85%
,,ChocoboTTVヅ,35,72.92%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,三重攻击	高速移动	万灵药,274,71.54%,23
,,三重攻击	高速移动	逃脱按键,45,67.16%,3
,,啄钻		飞踢		万灵药,22,75.86%,3
,,三重攻击	飞踢		万灵药,5,83.33%,2
,,三重攻击	高速移动	得分加速装置,3,100.0%,1
