,一共游戏场数,5878
1,梦幻,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,88,44.59%,1936,73.86%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,TTVOtterVGC,151,70.56%
,,Lunderu,115,70.99%
,,ajun,104,75.91%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,冲浪		高速移动	逃脱按键,334,73.89%,40
,,冲浪		高速移动	速度强化,270,71.81%,35
,,日光束	光墙		逃脱按键,252,72.83%,35
,,日光束	光墙		速度强化,200,74.35%,27
,,电球		高速移动	逃脱按键,173,80.47%,23
,,日光束	高速移动	逃脱按键,162,69.23%,32
,,日光束	高速移动	速度强化,121,71.6%,19
,,电球		高速移动	速度强化,104,79.39%,17
,,冲浪		高速移动	攻击强化,41,67.21%,6
,,日光束	光墙		攻击强化,29,69.05%,5
,,冲浪		光墙		逃脱按键,29,67.44%,13
,,日光束	高速移动	攻击强化,26,72.22%,5
,,日光束	光墙		万灵药,25,75.76%,2
,,电球		高速移动	攻击强化,18,81.82%,5
,,技能未定	技能未定	逃脱按键,16,80.0%,16
,,电球		高速移动	万灵药,14,87.5%,1
,,电球		指导		速度强化,14,82.35%,9
,,冲浪		高速移动	万灵药,12,85.71%,1
,,电球		指导		逃脱按键,11,73.33%,11
,,冲浪		指导		逃脱按键,10,71.43%,6
,,冲浪		技能未定	速度强化,10,71.43%,12
,,技能未定	技能未定	速度强化,9,100.0%,7
,,冲浪		技能未定	逃脱按键,8,72.73%,10
,,电球		光墙		逃脱按键,7,77.78%,7
,,日光束	指导		逃脱按键,5,100.0%,5
,,冲浪		指导		速度强化,5,83.33%,2
,,日光束	技能未定	逃脱按键,4,100.0%,4
,,电球		技能未定	速度强化,3,100.0%,3
,,电球		指导		攻击强化,3,75.0%,3
,,日光束	技能未定	速度强化,3,75.0%,3
,,日光束	指导		速度强化,3,37.5%,4
,,电球		技能未定	攻击强化,2,100.0%,2
,,冲浪		光墙		万灵药,2,100.0%,1
,,技能未定	技能未定	攻击强化,2,100.0%,1
,,冲浪		指导		万灵药,2,100.0%,1
,,电球		光墙		速度强化,2,100.0%,2
,,电球		光墙		攻击强化,1,100.0%,1
,,日光束	技能未定	万灵药,1,100.0%,1
,,电球		技能未定	逃脱按键,1,100.0%,1
,,日光束	指导		万灵药,1,100.0%,1
,,冲浪		光墙		速度强化,1,50.0%,2
,,冲浪		指导		攻击强化,0,0.0%,1
,,日光束	指导		攻击强化,0,0.0%,1
,,技能未定	技能未定	万灵药,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,讲究眼镜	贝壳之铃	博识眼镜,1317,73.78%,46
,,讲究眼镜	气势头带	博识眼镜,303,74.45%,20
,,讲究眼镜	进击眼镜	博识眼镜,245,75.15%,11
,,讲究眼镜	学习装置	博识眼镜,19,86.36%,2
,,讲究眼镜	进击眼镜	贝壳之铃,24,57.14%,1
,,讲究眼镜	学习装置	气势头带,6,100.0%,1
,,进击眼镜	贝壳之铃	博识眼镜,4,100.0%,1
,,讲究眼镜	气势头带	力量头带,4,80.0%,1
,,讲究眼镜	能量增幅器	博识眼镜,2,33.33%,1
,,讲究眼镜	能量增幅器	贝壳之铃,1,100.0%,1
,,讲究眼镜	进击眼镜	气势头带,1,50.0%,1
2,魔墙人偶,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,86,33.4%,1438,73.26%
