,一共游戏场数,6996
1,苍响,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,53,30.73%,1846,85.86%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,99ムRintот,184,88.89%
,,7Seas丨AmanY,126,88.73%
,,OPヽZoro,118,89.39%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,圣剑		高速移动	万灵药,1183,86.86%,42
,,圣剑		高速移动	逃脱按键,610,84.6%,28
,,金属爪	高速移动	万灵药,26,83.87%,12
,,圣剑		嬉闹		万灵药,11,78.57%,7
,,金属爪	高速移动	逃脱按键,8,80.0%,7
,,金属爪	嬉闹		万灵药,4,80.0%,4
,,圣剑		高速移动	攻击强化,2,100.0%,1
,,圣剑		高速移动	速度强化,1,100.0%,1
,,圣剑		嬉闹		逃脱按键,1,33.33%,3
,,圣剑		嬉闹		攻击强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,焦点镜	腐朽的剑	锐利之爪,957,86.14%,27
,,力量头带	焦点镜	腐朽的剑,756,85.14%,23
,,弱点保险	焦点镜	腐朽的剑,126,88.73%,1
,,力量头带	弱点保险	腐朽的剑,7,87.5%,1
,,力量头带	气势头带	腐朽的剑,0,0.0%,1
2,花疗环环,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,46,12.75%,734,82.29%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,jiren?,150,78.12%
,,ZEN・ĬȠÐƦƋ,83,81.37%
,,MORtAL,78,82.98%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,花疗		魔法叶	迟缓烟雾,677,82.26%,43
,,花疗		魔法叶	速度强化,34,85.0%,4
,,花疗		魔法叶	伤药	,11,91.67%,1
,,花疗		打草结	迟缓烟雾,6,60.0%,7
,,天使之吻	魔法叶	迟缓烟雾,4,100.0%,4
,,花疗		魔法叶	攻击强化,1,100.0%,1
