,一共游戏场数,5619
1,超梦X,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,89,39.49%,1589,71.61%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,中村たんそ,99,67.81%
,,Ø;BagulBogsh,71,66.98%
,,Miraclepang,70,76.09%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,预知未来	瞬间移动	万灵药,807,72.57%,51
,,预知未来	瞬间移动	逃脱按键,590,71.34%,41
,,精神击破	瞬间移动	逃脱按键,58,65.17%,11
,,精神击破	瞬间移动	万灵药,54,71.05%,19
,,预知未来	瞬间移动	伤药	,20,80.0%,3
,,精神击破	瞬间移动	伤药	,17,65.38%,3
,,预知未来	自我再生	万灵药,11,73.33%,5
,,精神击破	自我再生	伤药	,7,87.5%,1
,,预知未来	瞬间移动	攻击强化,7,87.5%,3
,,预知未来	自我再生	逃脱按键,4,80.0%,5
,,精神击破	自我再生	万灵药,3,75.0%,4
,,精神击破	自我再生	逃脱按键,3,60.0%,2
,,预知未来	瞬间移动	速度强化,3,37.5%,2
,,精神击破	瞬间移动	攻击强化,2,28.57%,3
,,预知未来	自我再生	伤药	,1,100.0%,1
,,精神击破	瞬间移动	速度强化,1,100.0%,1
,,预知未来	自我再生	速度强化,1,100.0%,1
,,预知未来	瞬间移动	脱壳忍者玩偶,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	焦点镜	锐利之爪,827,72.1%,41
,,力量头带	弱点保险	焦点镜,201,72.83%,11
,,力量头带	气势头带	焦点镜,33,75.0%,8
,,力量头带	焦点镜	连打围巾,103,66.88%,5
,,力量头带	连打围巾	锐利之爪,80,65.57%,4
,,力量头带	弱点保险	连打围巾,29,74.36%,4
,,力量头带	弱点保险	猛攻哑铃,67,78.82%,3
,,弱点保险	猛攻哑铃	能量增幅器,61,75.31%,2
,,弱点保险	轻石	锐利之爪,71,66.98%,1
,,力量头带	气势头带	锐利之爪,70,66.04%,1
,,力量头带	轻石	锐利之爪,17,80.95%,1
,,学习装置	突击背心	能量增幅器,7,87.5%,1
,,力量头带	弱点保险	能量增幅器,6,66.67%,1
,,弱点保险	气势头带	猛攻哑铃,6,66.67%,1
,,弱点保险	气势头带	锐利之爪,4,80.0%,1
,,力量头带	焦点镜	猛攻哑铃,3,100.0%,1
,,力量头带	弱点保险	锐利之爪,2,100.0%,1
,,力量头带	气势头带	猛攻哑铃,1,100.0%,1
,,力量头带	弱点保险	气势头带,1,100.0%,1
2,苍响,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,55,16.23%,654,71.71%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,ルるる様,60,75.0%
,,りゅーぬん,58,72.5%
,,魚アマルカ道,54,80.6%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,圣剑		高速移动	逃脱按键,530,71.33%,45
,,圣剑		嬉闹		伤药	,49,71.01%,1
,,圣剑		高速移动	万灵药,37,77.08%,9
,,圣剑		嬉闹		逃脱按键,16,64.0%,10
,,圣剑		嬉闹		万灵药,8,72.73%,4
,,金属爪	高速移动	逃脱按键,6,100.0%,6
,,金属爪	嬉闹		逃脱按键,2,100.0%,2
,,金属爪	嬉闹		伤药	,2,100.0%,1
,,圣剑		高速移动	伤药	,2,66.67%,1
,,金属爪	嬉闹		万灵药,1,100.0%,1
,,金属爪	高速移动	万灵药,1,50.0%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,焦点镜	腐朽的剑	锐利之爪,478,71.56%,39
,,力量头带	焦点镜	腐朽的剑,78,73.58%,6
,,力量头带	腐朽的剑	锐利之爪,32,69.57%,6
,,焦点镜	腐朽的剑	连打围巾,6,60.0%,2
,,学习装置	突击背心	腐朽的剑,53,71.62%,1
,,弱点保险	焦点镜	腐朽的剑,7,87.5%,1
3,拉普拉斯,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,57,10.59%,440,73.95%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Mari_かげ値,73,73.0%
,,GK_GorillA,46,80.7%
,,Crinskiシ,42,72.41%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,终焉之歌	冰冻光束	速度强化,315,75.18%,49
,,水之波动	冰冻光束	速度强化,65,74.71%,8
,,终焉之歌	泡沫光线	速度强化,32,69.57%,13
,,水之波动	泡沫光线	伤药	,10,76.92%,1
,,水之波动	泡沫光线	速度强化,10,62.5%,8
,,终焉之歌	泡沫光线	伤药	,4,80.0%,1
,,终焉之歌	冰冻光束	伤药	,4,44.44%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,气势头带	穿透汤匙	进击眼镜,254,73.84%,26
,,学习装置	气势头带	穿透汤匙,168,74.01%,26
,,学习装置	气势头带	进击眼镜,5,100.0%,2
,,亿奥斯饼干	穿透汤匙	进击眼镜,3,50.0%,2
,,亿奥斯饼干	气势头带	进击眼镜,10,76.92%,1
4,皮可西,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,48,10.09%,399,70.37%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,hi7a,51,68.0%
,,ぴよたたた,41,74.55%
,,回VodaVrot回,31,81.58%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,月光		重力		逃脱按键,137,68.84%,14
,,月光		重力		速度强化,136,73.51%,31
,,月光		看我嘛	速度强化,69,71.13%,21
,,月光		看我嘛	逃脱按键,40,68.97%,14
,,月光		重力		脱壳忍者玩偶,6,60.0%,3
,,吸取之吻	看我嘛	逃脱按键,5,100.0%,3
,,吸取之吻	看我嘛	速度强化,2,66.67%,2
,,月光		看我嘛	万灵药,1,100.0%,1
,,月光		看我嘛	脱壳忍者玩偶,1,50.0%,1
,,吸取之吻	看我嘛	攻击强化,1,33.33%,1
,,月光		重力		万灵药,1,25.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,博识眼镜	学习装置	进击眼镜,166,68.6%,20
,,学习装置	气势头带	进击眼镜,76,69.09%,11
,,学习装置	救援屏障	进击眼镜,45,76.27%,7
,,博识眼镜	学习装置	救援屏障,75,68.18%,4
,,学习装置	援助头巾	进击眼镜,20,80.0%,2
,,博识眼镜	学习装置	气势头带,8,72.73%,1
,,学习装置	救援屏障	气势头带,5,100.0%,1
,,博识眼镜	学习装置	援助头巾,3,75.0%,1
,,博识眼镜	学习装置	能量增幅器,1,100.0%,1
5,阿罗拉九尾,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,52,8.95%,375,74.55%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,胡萝卜BacOn,65,81.25%
,,NotGGKota,48,87.27%
,,ぴよたたた,25,75.76%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,雪崩		暴风雪	逃脱按键,365,74.34%,51
,,魔法闪耀	极光幕	逃脱按键,3,100.0%,2
,,雪崩		极光幕	逃脱按键,3,100.0%,3
,,魔法闪耀	极光幕	攻击强化,2,100.0%,1
,,魔法闪耀	暴风雪	逃脱按键,2,50.0%,4
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,博识眼镜	穿透汤匙	讲究眼镜,201,75.28%,26
,,穿透汤匙	能量增幅器	讲究眼镜,148,74.37%,14
,,博识眼镜	穿透汤匙	能量增幅器,14,73.68%,6
,,博识眼镜	穿透汤匙	贝壳之铃,5,100.0%,2
,,博识眼镜	能量增幅器	讲究眼镜,3,75.0%,1
,,气势头带	穿透汤匙	讲究眼镜,2,40.0%,1
,,穿透汤匙	讲究眼镜	贝壳之铃,1,100.0%,1
,,穿透汤匙	能量增幅器	贝壳之铃,1,33.33%,1
6,千面避役,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,45,6.8%,250,65.45%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,<a>Hydro</a>,44,69.84%
,,PatoSF5_TTV,38,69.09%
,,すぐ泣く先生,15,88.24%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,杂技		水流裂破	逃脱按键,158,70.22%,27
,,致命针刺	狙击		逃脱按键,53,62.35%,23
,,致命针刺	水流裂破	速度强化,17,68.0%,2
,,致命针刺	水流裂破	逃脱按键,17,45.95%,11
,,杂技		水流裂破	速度强化,5,83.33%,1
,,致命针刺	狙击		速度强化,0,0.0%,2
,,杂技		狙击		逃脱按键,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,博识眼镜	穿透汤匙	讲究眼镜,243,64.97%,43
,,焦点镜	穿透汤匙	讲究眼镜,5,83.33%,1
7,梦幻,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,43,6.25%,232,66.1%
