,一共游戏场数,4061
1,梦幻,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,63,23.15%,649,69.04%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,紫式布団,94,75.2%
,,Suna_7,44,66.67%
,,ソロ辞めたい,42,76.36%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,日光束	光墙		逃脱按键,194,68.07%,48
,,冲浪		高速移动	逃脱按键,112,61.88%,41
,,电球		高速移动	逃脱按键,96,72.73%,34
,,日光束	光墙		万灵药,69,69.7%,6
,,电球		高速移动	万灵药,48,76.19%,6
,,冲浪		高速移动	万灵药,41,68.33%,6
,,电球		光墙		逃脱按键,26,86.67%,16
,,电球		指导		逃脱按键,19,70.37%,14
,,日光束	高速移动	逃脱按键,13,61.9%,9
,,电球		指导		万灵药,12,100.0%,3
,,冲浪		光墙		逃脱按键,7,58.33%,5
,,日光束	光墙		速度强化,4,66.67%,3
,,冲浪		指导		逃脱按键,3,75.0%,4
,,冲浪		高速移动	速度强化,2,66.67%,3
,,电球		光墙		万灵药,1,100.0%,1
,,日光束	光墙		攻击强化,1,100.0%,1
,,冲浪		光墙		万灵药,1,50.0%,2
,,电球		高速移动	速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,博识眼镜	讲究眼镜	贝壳之铃,237,66.95%,27
,,博识眼镜	讲究眼镜	进击眼镜,205,68.33%,26
,,博识眼镜	学习装置	讲究眼镜,202,73.99%,7
,,博识眼镜	学习装置	进击眼镜,4,50.0%,1
,,讲究眼镜	贝壳之铃	进击眼镜,1,25.0%,1
,,气势头带	讲究眼镜	进击眼镜,0,0.0%,1
2,嘟嘟利,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,51,21.25%,662,76.71%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,とうわたYT,94,78.99%
,,井上まく,75,77.32%
,,喜懽,56,84.85%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,三重攻击	高速移动	万灵药,327,76.05%,33
,,啄钻		飞踢		万灵药,269,76.86%,32
,,三重攻击	飞踢		万灵药,48,82.76%,7
,,三重攻击	高速移动	逃脱按键,11,73.33%,1
,,啄钻		高速移动	万灵药,5,100.0%,5
,,啄钻		飞踢		逃脱按键,1,50.0%,1
,,啄钻		飞踢		得分加速装置,1,50.0%,1
,,啄钻		飞踢		攻击强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,猛攻哑铃	轻石	锐利之爪,303,76.13%,20
,,亿奥斯饼干	猛攻哑铃	锐利之爪,214,78.68%,17
,,得分护盾	猛攻哑铃	锐利之爪,25,67.57%,5
,,亿奥斯饼干	得分护盾	猛攻哑铃,11,73.33%,3
,,力量头带	猛攻哑铃	锐利之爪,96,78.05%,2
,,治愈王冠	猛攻哑铃	锐利之爪,4,100.0%,2
,,猛攻哑铃	能量增幅器	锐利之爪,8,66.67%,1
,,气势头带	猛攻哑铃	锐利之爪,1,50.0%,1
3,武道熊师,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,63,20.17%,602,73.5%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,みこたくんch,92,76.03%
,,前茶.,50,70.42%
,,S丨MarKGod,40,83.33%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,暗冥强击	深渊突刺	逃脱按键,278,76.37%,33
,,水流连打	水流裂破	万灵药,154,70.97%,29
,,暗冥强击	深渊突刺	万灵药,58,65.91%,8
,,暗冥强击	深渊突刺	速度强化,42,80.77%,3
,,水流连打	水流裂破	逃脱按键,41,74.55%,16
,,水流连打	水流裂破	速度强化,23,71.88%,9
,,水流连打	水流裂破	攻击强化,6,54.55%,3
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	猛攻哑铃	锐利之爪,21,65.62%,8
,,焦点镜	猛攻哑铃	锐利之爪,67,67.0%,6
,,气势头带	猛攻哑铃	锐利之爪,9,75.0%,6
,,力量头带	气势头带	锐利之爪,70,72.92%,3
,,弱点保险	猛攻哑铃	锐利之爪,46,80.7%,3
,,力量头带	气势头带	能量增幅器,30,65.22%,3
,,力量头带	焦点镜	猛攻哑铃,10,76.92%,3
,,弱点保险	气势头带	猛攻哑铃,7,77.78%,3
,,力量头带	气势头带	猛攻哑铃,5,55.56%,3
,,气势头带	猛攻哑铃	能量增幅器,99,74.44%,2
,,力量头带	焦点镜	锐利之爪,48,73.85%,2
,,弱点保险	焦点镜	猛攻哑铃,19,90.48%,2
