,一共游戏场数,9896
1,巨钳螳螂,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,112,24.19%,1768,73.85%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,敵外人ざくす,113,72.9%
,,Hanaka・花,112,87.5%
,,JJ・Zawrd,94,70.68%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,双翼		剑舞		万灵药,1294,73.86%,89
,,双翼		二连击	万灵药,409,75.46%,40
,,子弹拳	剑舞		万灵药,35,64.81%,24
,,双翼		二连击	攻击强化,9,69.23%,1
,,双翼		二连击	逃脱按键,6,54.55%,2
,,双翼		二连击	速度强化,4,100.0%,3
,,子弹拳	剑舞		伤药	,4,80.0%,1
,,双翼		剑舞		逃脱按键,4,66.67%,3
,,双翼		剑舞		速度强化,1,100.0%,1
,,双翼		剑舞		伤药	,1,100.0%,1
,,子弹拳	剑舞		速度强化,1,50.0%,1
,,子弹拳	剑舞		攻击强化,0,0.0%,1
,,双翼		剑舞		攻击强化,0,0.0%,1
,,子弹拳	二连击	万灵药,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,气势头带	能量增幅器	锐利之爪,434,74.96%,25
,,猛攻哑铃	能量增幅器	锐利之爪,385,81.4%,20
,,力量头带	能量增幅器	锐利之爪,118,66.67%,14
,,气势头带	猛攻哑铃	锐利之爪,126,72.83%,12
,,气势头带	猛攻哑铃	能量增幅器,50,64.1%,7
,,力量头带	气势头带	锐利之爪,99,73.33%,6
,,焦点镜	猛攻哑铃	锐利之爪,113,69.75%,3
,,弱点保险	猛攻哑铃	锐利之爪,14,70.0%,3
,,弱点保险	气势头带	能量增幅器,36,73.47%,2
,,弱点保险	能量增幅器	锐利之爪,33,78.57%,2
,,力量头带	弱点保险	能量增幅器,13,61.9%,2
,,弱点保险	气势头带	猛攻哑铃,4,80.0%,2
,,力量头带	气势头带	能量增幅器,2,66.67%,2
,,弱点保险	猛攻哑铃	能量增幅器,113,72.9%,1
,,猛攻哑铃	能量增幅器	轻石,88,66.17%,1
,,能量增幅器	轻石	锐利之爪,54,70.13%,1
,,弱点保险	气势头带	锐利之爪,52,82.54%,1
,,弱点保险	气势头带	焦点镜,16,66.67%,1
,,救援屏障	气势头带	能量增幅器,13,86.67%,1
,,焦点镜	能量增幅器	锐利之爪,2,100.0%,1
,,焦点镜	能量增幅器	轻石,1,100.0%,1
,,力量头带	猛攻哑铃	锐利之爪,1,100.0%,1
,,力量头带	弱点保险	猛攻哑铃,1,33.33%,1
,,焦点镜	猛攻哑铃	连打围巾,0,0.0%,1
,,弱点保险	焦点镜	猛攻哑铃,0,0.0%,1
2,梦幻,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,90,15.59%,1154,74.79%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,ソロ辞めたい,87,74.36%
,,QLASH・YanG,71,91.03%
,,PO・Badshahh,67,79.76%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,日光束	光墙		逃脱按键,282,73.63%,57
,,冲浪		高速移动	逃脱按键,229,72.7%,56
,,电球		高速移动	逃脱按键,204,80.0%,45
,,日光束	光墙		万灵药,106,75.18%,16
,,电球		高速移动	万灵药,67,76.14%,10
,,冲浪		高速移动	万灵药,49,65.33%,14
,,日光束	高速移动	逃脱按键,47,77.05%,19
,,电球		指导		逃脱按键,37,88.1%,25
,,电球		光墙		逃脱按键,22,78.57%,14
,,日光束	光墙		速度强化,21,77.78%,4
,,冲浪		高速移动	速度强化,20,80.0%,4
,,冲浪		光墙		逃脱按键,15,57.69%,11
,,电球		高速移动	速度强化,14,82.35%,4
,,电球		指导		万灵药,13,76.47%,7
,,日光束	高速移动	万灵药,8,66.67%,5
,,冲浪		指导		逃脱按键,5,83.33%,5
,,电球		光墙		万灵药,5,55.56%,5
,,冲浪		光墙		万灵药,3,75.0%,4
,,电球		指导		速度强化,1,100.0%,1
,,日光束	指导		万灵药,1,100.0%,1
,,日光束	高速移动	攻击强化,1,100.0%,1
,,电球		指导		攻击强化,1,100.0%,1
,,冲浪		指导		万灵药,1,50.0%,2
,,电球		高速移动	攻击强化,1,50.0%,1
,,冲浪		高速移动	攻击强化,1,50.0%,2
,,日光束	光墙		攻击强化,0,0.0%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,博识眼镜	讲究眼镜	进击眼镜,732,76.01%,52
,,博识眼镜	讲究眼镜	贝壳之铃,222,72.79%,15
,,博识眼镜	学习装置	讲究眼镜,161,75.59%,14
,,讲究眼镜	贝壳之铃	进击眼镜,33,63.46%,5
,,学习装置	讲究眼镜	进击眼镜,4,50.0%,2
,,能量增幅器	讲究眼镜	进击眼镜,1,100.0%,1
,,博识眼镜	气势头带	讲究眼镜,1,100.0%,1
3,武道熊师,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,89,14.2%,1061,75.52%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,みこたくんch,107,80.45%
,,宇都宮虎丸V2,90,73.17%
