,一共游戏场数,4978
1,武道熊师,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,69,21.8%,802,73.92%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,みこたくんch,68,73.91%
,,PO・Badshahh,52,82.54%
,,前茶.,52,78.79%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,暗冥强击	深渊突刺	逃脱按键,297,76.35%,33
,,水流连打	水流裂破	万灵药,195,71.69%,42
,,水流连打	水流裂破	逃脱按键,111,70.7%,26
,,暗冥强击	深渊突刺	万灵药,99,77.34%,9
,,水流连打	水流裂破	速度强化,79,71.82%,16
,,暗冥强击	深渊突刺	速度强化,11,100.0%,7
,,水流连打	水流裂破	攻击强化,8,53.33%,4
,,暗冥强击	深渊突刺	攻击强化,2,100.0%,2
,,水流连打	水流裂破	伤药	,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,气势头带	猛攻哑铃	锐利之爪,80,71.43%,8
,,力量头带	猛攻哑铃	锐利之爪,50,68.49%,8
,,弱点保险	气势头带	猛攻哑铃,44,73.33%,7
,,焦点镜	猛攻哑铃	锐利之爪,109,77.86%,6
,,弱点保险	猛攻哑铃	锐利之爪,42,67.74%,6
,,力量头带	气势头带	能量增幅器,113,73.86%,5
,,力量头带	气势头带	锐利之爪,83,76.15%,4
,,猛攻哑铃	能量增幅器	锐利之爪,41,82.0%,4
,,气势头带	焦点镜	猛攻哑铃,28,65.12%,3
,,弱点保险	气势头带	能量增幅器,21,77.78%,2
,,力量头带	焦点镜	锐利之爪,14,87.5%,2
,,力量头带	弱点保险	锐利之爪,12,75.0%,2
,,力量头带	气势头带	猛攻哑铃,10,52.63%,2
,,气势头带	猛攻哑铃	能量增幅器,49,76.56%,1
,,力量头带	能量增幅器	锐利之爪,36,75.0%,1
,,力量头带	弱点保险	气势头带,23,92.0%,1
,,力量头带	治愈王冠	锐利之爪,21,75.0%,1
,,力量头带	连打围巾	锐利之爪,13,72.22%,1
,,弱点保险	气势头带	锐利之爪,4,80.0%,1
,,力量头带	气势头带	焦点镜,3,60.0%,1
,,焦点镜	猛攻哑铃	轻石,3,50.0%,1
,,弱点保险	焦点镜	锐利之爪,2,40.0%,1
,,焦点镜	猛攻哑铃	能量增幅器,1,100.0%,1
2,梦幻,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,70,19.0%,678,71.67%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,紫式布団,85,72.65%
,,Suna_7,45,81.82%
,,nusi_0830,44,81.48%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
