,一共游戏场数,11348
1,超梦X,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,82,27.08%,2366,76.99%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,퍼밍,89,80.91%
,,天然ゾロア,81,89.01%
,,SaD·招募隊員,68,83.95%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,精神击破	瞬间移动	万灵药,607,74.85%,50
,,预知未来	瞬间移动	万灵药,549,81.33%,46
,,预知未来	瞬间移动	逃脱按键,201,76.14%,29
,,精神击破	瞬间移动	逃脱按键,184,76.67%,24
,,精神击破	瞬间移动	伤药	,167,83.5%,9
,,预知未来	自我再生	逃脱按键,125,77.16%,19
,,精神击破	瞬间移动	攻击强化,122,77.71%,11
,,预知未来	自我再生	万灵药,74,70.48%,27
,,精神击破	自我再生	万灵药,74,70.48%,23
,,精神击破	瞬间移动	脱壳忍者玩偶,68,74.73%,6
,,预知未来	瞬间移动	攻击强化,51,73.91%,8
,,精神击破	自我再生	伤药	,32,78.05%,6
,,预知未来	瞬间移动	脱壳忍者玩偶,23,76.67%,4
,,精神击破	瞬间移动	速度强化,15,71.43%,4
,,预知未来	瞬间移动	伤药	,14,77.78%,5
,,预知未来	自我再生	伤药	,14,73.68%,8
,,精神击破	自我再生	逃脱按键,14,66.67%,10
,,精神击破	自我再生	速度强化,7,77.78%,1
,,预知未来	自我再生	攻击强化,7,63.64%,2
,,预知未来	自我再生	脱壳忍者玩偶,5,83.33%,1
,,精神击破	自我再生	脱壳忍者玩偶,5,62.5%,4
,,预知未来	自我再生	速度强化,4,80.0%,3
,,精神击破	自我再生	攻击强化,2,100.0%,1
,,精神击破	瞬间移动	迟缓烟雾,1,100.0%,1
,,预知未来	瞬间移动	速度强化,1,50.0%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	焦点镜	锐利之爪,475,73.99%,15
,,力量头带	弱点保险	焦点镜,243,75.94%,7
,,力量头带	焦点镜	猛攻哑铃,202,79.84%,6
,,力量头带	焦点镜	连打围巾,116,78.38%,6
,,力量头带	弱点保险	猛攻哑铃,163,75.81%,5
,,力量头带	弱点保险	气势头带,160,85.56%,5
,,力量头带	连打围巾	锐利之爪,117,79.59%,4
,,力量头带	气势头带	焦点镜,110,70.51%,4
,,力量头带	气势头带	连打围巾,88,77.19%,4
,,弱点保险	气势头带	猛攻哑铃,125,78.12%,3
,,弱点保险	猛攻哑铃	能量增幅器,91,81.98%,2
,,力量头带	弱点保险	锐利之爪,75,78.12%,2
,,力量头带	猛攻哑铃	连打围巾,52,85.25%,2
,,力量头带	能量增幅器	锐利之爪,49,76.56%,2
,,气势头带	焦点镜	锐利之爪,42,76.36%,2
,,力量头带	猛攻哑铃	锐利之爪,37,90.24%,2
,,力量头带	弱点保险	连打围巾,36,69.23%,2
,,弱点保险	气势头带	连打围巾,28,65.12%,2
,,力量头带	猛攻哑铃	能量增幅器,48,69.57%,1
,,力量头带	气势头带	猛攻哑铃,28,75.68%,1
,,治愈王冠	焦点镜	连打围巾,22,88.0%,1
,,力量头带	弱点保险	治愈王冠,19,82.61%,1
,,力量头带	气势头带	锐利之爪,18,72.0%,1
,,气势头带	焦点镜	连打围巾,13,76.47%,1
,,力量头带	气势头带	治愈王冠,9,75.0%,1
2,苍响,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,73,10.2%,888,76.75%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,NaganadeI,86,72.88%
,,ポケ解剖,50,73.53%
,,灰色の夜空,49,70.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,圣剑		高速移动	逃脱按键,546,77.89%,43
,,圣剑		高速移动	万灵药,299,76.28%,27
,,金属爪	高速移动	万灵药,16,76.19%,5
,,圣剑		高速移动	速度强化,8,66.67%,1
,,圣剑		嬉闹		逃脱按键,7,63.64%,8
,,圣剑		嬉闹		万灵药,4,100.0%,3
,,金属爪	高速移动	逃脱按键,2,100.0%,2
,,金属爪	嬉闹		逃脱按键,2,66.67%,3
,,金属爪	嬉闹		万灵药,2,50.0%,1
,,圣剑		高速移动	脱壳忍者玩偶,1,50.0%,2
,,圣剑		高速移动	攻击强化,1,33.33%,2
,,圣剑		嬉闹		速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,焦点镜	腐朽的剑	锐利之爪,552,75.93%,42
,,力量头带	焦点镜	腐朽的剑,241,77.49%,19
,,力量头带	腐朽的剑	锐利之爪,12,75.0%,3
,,气势头带	焦点镜	腐朽的剑,21,87.5%,2
,,力量头带	腐朽的剑	连打围巾,3,60.0%,2
,,焦点镜	猛攻哑铃	腐朽的剑,42,82.35%,1
,,力量头带	气势头带	腐朽的剑,13,72.22%,1
