,一共游戏场数,8059
1,超梦X,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,89,53.96%,3215,73.93%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,中村たんそ,104,63.41%
,,FRS_Rockbell,99,76.15%
,,AMaddog,97,74.05%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,预知未来	瞬间移动	万灵药,1444,75.09%,54
,,预知未来	瞬间移动	逃脱按键,675,73.93%,36
,,精神击破	瞬间移动	万灵药,397,73.79%,36
,,预知未来	瞬间移动	攻击强化,121,72.89%,7
,,精神击破	瞬间移动	脱壳忍者玩偶,121,70.76%,4
,,预知未来	瞬间移动	脱壳忍者玩偶,120,74.07%,7
,,精神击破	瞬间移动	逃脱按键,108,70.59%,18
,,精神击破	瞬间移动	伤药	,74,76.29%,4
,,预知未来	自我再生	万灵药,40,66.67%,16
,,预知未来	瞬间移动	伤药	,37,75.51%,4
,,精神击破	瞬间移动	攻击强化,29,63.04%,6
,,预知未来	自我再生	逃脱按键,13,56.52%,9
,,预知未来	自我再生	速度强化,11,78.57%,1
,,精神击破	自我再生	速度强化,9,81.82%,1
,,精神击破	自我再生	万灵药,6,85.71%,6
,,预知未来	自我再生	攻击强化,3,100.0%,3
,,精神击破	瞬间移动	速度强化,3,75.0%,1
,,精神击破	自我再生	逃脱按键,2,66.67%,3
,,预知未来	自我再生	伤药	,1,50.0%,2
,,预知未来	瞬间移动	速度强化,1,50.0%,1
,,精神击破	自我再生	脱壳忍者玩偶,0,0.0%,1
,,预知未来	自我再生	脱壳忍者玩偶,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	焦点镜	锐利之爪,872,73.15%,23
,,力量头带	气势头带	焦点镜,351,73.58%,11
,,力量头带	弱点保险	气势头带,194,71.06%,7
,,力量头带	弱点保险	焦点镜,188,74.02%,7
,,力量头带	连打围巾	锐利之爪,214,82.31%,6
,,力量头带	弱点保险	连打围巾,86,72.27%,5
,,弱点保险	气势头带	猛攻哑铃,233,75.16%,4
,,力量头带	焦点镜	猛攻哑铃,24,82.76%,4
,,力量头带	焦点镜	连打围巾,209,71.58%,3
,,力量头带	猛攻哑铃	锐利之爪,133,73.48%,3
,,弱点保险	猛攻哑铃	能量增幅器,143,73.33%,2
,,气势头带	焦点镜	连打围巾,91,79.13%,2
,,力量头带	气势头带	猛攻哑铃,53,68.83%,2
,,力量头带	弱点保险	猛攻哑铃,39,78.0%,2
,,弱点保险	气势头带	锐利之爪,91,70.54%,1
,,力量头带	焦点镜	轻石,77,79.38%,1
,,力量头带	猛攻哑铃	连打围巾,66,75.0%,1
,,力量头带	弱点保险	锐利之爪,34,75.56%,1
,,弱点保险	猛攻哑铃	锐利之爪,31,67.39%,1
,,力量头带	气势头带	锐利之爪,29,74.36%,1
,,弱点保险	焦点镜	猛攻哑铃,29,65.91%,1
,,力量头带	能量增幅器	锐利之爪,28,75.68%,1
2,苍响,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,56,10.19%,581,70.77%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,灰色の夜空,58,63.04%
,,Mjk_sonä,45,80.36%
,,오징어,42,79.25%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,圣剑		高速移动	逃脱按键,361,68.76%,35
,,圣剑		高速移动	万灵药,163,75.46%,19
,,圣剑		嬉闹		逃脱按键,39,78.0%,7
,,圣剑		嬉闹		万灵药,6,54.55%,4
,,金属爪	高速移动	逃脱按键,5,55.56%,7
,,金属爪	嬉闹		逃脱按键,3,100.0%,2
,,金属爪	高速移动	攻击强化,1,100.0%,1
,,圣剑		高速移动	脱壳忍者玩偶,1,100.0%,1
,,金属爪	高速移动	万灵药,1,50.0%,2
,,金属爪	嬉闹		万灵药,1,50.0%,2
,,圣剑		嬉闹		脱壳忍者玩偶,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,焦点镜	腐朽的剑	锐利之爪,413,71.45%,37
,,力量头带	焦点镜	腐朽的剑,130,69.89%,13
,,力量头带	腐朽的剑	锐利之爪,29,72.5%,3
,,焦点镜	腐朽的剑	连打围巾,4,80.0%,1
,,焦点镜	猛攻哑铃	腐朽的剑,4,50.0%,1
,,力量头带	猛攻哑铃	腐朽的剑,1,25.0%,1
3,花疗环环,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,38,7.87%,449,70.82%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,中村さんそ,106,62.72%
,,躁鬱アスペ,78,74.29%
,,JDうらあか,47,73.44%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,花疗		魔法叶	迟缓烟雾,228,72.61%,34
,,花疗		打草结	迟缓烟雾,175,67.83%,11
,,天使之吻	打草结	迟缓烟雾,39,75.0%,3
,,花疗		魔法叶	逃脱按键,3,100.0%,1
,,天使之吻	魔法叶	迟缓烟雾,3,75.0%,4
,,花疗		打草结	逃脱按键,1,50.0%,1
,,花疗		打草结	攻击强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,博识眼镜	学习装置	援助头巾,153,72.17%,11
,,博识眼镜	学习装置	进击眼镜,66,72.53%,11
,,学习装置	援助头巾	救援屏障,21,77.78%,4
,,博识眼镜	学习装置	讲究眼镜,112,64.0%,2
,,学习装置	援助头巾	进击眼镜,41,74.55%,2
,,博识眼镜	学习装置	救援屏障,5,71.43%,2
,,亿奥斯饼干	学习装置	救援屏障,39,78.0%,1
,,博识眼镜	穿透汤匙	进击眼镜,6,66.67%,1
,,学习装置	救援屏障	讲究眼镜,3,75.0%,1
,,力量头带	博识眼镜	进击眼镜,2,100.0%,1
,,博识眼镜	学习装置	贝壳之铃,1,100.0%,1
,,学习装置	救援屏障	进击眼镜,0,0.0%,1
4,千面避役,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,55,6.55%,368,69.7%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Ɲɑѕнєツ,60,68.97%
,,OMH・Thirc,34,77.27%
,,SaD·秋黎,25,64.1%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
