,一共游戏场数,7117
1,超梦X,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,92,54.08%,2786,72.38%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,AMaddog,142,73.2%
,,ライムぽよ,105,73.94%
,,中村たんそ,102,66.23%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,预知未来	瞬间移动	万灵药,1483,71.96%,57
,,预知未来	瞬间移动	逃脱按键,814,73.14%,30
,,精神击破	瞬间移动	万灵药,154,66.67%,32
,,精神击破	瞬间移动	伤药	,63,79.75%,3
,,精神击破	瞬间移动	逃脱按键,58,81.69%,13
,,精神击破	瞬间移动	脱壳忍者玩偶,46,69.7%,4
,,预知未来	瞬间移动	脱壳忍者玩偶,44,73.33%,6
,,精神击破	瞬间移动	速度强化,35,89.74%,2
,,预知未来	瞬间移动	攻击强化,22,70.97%,7
,,精神击破	瞬间移动	攻击强化,21,75.0%,3
,,预知未来	自我再生	逃脱按键,15,88.24%,8
,,预知未来	自我再生	万灵药,13,52.0%,14
,,预知未来	自我再生	伤药	,7,87.5%,3
,,预知未来	瞬间移动	伤药	,3,42.86%,1
,,预知未来	瞬间移动	速度强化,2,40.0%,2
,,精神击破	自我再生	万灵药,1,100.0%,1
,,精神击破	自我再生	伤药	,1,100.0%,1
,,精神击破	自我再生	速度强化,1,100.0%,1
,,精神击破	自我再生	攻击强化,1,100.0%,1
,,精神击破	自我再生	逃脱按键,1,50.0%,2
,,预知未来	自我再生	脱壳忍者玩偶,1,50.0%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	焦点镜	锐利之爪,1553,71.57%,43
,,力量头带	弱点保险	焦点镜,313,71.95%,10
,,力量头带	气势头带	焦点镜,235,71.65%,6
,,力量头带	焦点镜	连打围巾,149,68.98%,6
,,力量头带	弱点保险	气势头带,105,78.95%,5
,,弱点保险	气势头带	猛攻哑铃,130,77.38%,3
,,力量头带	弱点保险	猛攻哑铃,59,81.94%,3
,,力量头带	连打围巾	锐利之爪,41,87.23%,3
,,力量头带	弱点保险	锐利之爪,68,69.39%,2
,,力量头带	焦点镜	猛攻哑铃,10,66.67%,2
,,弱点保险	气势头带	锐利之爪,62,76.54%,1
,,焦点镜	猛攻哑铃	锐利之爪,18,66.67%,1
,,力量头带	气势头带	猛攻哑铃,13,68.42%,1
,,力量头带	气势头带	锐利之爪,10,90.91%,1
,,焦点镜	连打围巾	锐利之爪,8,72.73%,1
,,气势头带	焦点镜	连打围巾,5,62.5%,1
,,力量头带	气势头带	轻石,4,100.0%,1
,,学习装置	救援屏障	能量增幅器,3,100.0%,1
,,弱点保险	气势头带	连打围巾,0,0.0%,1
2,苍响,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,55,11.04%,583,74.17%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Scrublenaut,55,74.32%
,,yu1one__,53,80.3%
,,魚アマルカ道,45,80.36%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,圣剑		高速移动	逃脱按键,444,74.0%,41
,,圣剑		嬉闹		伤药	,51,73.91%,1
,,圣剑		高速移动	万灵药,35,72.92%,13
,,圣剑		嬉闹		逃脱按键,21,75.0%,6
,,圣剑		嬉闹		万灵药,9,81.82%,2
,,圣剑		高速移动	攻击强化,8,80.0%,1
,,金属爪	高速移动	逃脱按键,7,77.78%,7
,,圣剑		高速移动	伤药	,3,100.0%,1
,,金属爪	高速移动	万灵药,2,50.0%,2
,,金属爪	嬉闹		伤药	,1,100.0%,1
,,金属爪	嬉闹		逃脱按键,1,100.0%,1
,,圣剑		高速移动	脱壳忍者玩偶,1,100.0%,1
,,金属爪	高速移动	伤药	,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,焦点镜	腐朽的剑	锐利之爪,470,74.25%,42
,,力量头带	焦点镜	腐朽的剑,16,69.57%,9
,,力量头带	腐朽的剑	锐利之爪,13,72.22%,2
,,学习装置	突击背心	腐朽的剑,55,74.32%,1
,,焦点镜	腐朽的剑	连打围巾,29,76.32%,1
3,皮可西,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,39,9.93%,527,74.54%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,ぴよたたた,100,74.63%
,,hi7a,68,73.12%
,,HMB_azyaru,65,74.71%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,月光		重力		逃脱按键,193,75.1%,10
,,月光		重力		速度强化,161,74.54%,25
,,月光		看我嘛	速度强化,127,72.99%,22
,,月光		看我嘛	逃脱按键,33,71.74%,9
,,月光		重力		脱壳忍者玩偶,6,100.0%,1
,,吸取之吻	看我嘛	速度强化,3,100.0%,3
,,月光		重力		万灵药,2,100.0%,1
,,月光		重力		攻击强化,1,100.0%,1
,,吸取之吻	重力		速度强化,1,100.0%,1
,,月光		看我嘛	脱壳忍者玩偶,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,博识眼镜	学习装置	进击眼镜,238,71.69%,14
,,学习装置	气势头带	进击眼镜,78,78.79%,8
,,学习装置	救援屏障	进击眼镜,32,80.0%,5
,,博识眼镜	学习装置	救援屏障,111,75.51%,4
,,博识眼镜	学习装置	援助头巾,28,77.78%,2
,,博识眼镜	学习装置	能量增幅器,0,0.0%,2
,,学习装置	救援屏障	气势头带,30,75.0%,1
,,博识眼镜	学习装置	气势头带,7,87.5%,1
,,学习装置	援助头巾	进击眼镜,2,100.0%,1
,,博识眼镜	学习装置	讲究眼镜,1,100.0%,1
4,阿罗拉九尾,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,61,7.76%,398,72.1%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Nyack,57,76.0%
,,Ditto'柊,44,78.57%
,,凛珠ザウル酢,25,71.43%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,雪崩		暴风雪	逃脱按键,390,71.82%,61
,,魔法闪耀	极光幕	逃脱按键,4,100.0%,4
,,雪崩		极光幕	逃脱按键,2,100.0%,2
,,雪崩		暴风雪	攻击强化,2,100.0%,1
,,魔法闪耀	暴风雪	逃脱按键,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,博识眼镜	穿透汤匙	讲究眼镜,116,66.67%,28
,,穿透汤匙	能量增幅器	讲究眼镜,237,74.29%,17
,,博识眼镜	穿透汤匙	能量增幅器,11,61.11%,5
,,穿透汤匙	能量增幅器	贝壳之铃,26,89.66%,4
,,博识眼镜	穿透汤匙	贝壳之铃,2,50.0%,2
,,气势头带	穿透汤匙	讲究眼镜,2,100.0%,1
,,博识眼镜	气势头带	穿透汤匙,2,66.67%,1
,,博识眼镜	气势头带	讲究眼镜,1,100.0%,1
,,穿透汤匙	讲究眼镜	连打围巾,1,100.0%,1
,,穿透汤匙	讲究眼镜	贝壳之铃,0,0.0%,1
5,梦幻,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,42,6.6%,323,68.72%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Mdhiasbi,104,76.47%
,,RD_てき島,71,68.27%
,,Ɲɑѕнєツ,18,72.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,日光束	光墙		逃脱按键,140,67.63%,31
,,冲浪		高速移动	逃脱按键,80,65.57%,23
,,电球		高速移动	逃脱按键,70,72.92%,19
,,电球		指导		逃脱按键,18,90.0%,7
,,冲浪		光墙		逃脱按键,5,62.5%,6
,,冲浪		指导		逃脱按键,3,75.0%,3
,,电球		光墙		逃脱按键,3,75.0%,4
,,日光束	指导		逃脱按键,2,66.67%,3
,,日光束	高速移动	逃脱按键,2,40.0%,4
,,日光束	光墙		向尾喵的尾巴,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,博识眼镜	穿透汤匙	讲究眼镜,283,68.69%,32
,,穿透汤匙	讲究眼镜	贝壳之铃,20,71.43%,3
,,穿透汤匙	讲究眼镜	进击眼镜,3,60.0%,3
,,博识眼镜	穿透汤匙	进击眼镜,16,72.73%,2
,,博识眼镜	讲究眼镜	进击眼镜,1,50.0%,1
,,博识眼镜	学习装置	穿透汤匙,0,0.0%,1
6,千面避役,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,47,6.28%,309,69.13%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,SaD·秋黎,50,64.94%
,,Woomyy,28,59.57%
,,ŇŁ・Ťimmƴ,27,79.41%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,杂技		水流裂破	逃脱按键,119,69.19%,26
,,致命针刺	水流裂破	逃脱按键,97,62.99%,13
,,致命针刺	狙击		逃脱按键,42,76.36%,24
,,杂技		水流裂破	速度强化,27,79.41%,1
,,致命针刺	水流裂破	速度强化,11,84.62%,1
,,杂技		水流裂破	脱壳忍者玩偶,7,77.78%,2
,,致命针刺	狙击		脱壳忍者玩偶,3,75.0%,3
,,杂技		狙击		逃脱按键,2,50.0%,3
,,致命针刺	狙击		速度强化,1,50.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,博识眼镜	穿透汤匙	讲究眼镜,303,69.5%,44
,,博识眼镜	穿透汤匙	进击眼镜,5,55.56%,1
,,博识眼镜	穿透汤匙	能量增幅器,1,100.0%,1
,,穿透汤匙	讲究眼镜	进击眼镜,0,0.0%,1
7,月亮伊布,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,46,5.73%,300,73.53%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,セラータ,77,79.38%
,,かにゃにゃ.*,35,71.43%
,,챠뮤,23,62.16%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,黑色目光	大声咆哮	速度强化,151,74.75%,11
,,黑色目光	大声咆哮	逃脱按键,41,80.39%,14
,,黑色目光	祈愿		逃脱按键,35,63.64%,9
,,黑色目光	祈愿		速度强化,24,82.76%,8
,,移花接木	大声咆哮	速度强化,16,80.0%,5
,,移花接木	大声咆哮	逃脱按键,9,45.0%,11
,,移花接木	大声咆哮	伤药	,7,87.5%,3
,,黑色目光	祈愿		伤药	,7,63.64%,6
,,移花接木	祈愿		逃脱按键,5,100.0%,3
,,黑色目光	大声咆哮	伤药	,4,66.67%,3
,,移花接木	大声咆哮	脱壳忍者玩偶,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,学习装置	气势头带	轻石,228,74.51%,15
,,力量头带	学习装置	气势头带,26,65.0%,12
,,学习装置	气势头带	猛攻哑铃,10,83.33%,4
,,亿奥斯饼干	气势头带	猛攻哑铃,13,76.47%,3
,,亿奥斯饼干	学习装置	气势头带,10,83.33%,3
,,学习装置	救援屏障	气势头带,6,75.0%,3
