,一共游戏场数,6213
1,苍响,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,58,17.22%,851,79.53%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Vlacan,74,76.29%
,,氷crystal,41,77.36%
,,gurjeet,37,92.5%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,圣剑		高速移动	万灵药,570,79.28%,39
,,圣剑		高速移动	逃脱按键,187,79.57%,19
,,圣剑		高速移动	攻击强化,55,84.62%,2
,,圣剑		嬉闹		万灵药,16,69.57%,5
,,金属爪	高速移动	万灵药,11,78.57%,6
,,金属爪	高速移动	逃脱按键,8,100.0%,2
,,圣剑		高速移动	向尾喵的尾巴,1,100.0%,1
,,圣剑		嬉闹		逃脱按键,1,100.0%,1
,,圣剑		嬉闹		攻击强化,1,50.0%,1
,,金属爪	嬉闹		万灵药,1,50.0%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,焦点镜	腐朽的剑	锐利之爪,472,79.46%,35
,,力量头带	焦点镜	腐朽的剑,146,82.02%,10
,,焦点镜	猛攻哑铃	腐朽的剑,101,74.26%,3
,,力量头带	腐朽的剑	锐利之爪,88,86.27%,3
,,气势头带	腐朽的剑	锐利之爪,36,72.0%,1
,,弱点保险	焦点镜	腐朽的剑,3,100.0%,1
,,猛攻哑铃	腐朽的剑	锐利之爪,2,66.67%,1
,,猛攻哑铃	能量增幅器	腐朽的剑,1,100.0%,1
,,力量头带	腐朽的剑	连打围巾,1,100.0%,1
,,力量头带	气势头带	腐朽的剑,1,100.0%,1
,,焦点镜	腐朽的剑	连打围巾,0,0.0%,1
2,月亮伊布,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,71,11.81%,566,77.11%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,sino愛,40,86.96%
,,TakeItEasy!!,39,70.91%
,,Yurieueus,38,90.48%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,移花接木	大声咆哮	逃脱按键,186,78.81%,24
,,移花接木	大声咆哮	伤药	,134,77.46%,20
,,移花接木	大声咆哮	速度强化,104,75.91%,23
,,移花接木	祈愿		伤药	,49,80.33%,4
,,黑色目光	大声咆哮	逃脱按键,28,80.0%,8
,,黑色目光	祈愿		速度强化,17,73.91%,10
,,黑色目光	大声咆哮	速度强化,17,70.83%,11
,,黑色目光	祈愿		逃脱按键,11,84.62%,7
,,移花接木	祈愿		速度强化,8,88.89%,5
,,黑色目光	祈愿		伤药	,6,54.55%,6
,,黑色目光	大声咆哮	伤药	,4,57.14%,5
,,移花接木	祈愿		逃脱按键,1,50.0%,2
,,移花接木	大声咆哮	万灵药,1,33.33%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,亿奥斯饼干	气势头带	猛攻哑铃,104,68.42%,13
,,力量头带	气势头带	猛攻哑铃,79,82.29%,9
,,亿奥斯饼干	弱点保险	猛攻哑铃,78,87.64%,7
,,气势头带	猛攻哑铃	锐利之爪,48,81.36%,6
,,力量头带	学习装置	气势头带,42,84.0%,5
,,学习装置	气势头带	猛攻哑铃,39,67.24%,5
,,学习装置	救援屏障	气势头带,19,67.86%,5
,,学习装置	弱点保险	气势头带,50,87.72%,3
,,亿奥斯饼干	猛攻哑铃	锐利之爪,45,71.43%,3
,,亿奥斯饼干	力量头带	猛攻哑铃,22,88.0%,3
,,学习装置	气势头带	轻石,9,64.29%,2
,,力量头带	弱点保险	气势头带,2,100.0%,2
,,弱点保险	气势头带	猛攻哑铃,0,0.0%,2
,,亿奥斯饼干	气势头带	锐利之爪,14,82.35%,1
,,力量头带	气势头带	连打围巾,9,60.0%,1
,,亿奥斯饼干	学习装置	气势头带,2,100.0%,1
,,亿奥斯饼干	弱点保险	气势头带,2,100.0%,1
,,力量头带	弱点保险	轻石,1,100.0%,1
,,气势头带	猛攻哑铃	轻石,1,50.0%,1
3,冰伊布,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,90,11.67%,535,73.79%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Todoroki実ツ,46,69.7%
,,MHK_kSlime,35,74.47%
,,くろねこ5683,34,77.27%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,冰锥		冰砾		逃脱按键,401,74.4%,68
,,冰锥		冰砾		速度强化,83,74.77%,15
,,冰冻之风	冷冻干燥	逃脱按键,36,70.59%,12
,,冰冻之风	冷冻干燥	速度强化,6,75.0%,1
,,冰锥		冰砾		攻击强化,4,57.14%,3
,,冰锥		冷冻干燥	逃脱按键,2,100.0%,2
,,冰锥		冰砾		万灵药,2,100.0%,1
