,一共游戏场数,6115
1,月亮伊布,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,67,23.07%,1042,73.85%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,18V_suiga,64,76.19%
,,とろーる爱,64,62.14%
,,ŇŁ・Ťimmƴ,60,82.19%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,移花接木	大声咆哮	伤药	,513,77.26%,32
,,移花接木	大声咆哮	速度强化,256,71.71%,22
,,移花接木	大声咆哮	逃脱按键,228,75.0%,27
,,黑色目光	大声咆哮	逃脱按键,27,50.94%,8
,,移花接木	祈愿		伤药	,6,75.0%,7
,,黑色目光	大声咆哮	速度强化,5,55.56%,4
,,黑色目光	大声咆哮	伤药	,2,66.67%,3
,,黑色目光	祈愿		逃脱按键,2,50.0%,3
,,移花接木	祈愿		逃脱按键,1,100.0%,1
,,黑色目光	祈愿		速度强化,1,50.0%,1
,,移花接木	祈愿		速度强化,1,16.67%,6
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,弱点保险	气势头带	猛攻哑铃,353,74.32%,19
,,亿奥斯饼干	气势头带	猛攻哑铃,209,74.38%,13
,,气势头带	猛攻哑铃	锐利之爪,35,76.09%,7
,,力量头带	气势头带	猛攻哑铃,117,77.48%,4
,,力量头带	学习装置	气势头带,80,74.07%,4
,,学习装置	气势头带	猛攻哑铃,48,73.85%,3
,,学习装置	弱点保险	气势头带,70,70.71%,2
,,力量头带	猛攻哑铃	锐利之爪,13,72.22%,2
,,亿奥斯饼干	弱点保险	气势头带,10,41.67%,2
,,亿奥斯饼干	学习装置	猛攻哑铃,45,80.36%,1
,,学习装置	救援屏障	气势头带,19,90.48%,1
,,亿奥斯饼干	学习装置	气势头带,16,76.19%,1
,,亿奥斯饼干	弱点保险	猛攻哑铃,9,64.29%,1
,,亿奥斯饼干	力量头带	猛攻哑铃,7,63.64%,1
,,弱点保险	气势头带	锐利之爪,6,75.0%,1
,,学习装置	气势头带	轻石,3,42.86%,1
,,亿奥斯饼干	猛攻哑铃	锐利之爪,1,100.0%,1
,,弱点保险	猛攻哑铃	锐利之爪,1,50.0%,1
,,力量头带	弱点保险	气势头带,0,0.0%,1
,,力量头带	弱点保险	猛攻哑铃,0,0.0%,1
2,叶伊布,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,55,18.32%,787,70.27%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Astrxworld,115,82.73%
,,FNS・Miracle,63,77.78%
,,F0rTe,61,71.76%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,飞叶快刀	叶刃		逃脱按键,620,70.06%,48
,,飞叶快刀	叶刃		伤药	,86,74.78%,3
,,飞叶快刀	叶刃		万灵药,55,70.51%,7
,,日光刃	叶刃		伤药	,14,63.64%,1
,,日光刃	叶刃		逃脱按键,5,71.43%,5
,,飞叶快刀	叶刃		攻击强化,4,44.44%,2
,,飞叶快刀	燕返		逃脱按键,1,100.0%,1
,,日光刃	叶刃		万灵药,1,100.0%,1
,,飞叶快刀	燕返		伤药	,1,100.0%,1
,,飞叶快刀	叶刃		速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,猛攻哑铃	能量增幅器	锐利之爪,342,71.7%,30
,,救援屏障	猛攻哑铃	能量增幅器,49,59.04%,6
,,猛攻哑铃	能量增幅器	轻石,120,72.29%,5
,,学习装置	猛攻哑铃	能量增幅器,166,74.44%,4
,,学习装置	气势头带	能量增幅器,47,64.38%,1
,,弱点保险	猛攻哑铃	能量增幅器,34,75.56%,1
,,学习装置	猛攻哑铃	轻石,10,62.5%,1
,,亿奥斯饼干	猛攻哑铃	能量增幅器,7,50.0%,1
,,能量增幅器	轻石	锐利之爪,5,55.56%,1
,,救援屏障	猛攻哑铃	锐利之爪,4,57.14%,1
,,气势头带	焦点镜	能量增幅器,2,100.0%,1
,,焦点镜	猛攻哑铃	能量增幅器,1,50.0%,1
,,亿奥斯饼干	猛攻哑铃	锐利之爪,0,0.0%,1
,,气势头带	猛攻哑铃	能量增幅器,0,0.0%,1
3,索罗亚克,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,54,15.99%,683,69.84%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,ざゎぁ,66,70.97%
,,HarüsaMゑ,62,66.67%
,,えぬしろぉ,54,72.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,出奇一击	暗影爪	万灵药,264,67.01%,25
,,暗袭要害	居合劈	万灵药,257,74.28%,33
,,暗袭要害	暗影爪	万灵药,135,68.18%,21
,,出奇一击	居合劈	万灵药,18,72.0%,14
,,暗袭要害	居合劈	逃脱按键,7,87.5%,2
,,暗袭要害	居合劈	伤药	,1,100.0%,1
,,出奇一击	居合劈	逃脱按键,1,20.0%,1
,,出奇一击	暗影爪	逃脱按键,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,弱点保险	猛攻哑铃	轻石,135,75.0%,13
,,力量头带	连打围巾	锐利之爪,165,68.18%,9
,,亿奥斯饼干	弱点保险	猛攻哑铃,81,72.97%,6
,,弱点保险	猛攻哑铃	锐利之爪,21,72.41%,5
,,力量头带	气势头带	锐利之爪,144,69.57%,3
,,弱点保险	气势头带	猛攻哑铃,17,77.27%,3
,,气势头带	猛攻哑铃	锐利之爪,8,53.33%,3
,,力量头带	弱点保险	锐利之爪,39,68.42%,2
,,亿奥斯饼干	猛攻哑铃	锐利之爪,21,72.41%,2
,,力量头带	焦点镜	锐利之爪,21,63.64%,1
,,猛攻哑铃	轻石	锐利之爪,8,88.89%,1
,,亿奥斯饼干	气势头带	猛攻哑铃,7,50.0%,1
,,弱点保险	连打围巾	锐利之爪,6,60.0%,1
,,气势头带	轻石	锐利之爪,5,55.56%,1
,,力量头带	猛攻哑铃	锐利之爪,3,37.5%,1
,,气势头带	连打围巾	锐利之爪,2,100.0%,1
,,弱点保险	猛攻哑铃	能量增幅器,0,0.0%,1
4,快龙,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,45,10.78%,489,74.2%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,蒼響ぐらてや,88,76.52%
,,だあひよん@,85,72.65%
,,AMaddog,59,75.64%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,龙之舞	破坏光线	逃脱按键,230,75.41%,19
,,龙之舞	破坏光线	万灵药,223,72.17%,22
,,龙之舞	破坏光线	攻击强化,22,84.62%,5
,,神速		逆鳞		万灵药,6,75.0%,6
,,龙之舞	逆鳞		逃脱按键,5,100.0%,3
,,龙之舞	逆鳞		万灵药,3,75.0%,2
,,龙之舞	破坏光线	速度强化,0,0.0%,1
,,神速		逆鳞		攻击强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	焦点镜	锐利之爪,176,70.97%,12
