,一共游戏场数,6585
1,苍响,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,53,34.38%,1977,87.32%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,yuyu1123,149,87.65%
,,다미ㆍヒメ°,138,87.9%
,,喜懽,119,95.2%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,圣剑		高速移动	逃脱按键,1242,87.59%,41
,,圣剑		高速移动	万灵药,682,86.44%,24
,,金属爪	高速移动	逃脱按键,33,94.29%,13
,,金属爪	高速移动	万灵药,13,92.86%,7
,,圣剑		嬉闹		万灵药,2,100.0%,2
,,圣剑		嬉闹		逃脱按键,2,66.67%,3
,,金属爪	嬉闹		万灵药,1,100.0%,1
,,金属爪	嬉闹		逃脱按键,1,100.0%,1
,,圣剑		高速移动	攻击强化,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,焦点镜	腐朽的剑	锐利之爪,1125,89.14%,25
,,力量头带	焦点镜	腐朽的剑,759,84.43%,21
,,力量头带	弱点保险	腐朽的剑,53,91.38%,2
,,弱点保险	焦点镜	腐朽的剑,21,87.5%,2
,,力量头带	气势头带	腐朽的剑,9,90.0%,2
,,焦点镜	猛攻哑铃	腐朽的剑,10,90.91%,1
2,花疗环环,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,54,18.04%,1003,84.43%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,jiren?,127,74.27%
,,ZEN・ĬȠÐƦƋ,108,87.1%
,,7sinXok,83,83.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,花疗		魔法叶	迟缓烟雾,903,83.84%,47
,,花疗		魔法叶	速度强化,68,93.15%,6
,,天使之吻	魔法叶	迟缓烟雾,12,75.0%,12
,,花疗		打草结	迟缓烟雾,11,84.62%,7
,,花疗		魔法叶	伤药	,5,100.0%,1
,,花疗		魔法叶	逃脱按键,2,100.0%,1
,,天使之吻	打草结	迟缓烟雾,1,100.0%,1
,,天使之吻	魔法叶	速度强化,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,博识眼镜	学习装置	援助头巾,452,82.94%,23
,,学习装置	援助头巾	救援屏障,253,85.47%,10
