,一共游戏场数,6251
1,梦幻,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,82,21.24%,998,75.15%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,胡萝卜ZeraS,67,70.53%
,,Rоsёmary,66,74.16%
,,JandecoYTB,51,79.69%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,日光束	光墙		逃脱按键,440,72.61%,69
,,电球		高速移动	逃脱按键,241,82.53%,53
,,冲浪		高速移动	逃脱按键,194,71.32%,60
,,电球		指导		逃脱按键,57,80.28%,34
,,电球		光墙		逃脱按键,25,83.33%,15
,,日光束	高速移动	逃脱按键,13,81.25%,11
,,日光束	光墙		攻击强化,10,76.92%,1
,,冲浪		指导		逃脱按键,7,63.64%,9
,,冲浪		高速移动	攻击强化,5,71.43%,1
,,冲浪		光墙		逃脱按键,3,60.0%,4
,,日光束	指导		逃脱按键,2,66.67%,3
,,电球		指导		攻击强化,1,100.0%,1
,,电球		高速移动	攻击强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,博识眼镜	穿透汤匙	讲究眼镜,942,75.06%,74
,,穿透汤匙	讲究眼镜	贝壳之铃,28,77.78%,3
,,咒术熏香	穿透汤匙	讲究眼镜,18,81.82%,3
,,穿透汤匙	讲究眼镜	进击眼镜,9,69.23%,1
2,苍响,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,69,15.18%,698,73.55%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,hyper__king,61,68.54%
,,楓乃音sv,54,75.0%
,,アマルカ,49,79.03%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,圣剑		高速移动	逃脱按键,671,73.9%,66
,,圣剑		嬉闹		逃脱按键,22,64.71%,6
,,金属爪	嬉闹		逃脱按键,2,100.0%,2
,,圣剑		高速移动	万灵药,2,66.67%,2
,,金属爪	高速移动	逃脱按键,1,50.0%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,焦点镜	腐朽的剑	锐利之爪,563,74.18%,45
,,力量头带	焦点镜	腐朽的剑,57,70.37%,13
,,力量头带	腐朽的剑	锐利之爪,42,76.36%,4
,,焦点镜	腐朽的剑	连打围巾,30,66.67%,3
,,气势头带	焦点镜	腐朽的剑,2,100.0%,1
,,腐朽的剑	连打围巾	锐利之爪,1,100.0%,1
,,力量头带	腐朽的剑	连打围巾,1,33.33%,1
3,千面避役,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,81,14.96%,640,68.45%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,[King皇帝],52,81.25%
,,04원숭이,48,77.42%
,,KimGuchi,30,69.77%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,致命针刺	狙击		逃脱按键,321,70.86%,63
,,杂技		水流裂破	逃脱按键,277,64.72%,57
,,致命针刺	水流裂破	逃脱按键,34,75.56%,10
,,杂技		狙击		逃脱按键,4,100.0%,3
,,杂技		水流裂破	速度强化,2,66.67%,1
,,杂技		水流裂破	脱壳忍者玩偶,1,100.0%,1
,,致命针刺	狙击		速度强化,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,博识眼镜	穿透汤匙	讲究眼镜,504,68.29%,69
,,博识眼镜	咒术熏香	穿透汤匙,88,72.73%,6
,,咒术熏香	穿透汤匙	讲究眼镜,48,63.16%,6
4,武道熊师,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,52,8.85%,389,70.34%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,ウーラ辛い,83,66.94%
,,DdL_N'shiro_,56,71.79%
,,亞樹,31,77.5%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,水流连打	水流裂破	万灵药,358,70.2%,44
