,一共游戏场数,8053
1,千面避役,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,100,19.33%,1072,68.85%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,99ムLucky,80,65.57%
,,(Mera)BAAP,79,68.7%
,,EVOS.Kur0v,59,71.95%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,杂技		水流裂破	逃脱按键,508,68.28%,69
,,致命针刺	狙击		逃脱按键,412,70.79%,67
,,致命针刺	水流裂破	逃脱按键,108,64.29%,11
,,杂技		水流裂破	速度强化,36,70.59%,1
,,杂技		狙击		逃脱按键,8,80.0%,6
,,致命针刺	狙击		速度强化,0,0.0%,1
,,杂技		水流裂破	脱壳忍者玩偶,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,博识眼镜	穿透汤匙	讲究眼镜,734,68.15%,84
,,咒术熏香	穿透汤匙	讲究眼镜,228,72.15%,8
,,博识眼镜	咒术熏香	穿透汤匙,98,69.01%,6
,,博识眼镜	穿透汤匙	进击眼镜,6,54.55%,1
,,穿透汤匙	讲究眼镜	进击眼镜,6,54.55%,1
2,苍响,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,76,17.07%,1003,72.95%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,AXQ・我,67,76.14%
,,チキンダック,67,63.81%
,,楓乃音sv,55,74.32%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,圣剑		高速移动	逃脱按键,923,72.79%,70
,,圣剑		高速移动	万灵药,50,75.76%,3
,,圣剑		嬉闹		逃脱按键,18,66.67%,5
,,金属爪	高速移动	逃脱按键,4,80.0%,5
,,金属爪	嬉闹		逃脱按键,3,100.0%,3
,,圣剑		嬉闹		万灵药,3,100.0%,2
,,圣剑		嬉闹		伤药	,2,66.67%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,焦点镜	腐朽的剑	锐利之爪,789,72.65%,53
,,力量头带	焦点镜	腐朽的剑,96,72.73%,13
,,焦点镜	腐朽的剑	连打围巾,9,81.82%,3
,,力量头带	腐朽的剑	锐利之爪,100,75.19%,2
,,气势头带	焦点镜	腐朽的剑,4,100.0%,2
,,腐朽的剑	连打围巾	锐利之爪,3,50.0%,2
,,弱点保险	气势头带	腐朽的剑,2,66.67%,1
3,梦幻,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,84,11.77%,666,70.25%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,LBGま・しお,59,65.56%
,,胡萝卜ZeraS,49,67.12%
,,JandecoYTB,45,86.54%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,日光束	光墙		逃脱按键,293,68.62%,60
,,冲浪		高速移动	逃脱按键,148,68.2%,58
,,电球		高速移动	逃脱按键,131,75.72%,35
,,电球		指导		逃脱按键,47,77.05%,28
,,电球		光墙		逃脱按键,21,72.41%,21
,,冲浪		光墙		逃脱按键,6,60.0%,6
,,冲浪		高速移动	攻击强化,5,71.43%,3
,,日光束	高速移动	逃脱按键,4,44.44%,8
,,日光束	光墙		攻击强化,3,75.0%,1
,,日光束	光墙		伤药	,2,100.0%,1
,,冲浪		指导		逃脱按键,2,50.0%,4
,,冲浪		高速移动	速度强化,1,100.0%,1
,,电球		高速移动	伤药	,1,100.0%,1
,,日光束	指导		逃脱按键,1,100.0%,1
,,电球		指导		攻击强化,1,100.0%,1
,,电球		高速移动	攻击强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,博识眼镜	穿透汤匙	讲究眼镜,609,70.57%,76
,,咒术熏香	穿透汤匙	讲究眼镜,21,58.33%,5
,,穿透汤匙	讲究眼镜	贝壳之铃,35,72.92%,2
,,学习装置	穿透汤匙	讲究眼镜,1,100.0%,1
4,索罗亚克,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,71,8.41%,444,65.58%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,亞樹,28,73.68%
,,みこたくんch,27,71.05%
,,MYSヤComi,25,73.53%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,暗袭要害	居合劈	万灵药,253,65.54%,53
,,出奇一击	暗影爪	万灵药,135,66.5%,23
,,暗袭要害	暗影爪	万灵药,35,72.92%,12
,,暗袭要害	居合劈	逃脱按键,13,56.52%,2
,,出奇一击	居合劈	逃脱按键,5,71.43%,1
,,出奇一击	居合劈	万灵药,2,33.33%,5
,,暗袭要害	居合劈	脱壳忍者玩偶,1,33.33%,1
,,暗袭要害	居合劈	伤药	,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,弱点保险	气势头带	猛攻哑铃,164,63.32%,26
,,力量头带	连打围巾	锐利之爪,94,70.68%,9
,,弱点保险	猛攻哑铃	锐利之爪,39,66.1%,7
,,力量头带	弱点保险	锐利之爪,37,66.07%,5
,,亿奥斯饼干	弱点保险	猛攻哑铃,28,66.67%,4
,,弱点保险	猛攻哑铃	轻石,24,61.54%,4
,,弱点保险	猛攻哑铃	能量增幅器,5,100.0%,2
,,力量头带	猛攻哑铃	连打围巾,4,44.44%,2
,,亿奥斯饼干	猛攻哑铃	轻石,15,75.0%,1
,,力量头带	弱点保险	猛攻哑铃,13,86.67%,1
,,气势头带	猛攻哑铃	轻石,5,71.43%,1
,,猛攻哑铃	能量增幅器	轻石,5,71.43%,1
,,学习装置	猛攻哑铃	轻石,4,80.0%,1
,,气势头带	猛攻哑铃	能量增幅器,3,100.0%,1
,,力量头带	咒术手镯	连打围巾,2,22.22%,1
,,气势头带	猛攻哑铃	锐利之爪,1,100.0%,1
,,弱点保险	气势头带	锐利之爪,1,50.0%,1
,,亿奥斯饼干	猛攻哑铃	锐利之爪,0,0.0%,1
,,力量头带	猛攻哑铃	锐利之爪,0,0.0%,1
,,力量头带	能量增幅器	锐利之爪,0,0.0%,1
5,武道熊师,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,52,7.19%,429,74.09%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,ウーラ辛い,86,78.18%
,,Chokol,61,74.39%
,,DdL_N'shiro_,61,73.49%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,水流连打	水流裂破	万灵药,403,74.35%,43
,,暗冥强击	深渊突刺	逃脱按键,21,65.62%,14
,,暗冥强击	深渊突刺	万灵药,3,100.0%,3
,,水流连打	水流裂破	逃脱按键,2,100.0%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	弱点保险	锐利之爪,374,74.8%,30
,,力量头带	猛攻哑铃	锐利之爪,31,73.81%,7
,,弱点保险	气势头带	锐利之爪,5,100.0%,1
,,力量头带	猛攻哑铃	能量增幅器,5,83.33%,1
,,猛攻哑铃	能量增幅器	锐利之爪,4,80.0%,1
,,亿奥斯饼干	力量头带	猛攻哑铃,3,100.0%,1
,,力量头带	焦点镜	猛攻哑铃,2,50.0%,1
,,气势头带	猛攻哑铃	锐利之爪,1,100.0%,1
,,弱点保险	气势头带	猛攻哑铃,1,100.0%,1
,,力量头带	能量增幅器	锐利之爪,1,100.0%,1
,,力量头带	弱点保险	能量增幅器,1,50.0%,1
,,力量头带	弱点保险	猛攻哑铃,1,50.0%,1
,,力量头带	焦点镜	锐利之爪,0,0.0%,1
,,救援屏障	猛攻哑铃	能量增幅器,0,0.0%,1
,,弱点保险	能量增幅器	锐利之爪,0,0.0%,1
,,气势头带	焦点镜	猛攻哑铃,0,0.0%,1
,,力量头带	咒术手镯	锐利之爪,0,0.0%,1
6,火焰鸡,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,43,5.66%,308,67.54%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,ざくす4649,96,69.06%
,,GT・Stocking,50,68.49%
,,Zawrdㅤ十,20,86.96%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,火焰拳	真气弹	逃脱按键,186,71.54%,36
,,过热		火焰踢	逃脱按键,119,62.63%,32
,,过热		火焰踢	万灵药,2,50.0%,1
,,火焰拳	真气弹	万灵药,1,50.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,弱点保险	气势头带	锐利之爪,45,77.59%,8
,,气势头带	猛攻哑铃	锐利之爪,44,70.97%,8
,,弱点保险	猛攻哑铃	锐利之爪,121,67.6%,6
,,弱点保险	气势头带	猛攻哑铃,5,33.33%,6
,,亿奥斯饼干	弱点保险	猛攻哑铃,7,50.0%,5
,,亿奥斯饼干	气势头带	猛攻哑铃,21,70.0%,4
,,亿奥斯饼干	猛攻哑铃	锐利之爪,50,65.79%,3
,,力量头带	弱点保险	猛攻哑铃,15,75.0%,2
,,力量头带	猛攻哑铃	锐利之爪,0,0.0%,1
7,超梦X,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,48,5.27%,317,74.76%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,あいにーと,86,78.9%
,,五人ニキ,59,77.63%
,,LoneitaryYT,30,78.95%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,预知未来	瞬间移动	逃脱按键,164,75.93%,9
,,精神击破	自我再生	速度强化,41,80.39%,4
,,预知未来	自我再生	万灵药,15,88.24%,9
,,精神击破	自我再生	伤药	,15,68.18%,10
,,精神击破	瞬间移动	万灵药,14,87.5%,3
,,预知未来	自我再生	伤药	,13,61.9%,9
,,预知未来	自我再生	逃脱按键,12,66.67%,9
,,精神击破	自我再生	逃脱按键,11,73.33%,8
,,精神击破	自我再生	万灵药,10,83.33%,7
,,预知未来	瞬间移动	伤药	,10,76.92%,4
,,精神击破	瞬间移动	逃脱按键,6,85.71%,2
,,预知未来	瞬间移动	万灵药,2,50.0%,3
,,精神击破	瞬间移动	速度强化,2,40.0%,4
,,精神击破	瞬间移动	伤药	,1,50.0%,1
,,预知未来	自我再生	速度强化,1,33.33%,3
,,预知未来	瞬间移动	速度强化,0,0.0%,1
,,精神击破	自我再生	脱壳忍者玩偶,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	焦点镜	锐利之爪,122,76.25%,9
,,力量头带	弱点保险	气势头带,20,76.92%,6
,,力量头带	气势头带	猛攻哑铃,15,68.18%,4
,,力量头带	气势头带	焦点镜,5,62.5%,4
,,力量头带	弱点保险	焦点镜,4,50.0%,4
,,弱点保险	气势头带	猛攻哑铃,6,66.67%,3
,,力量头带	弱点保险	猛攻哑铃,6,66.67%,3
,,力量头带	弱点保险	锐利之爪,63,78.75%,2
,,咒术手镯	弱点保险	气势头带,9,69.23%,2
,,亿奥斯饼干	学习装置	气势头带,8,88.89%,2
,,咒术手镯	弱点保险	猛攻哑铃,30,78.95%,1
,,学习装置	气势头带	焦点镜,12,75.0%,1
,,力量头带	气势头带	锐利之爪,9,64.29%,1
,,学习装置	救援屏障	气势头带,2,100.0%,1
,,力量头带	学习装置	气势头带,2,66.67%,1
,,力量头带	焦点镜	连打围巾,2,66.67%,1
,,力量头带	连打围巾	锐利之爪,1,100.0%,1
,,亿奥斯饼干	气势头带	猛攻哑铃,1,50.0%,1
