,一共游戏场数,12241
1,火焰鸡,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,98,8.02%,716,72.91%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,QG·XIANKINGG,65,75.58%
,,Aevumłïebe,52,85.25%
,,騙さない,42,68.85%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,火焰拳	真气弹	逃脱按键,385,74.47%,84
,,过热		火焰踢	逃脱按键,330,71.27%,76
,,过热		火焰踢	伤药	,1,50.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,弱点保险	猛攻哑铃	锐利之爪,256,74.64%,45
,,弱点保险	气势头带	猛攻哑铃,108,71.52%,14
,,亿奥斯饼干	弱点保险	猛攻哑铃,142,71.36%,11
,,气势头带	猛攻哑铃	锐利之爪,43,65.15%,9
,,亿奥斯饼干	猛攻哑铃	锐利之爪,58,69.88%,4
,,力量头带	弱点保险	锐利之爪,39,82.98%,3
,,亿奥斯饼干	力量头带	猛攻哑铃,30,78.95%,3
,,亿奥斯饼干	气势头带	猛攻哑铃,31,79.49%,1
,,弱点保险	焦点镜	锐利之爪,4,100.0%,1
,,共鸣护盾	猛攻哑铃	锐利之爪,2,50.0%,1
,,力量头带	弱点保险	猛攻哑铃,1,100.0%,1
,,弱点保险	气势头带	锐利之爪,1,100.0%,1
,,力量头带	焦点镜	锐利之爪,1,50.0%,1
,,共鸣护盾	弱点保险	猛攻哑铃,0,0.0%,1
,,力量头带	猛攻哑铃	锐利之爪,0,0.0%,1
,,力量头带	连打围巾	锐利之爪,0,0.0%,1
2,叶伊布,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,96,7.53%,671,72.78%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,다미ㆍヒメ°,96,70.59%
,,SendhaNamäk,68,69.39%
,,NöngLucky,55,67.07%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,日光刃	叶刃		逃脱按键,393,72.64%,61
,,日光刃	燕返		逃脱按键,112,69.57%,16
,,飞叶快刀	燕返		伤药	,61,79.22%,2
,,飞叶快刀	燕返		攻击强化,41,71.93%,11
,,飞叶快刀	燕返		逃脱按键,31,77.5%,16
,,日光刃	燕返		伤药	,16,80.0%,2
