,一共游戏场数,11327
1,可达鸭,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,113,11.57%,1025,78.18%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Webbyメ,85,69.11%
,,AXIZ_shiel,65,85.53%
,,Redux-,47,90.38%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,冲浪		定身法	伤药	,422,75.36%,38
,,冲浪		定身法	速度强化,339,82.48%,51
,,冲浪		定身法	逃脱按键,120,78.95%,18
,,冲浪		精神强念	速度强化,51,79.69%,9
,,泡沫光线	定身法	伤药	,33,67.35%,5
,,冲浪		定身法	万灵药,29,85.29%,3
,,泡沫光线	定身法	速度强化,8,88.89%,9
,,冲浪		定身法	迟缓烟雾,4,66.67%,2
,,冲浪		精神强念	伤药	,4,57.14%,5
,,泡沫光线	精神强念	伤药	,3,100.0%,3
,,泡沫光线	精神强念	速度强化,3,75.0%,4
,,冲浪		精神强念	逃脱按键,3,75.0%,3
,,泡沫光线	精神强念	逃脱按键,2,100.0%,2
,,冲浪		定身法	脱壳忍者玩偶,2,100.0%,1
,,泡沫光线	定身法	逃脱按键,2,50.0%,4
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,咒术熏香	学习装置	气势头带,288,80.67%,36
,,共鸣护盾	学习装置	气势头带,180,74.38%,19
,,学习装置	气势头带	讲究眼镜,102,90.27%,8
,,学习装置	气势头带	穿透汤匙,20,71.43%,8
,,咒术熏香	学习装置	救援屏障,20,83.33%,6
,,共鸣护盾	咒术熏香	学习装置,69,73.4%,3
,,咒术熏香	学习装置	穿透汤匙,30,88.24%,3
,,咒术熏香	学习装置	讲究眼镜,2,33.33%,3
,,共鸣护盾	学习装置	救援屏障,90,85.71%,2
,,学习装置	穿透汤匙	讲究眼镜,11,64.71%,2
,,学习装置	气势头带	进击眼镜,2,100.0%,2
,,博识眼镜	穿透汤匙	进击眼镜,2,100.0%,2
,,共鸣护盾	学习装置	穿透汤匙,2,66.67%,2
,,学习装置	救援屏障	气势头带,85,69.11%,1
,,吃剩的东西	咒术熏香	学习装置,37,82.22%,1
,,咒术熏香	穿透汤匙	进击眼镜,31,68.89%,1
,,博识眼镜	学习装置	气势头带,23,85.19%,1
,,学习装置	救援屏障	能量增幅器,12,85.71%,1
,,吃剩的东西	学习装置	轻石,5,83.33%,1
,,学习装置	气势头带	能量增幅器,4,57.14%,1
,,博识眼镜	咒术熏香	学习装置,3,75.0%,1
,,共鸣护盾	气势头带	贝壳之铃,2,100.0%,1
,,学习装置	穿透汤匙	能量增幅器,1,100.0%,1
,,学习装置	气势头带	突击背心,1,100.0%,1
,,亿奥斯饼干	咒术熏香	学习装置,1,50.0%,1
,,学习装置	穿透汤匙	进击眼镜,1,33.33%,1
,,亿奥斯饼干	咒术熏香	进击眼镜,0,0.0%,1
,,咒术熏香	学习装置	进击眼镜,0,0.0%,1
,,博识眼镜	穿透汤匙	讲究眼镜,0,0.0%,1
2,达克莱伊,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,117,11.54%,992,75.9%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,F5-DESTROYER,85,80.19%
,,隋唐宋元明清,79,81.44%
,,ComfeyNoose,66,77.65%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,暗黑洞	诡计		万灵药,742,77.45%,81
,,暗黑洞	诡计		逃脱按键,136,75.98%,23
,,暗黑洞	恶之波动	万灵药,27,60.0%,18
,,暗黑洞	诡计		脱壳忍者玩偶,23,74.19%,3
,,暗黑洞	诡计		速度强化,20,62.5%,3
,,暗黑洞	恶之波动	逃脱按键,19,65.52%,7
,,暗黑洞	诡计		伤药	,15,83.33%,2
,,暗黑洞	恶之波动	脱壳忍者玩偶,4,80.0%,2
,,暗影爪	恶之波动	万灵药,2,66.67%,3
,,暗影爪	诡计		伤药	,1,100.0%,1
,,暗黑洞	诡计		得分区控制器,1,100.0%,1
,,暗影爪	恶之波动	逃脱按键,1,50.0%,2
,,暗黑洞	诡计		攻击强化,1,50.0%,1
,,暗黑洞	恶之波动	伤药	,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,博识眼镜	穿透汤匙	讲究眼镜,552,75.62%,47
,,博识眼镜	穿透汤匙	进击眼镜,146,80.22%,21
,,博识眼镜	气势头带	穿透汤匙,60,72.29%,7
,,穿透汤匙	讲究眼镜	进击眼镜,22,73.33%,6
,,气势头带	穿透汤匙	进击眼镜,39,81.25%,4
,,穿透汤匙	能量增幅器	贝壳之铃,105,77.78%,3
,,博识眼镜	气势头带	进击眼镜,12,85.71%,3
,,博识眼镜	讲究眼镜	进击眼镜,6,66.67%,3
,,博识眼镜	咒术熏香	穿透汤匙,3,75.0%,3
,,咒术熏香	气势头带	穿透汤匙,2,40.0%,3
,,气势头带	穿透汤匙	讲究眼镜,11,78.57%,2
,,穿透汤匙	能量增幅器	讲究眼镜,6,54.55%,2
,,穿透汤匙	讲究眼镜	贝壳之铃,3,42.86%,2
,,博识眼镜	气势头带	讲究眼镜,0,0.0%,2
,,博识眼镜	穿透汤匙	贝壳之铃,13,92.86%,1
,,穿透汤匙	贝壳之铃	进击眼镜,9,75.0%,1
,,亿奥斯饼干	气势头带	进击眼镜,1,100.0%,1
,,咒术熏香	穿透汤匙	讲究眼镜,1,100.0%,1
,,充能坠饰	穿透汤匙	轻石,1,100.0%,1
,,咒术熏香	学习装置	气势头带,0,0.0%,1
