,一共游戏场数,2652
1,苍响,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,66,13.5%,277,77.37%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Hâwks,21,77.78%
,,FL_ぎょえpyi,19,90.48%
,,井上まく,19,82.61%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,金属爪	高速移动	万灵药,190,79.17%,44
,,金属爪	嬉闹		万灵药,54,72.97%,22
,,金属爪	高速移动	逃脱按键,23,76.67%,11
,,金属爪	嬉闹		逃脱按键,5,83.33%,3
,,圣剑		高速移动	逃脱按键,4,80.0%,4
,,金属爪	高速移动	攻击强化,1,100.0%,1
,,圣剑		高速移动	万灵药,0,0.0%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	腐朽的剑	锐利之爪,138,78.86%,37
,,力量头带	猛攻哑铃	腐朽的剑,110,78.57%,15
,,力量头带	焦点镜	腐朽的剑,12,70.59%,4
,,猛攻哑铃	腐朽的剑	锐利之爪,10,62.5%,4
,,力量头带	弱点保险	腐朽的剑,2,66.67%,2
,,焦点镜	腐朽的剑	锐利之爪,2,100.0%,1
,,腐朽的剑	连打围巾	锐利之爪,2,66.67%,1
,,力量头带	腐朽的剑	连打围巾,1,100.0%,1
,,猛攻哑铃	腐朽的剑	连打围巾,0,0.0%,1
2,武道熊师,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,55,12.03%,238,74.61%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,俺は脇役Cry,27,84.38%
,,ore_Hina,21,87.5%
,,ウーラ辛い,21,80.77%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,暗冥强击	深渊突刺	逃脱按键,226,74.1%,54
,,水流连打	水流裂破	万灵药,10,83.33%,4
,,暗冥强击	深渊突刺	万灵药,1,100.0%,1
,,暗冥强击	深渊突刺	速度强化,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	猛攻哑铃	锐利之爪,186,73.81%,42
,,弱点保险	猛攻哑铃	锐利之爪,8,80.0%,4
,,力量头带	弱点保险	锐利之爪,29,80.56%,3
,,焦点镜	猛攻哑铃	连打围巾,7,63.64%,1
,,弱点保险	焦点镜	锐利之爪,5,100.0%,1
,,力量头带	焦点镜	锐利之爪,2,100.0%,1
,,弱点保险	气势头带	猛攻哑铃,1,100.0%,1
,,力量头带	能量增幅器	锐利之爪,0,0.0%,1
,,充能坠饰	能量增幅器	锐利之爪,0,0.0%,1
3,谜拟丘,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,57,7.88%,141,67.46%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,おうちゃま*,17,73.91%
,,DIRE-ZORO爱,12,85.71%
,,4lbert_w,10,71.43%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,暗影爪	戏法空间	万灵药,61,65.59%,26
,,暗影爪	影子偷袭	万灵药,36,70.59%,18
,,嬉闹		影子偷袭	逃脱按键,20,95.24%,8
,,嬉闹		影子偷袭	攻击强化,11,45.83%,16
,,嬉闹		影子偷袭	万灵药,9,69.23%,8
,,嬉闹		影子偷袭	速度强化,2,100.0%,2
,,暗影爪	影子偷袭	攻击强化,1,100.0%,1
,,暗影爪	影子偷袭	速度强化,1,50.0%,2
,,暗影爪	戏法空间	攻击强化,0,0.0%,1
,,暗影爪	戏法空间	逃脱按键,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	猛攻哑铃	锐利之爪,68,63.55%,33
,,力量头带	弱点保险	锐利之爪,39,72.22%,9
,,弱点保险	猛攻哑铃	锐利之爪,14,56.0%,8
,,充能坠饰	猛攻哑铃	锐利之爪,15,88.24%,3
,,气势头带	猛攻哑铃	锐利之爪,3,100.0%,1
,,力量头带	咒术手镯	锐利之爪,1,100.0%,1
,,力量头带	焦点镜	锐利之爪,0,0.0%,1
4,密勒顿,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,48,7.5%,136,68.34%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,れんこmewFox,26,81.25%
,,覚醒ぽけごー,17,77.27%
,,AE_Kt,10,83.33%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,闪电猛冲	抛物面充电	万灵药,81,71.68%,29
,,充电光束	打雷		逃脱按键,32,60.38%,24
,,闪电猛冲	抛物面充电	逃脱按键,8,61.54%,6
,,闪电猛冲	抛物面充电	脱壳忍者玩偶,5,71.43%,3
,,充电光束	打雷		万灵药,2,100.0%,1
,,充电光束	打雷		速度强化,2,100.0%,2
,,充电光束	抛物面充电	逃脱按键,2,50.0%,4
,,充电光束	抛物面充电	万灵药,1,100.0%,1
,,充电光束	打雷		脱壳忍者玩偶,1,100.0%,1
,,充电光束	抛物面充电	速度强化,1,100.0%,1
,,闪电猛冲	抛物面充电	伤药	,1,50.0%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,博识眼镜	穿透汤匙	进击眼镜,73,67.59%,22
,,博识眼镜	穿透汤匙	讲究眼镜,11,68.75%,7
,,博识眼镜	咒术熏香	穿透汤匙,4,40.0%,4
,,咒术熏香	穿透汤匙	讲究眼镜,8,72.73%,3
,,博识眼镜	讲究眼镜	进击眼镜,26,78.79%,2
,,穿透汤匙	讲究眼镜	进击眼镜,5,100.0%,2
,,博识眼镜	气势头带	穿透汤匙,3,60.0%,1
,,咒术熏香	气势头带	贝壳之铃,1,100.0%,1
,,博识眼镜	咒术熏香	学习装置,1,100.0%,1
,,博识眼镜	学习装置	讲究眼镜,1,100.0%,1
,,博识眼镜	咒术熏香	进击眼镜,1,100.0%,1
,,博识眼镜	学习装置	穿透汤匙,1,50.0%,1
,,咒术熏香	学习装置	穿透汤匙,1,50.0%,1
,,博识眼镜	贝壳之铃	进击眼镜,0,0.0%,1
5,甜冷美后,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,47,6.71%,136,76.4%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,달코왕자리펙,13,92.86%
,,bat'神,10,66.67%
,,RGE・N8MARE,9,81.82%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,三旋击	热带踢	攻击强化,36,85.71%,13
,,三旋击	热带踢	万灵药,33,80.49%,13
,,三旋击	青草滑梯	攻击强化,16,76.19%,6
,,踩踏		热带踢	攻击强化,16,69.57%,13
,,踩踏		热带踢	万灵药,13,72.22%,13
,,踩踏		青草滑梯	万灵药,11,78.57%,9
,,三旋击	青草滑梯	万灵药,10,58.82%,9
,,踩踏		青草滑梯	攻击强化,1,100.0%,1
,,三旋击	热带踢	速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,弱点保险	气势头带	猛攻哑铃,80,76.19%,34
,,弱点保险	猛攻哑铃	锐利之爪,8,61.54%,4
,,力量头带	弱点保险	猛攻哑铃,14,73.68%,3
,,气势头带	猛攻哑铃	锐利之爪,12,75.0%,2
,,亿奥斯饼干	弱点保险	猛攻哑铃,8,100.0%,2
,,弱点保险	气势头带	锐利之爪,8,80.0%,1
,,力量头带	弱点保险	气势头带,6,85.71%,1
6,达克莱伊,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,47,6.64%,126,71.59%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,よっしーー_,15,75.0%
,,パイライトㅤ,13,92.86%
,,佐藤真二,13,81.25%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,暗黑洞	诡计		万灵药,121,71.6%,45
,,暗黑洞	恶之波动	万灵药,2,66.67%,3
,,暗黑洞	诡计		逃脱按键,1,100.0%,1
,,暗影爪	恶之波动	万灵药,1,100.0%,1
,,暗黑洞	诡计		速度强化,1,50.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,博识眼镜	穿透汤匙	讲究眼镜,43,78.18%,15
,,博识眼镜	穿透汤匙	进击眼镜,9,52.94%,7
,,博识眼镜	气势头带	穿透汤匙,20,74.07%,3
,,咒术熏香	气势头带	穿透汤匙,11,64.71%,3
,,穿透汤匙	讲究眼镜	进击眼镜,6,66.67%,3
,,博识眼镜	讲究眼镜	进击眼镜,2,50.0%,3
,,博识眼镜	学习装置	进击眼镜,6,75.0%,2
,,气势头带	穿透汤匙	进击眼镜,1,50.0%,2
,,博识眼镜	学习装置	穿透汤匙,13,81.25%,1
,,博识眼镜	学习装置	气势头带,5,71.43%,1
,,博识眼镜	穿透汤匙	能量增幅器,4,66.67%,1
,,学习装置	穿透汤匙	能量增幅器,2,66.67%,1
,,穿透汤匙	能量增幅器	讲究眼镜,1,100.0%,1
,,咒术熏香	学习装置	讲究眼镜,1,100.0%,1
,,亿奥斯饼干	博识眼镜	穿透汤匙,1,100.0%,1
,,博识眼镜	学习装置	讲究眼镜,1,100.0%,1
,,亿奥斯饼干	咒术熏香	气势头带,0,0.0%,1
7,火焰鸡,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,54,6.22%,126,76.36%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,N'shiro_,12,80.0%
,,佐藤真二,8,100.0%
,,しょごくんだ,8,80.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,火焰拳	真气弹	逃脱按键,72,80.9%,38
,,过热		火焰踢	逃脱按键,54,71.05%,39
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,弱点保险	猛攻哑铃	锐利之爪,120,75.47%,51
,,弱点保险	气势头带	猛攻哑铃,5,100.0%,2
,,学习装置	猛攻哑铃	锐利之爪,1,100.0%,1
8,月亮伊布,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,45,5.62%,95,63.76%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,ÄĮ,13,76.47%
,,・Blade<3・,9,81.82%
,,BRUpoohphaza,9,64.29%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,移花接木	大声咆哮	速度强化,60,63.83%,29
,,黑色目光	祈愿		速度强化,13,76.47%,12
,,黑色目光	祈愿		逃脱按键,9,81.82%,1
,,移花接木	祈愿		速度强化,9,69.23%,9
,,黑色目光	大声咆哮	速度强化,2,28.57%,5
,,移花接木	大声咆哮	伤药	,1,100.0%,1
,,移花接木	大声咆哮	逃脱按键,1,33.33%,3
,,黑色目光	大声咆哮	逃脱按键,0,0.0%,1
,,移花接木	祈愿		伤药	,0,0.0%,1
,,移花接木	祈愿		逃脱按键,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,亿奥斯饼干	学习装置	气势头带,37,58.73%,15
,,学习装置	气势头带	猛攻哑铃,10,66.67%,9
,,共鸣护盾	学习装置	气势头带,12,60.0%,8
,,学习装置	救援屏障	气势头带,16,66.67%,3
,,共鸣护盾	学习装置	救援屏障,10,83.33%,2
