,一共游戏场数,5497
1,火焰鸡,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,57,10.39%,409,71.63%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,心頭滅却TTV,65,67.71%
,,QG·XIANGKING,52,73.24%
,,MarkGodS,29,76.32%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,火焰拳	真气弹	逃脱按键,223,76.37%,48
,,过热		火焰踢	逃脱按键,186,66.67%,50
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,弱点保险	猛攻哑铃	锐利之爪,243,70.43%,34
,,亿奥斯饼干	弱点保险	猛攻哑铃,116,71.6%,10
,,弱点保险	气势头带	猛攻哑铃,29,80.56%,4
,,气势头带	猛攻哑铃	锐利之爪,10,83.33%,4
,,力量头带	弱点保险	猛攻哑铃,7,77.78%,2
,,共鸣护盾	弱点保险	猛攻哑铃,2,40.0%,1
,,力量头带	猛攻哑铃	锐利之爪,1,100.0%,1
,,亿奥斯饼干	学习装置	猛攻哑铃,1,100.0%,1
2,梦幻,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,59,9.59%,356,67.55%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Anya_Zeus?,69,76.67%
,,lunderu,25,69.44%
,,滅_Kt,25,60.98%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,电球		高速移动	逃脱按键,111,73.03%,29
,,日光束	光墙		逃脱按键,92,68.66%,40
,,冲浪		高速移动	逃脱按键,84,61.76%,40
,,电球		指导		逃脱按键,35,66.04%,27
,,电球		光墙		逃脱按键,17,68.0%,17
,,冲浪		光墙		逃脱按键,4,36.36%,8
,,电球		高速移动	速度强化,3,100.0%,1
,,冲浪		指导		逃脱按键,3,100.0%,2
,,日光束	指导		逃脱按键,3,100.0%,3
,,日光束	高速移动	逃脱按键,2,100.0%,2
,,日光束	光墙		速度强化,2,50.0%,1
,,冲浪		高速移动	速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,博识眼镜	穿透汤匙	讲究眼镜,353,67.37%,56
,,咒术熏香	穿透汤匙	讲究眼镜,2,100.0%,2
,,学习装置	穿透汤匙	讲究眼镜,1,100.0%,1
3,索罗亚克,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,53,8.71%,353,73.7%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,アマルカ,41,85.42%
,,ダッピャー,33,75.0%
,,SPL・Sky,25,69.44%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,暗袭要害	居合劈	万灵药,190,71.97%,36
,,出奇一击	暗影爪	万灵药,105,74.47%,24
,,暗袭要害	暗影爪	万灵药,42,80.77%,14
,,出奇一击	居合劈	万灵药,9,100.0%,3
,,出奇一击	居合劈	逃脱按键,5,50.0%,2
,,暗袭要害	居合劈	得分加速装置,1,100.0%,1
,,暗袭要害	居合劈	逃脱按键,1,100.0%,1
,,出奇一击	暗影爪	逃脱按键,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,弱点保险	气势头带	猛攻哑铃,182,73.39%,25
,,力量头带	连打围巾	锐利之爪,119,75.32%,15
,,充能坠饰	弱点保险	猛攻哑铃,24,77.42%,3
,,亿奥斯饼干	弱点保险	猛攻哑铃,10,55.56%,3
,,弱点保险	猛攻哑铃	锐利之爪,3,50.0%,2
,,力量头带	气势头带	连打围巾,10,83.33%,1
,,充能坠饰	得分护盾	轻石,1,100.0%,1
,,猛攻哑铃	轻石	锐利之爪,1,100.0%,1
,,充能坠饰	力量头带	连打围巾,1,100.0%,1
4,魔幻假面喵,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,53,8.02%,312,70.75%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,LaxusBlaze,51,73.91%
,,Lanyin,37,82.22%
,,SPL・Sky,35,72.92%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,千变万花	影子分身	逃脱按键,181,70.7%,40
,,暗袭要害	起草		逃脱按键,44,72.13%,20
,,暗袭要害	起草		脱壳忍者玩偶,43,74.14%,3
,,暗袭要害	起草		速度强化,30,78.95%,1
,,暗袭要害	影子分身	脱壳忍者玩偶,7,77.78%,1
,,千变万花	影子分身	脱壳忍者玩偶,6,46.15%,4
,,暗袭要害	起草		万灵药,1,25.0%,3
,,千变万花	起草		逃脱按键,0,0.0%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,猛攻哑铃	能量增幅器	锐利之爪,147,72.77%,16
,,弱点保险	猛攻哑铃	锐利之爪,20,62.5%,12
,,充能坠饰	猛攻哑铃	锐利之爪,25,69.44%,6
,,焦点镜	猛攻哑铃	锐利之爪,21,80.77%,3
,,力量头带	焦点镜	锐利之爪,37,72.55%,2
,,充能坠饰	猛攻哑铃	能量增幅器,23,63.89%,2
,,焦点镜	猛攻哑铃	能量增幅器,9,64.29%,2
,,力量头带	焦点镜	猛攻哑铃,2,100.0%,2
,,充能坠饰	弱点保险	猛攻哑铃,12,63.16%,1
,,弱点保险	猛攻哑铃	能量增幅器,7,77.78%,1
,,亿奥斯饼干	力量头带	焦点镜,4,80.0%,1
,,力量头带	能量增幅器	锐利之爪,3,60.0%,1
,,弱点保险	焦点镜	锐利之爪,1,100.0%,1
,,焦点镜	猛攻哑铃	轻石,1,100.0%,1
,,亿奥斯饼干	力量头带	猛攻哑铃,0,0.0%,1
,,气势头带	猛攻哑铃	锐利之爪,0,0.0%,1
5,千面避役,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,54,6.91%,285,75.0%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,cellㅤ,28,84.85%
,,NเgнtмewFoxү,22,64.71%
,,Sitetampo多,20,74.07%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,致命针刺	狙击		逃脱按键,273,75.0%,50
,,致命针刺	水流裂破	逃脱按键,5,100.0%,4
,,杂技		水流裂破	逃脱按键,4,100.0%,4
,,致命针刺	狙击		脱壳忍者玩偶,2,50.0%,3
,,杂技		水流裂破	速度强化,1,50.0%,1
,,杂技		水流裂破	攻击强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,博识眼镜	穿透汤匙	讲究眼镜,263,76.45%,51
,,博识眼镜	咒术熏香	穿透汤匙,22,64.71%,1
,,博识眼镜	讲究眼镜	进击眼镜,0,0.0%,1
,,力量头带	穿透汤匙	连打围巾,0,0.0%,1
6,水箭龟,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,66,6.66%,240,65.57%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,BarnW,22,88.0%
,,Joy_>.<,18,69.23%
,,セラータ,16,88.89%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,水炮		冲浪		逃脱按键,186,67.15%,55
,,喷水		高速旋转	逃脱按键,36,62.07%,26
,,水炮		高速旋转	逃脱按键,18,60.0%,13
,,喷水		冲浪		逃脱按键,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,共鸣护盾	学习装置	气势头带,86,69.92%,14
,,气势头带	穿透汤匙	进击眼镜,21,65.62%,11
,,学习装置	气势头带	穿透汤匙,24,57.14%,8
,,力量头带	气势头带	穿透汤匙,14,60.87%,7
,,学习装置	救援屏障	气势头带,30,61.22%,6
,,力量头带	气势头带	连打围巾,10,58.82%,4
,,咒术熏香	气势头带	进击眼镜,5,83.33%,3
,,咒术熏香	学习装置	气势头带,20,83.33%,2
,,力量头带	穿透汤匙	讲究眼镜,13,72.22%,1
,,共鸣护盾	气势头带	穿透汤匙,7,50.0%,1
,,博识眼镜	穿透汤匙	讲究眼镜,3,75.0%,1
,,共鸣护盾	救援屏障	穿透汤匙,2,66.67%,1
,,共鸣护盾	学习装置	穿透汤匙,1,100.0%,1
,,共鸣护盾	咒术熏香	学习装置,1,100.0%,1
,,亿奥斯饼干	穿透汤匙	进击眼镜,1,50.0%,1
,,力量头带	学习装置	气势头带,1,50.0%,1
,,力量头带	气势头带	进击眼镜,1,33.33%,1
,,学习装置	气势头带	能量增幅器,0,0.0%,1
,,学习装置	气势头带	讲究眼镜,0,0.0%,1
7,白蓬蓬,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,52,5.84%,225,70.09%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,퍼밍누나,42,71.19%
,,mellу,23,74.19%
,,真・めなめな,15,57.69%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,花粉团	棉花防守	逃脱按键,108,66.26%,16
,,花粉团	棉花防守	速度强化,42,75.0%,22
,,花粉团	棉孢子	逃脱按键,33,73.33%,9
,,花粉团	棉孢子	速度强化,17,85.0%,12
,,花粉团	棉花防守	万灵药,15,75.0%,5
,,花粉团	棉孢子	攻击强化,9,69.23%,4
,,青草搅拌器	棉花防守	攻击强化,1,100.0%,1
,,青草搅拌器	棉孢子	逃脱按键,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
