,一共游戏场数,4161
1,火焰鸡,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,71,11.27%,330,70.36%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,おでがキラだ,24,57.14%
,,Mfxy,21,70.0%
,,RuSSianMeLon,18,69.23%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,火焰拳	真气弹	逃脱按键,183,75.31%,60
,,过热		火焰踢	逃脱按键,145,64.73%,59
,,过热		火焰踢	速度强化,1,100.0%,1
,,过热		火焰踢	攻击强化,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,弱点保险	猛攻哑铃	锐利之爪,282,69.12%,59
,,弱点保险	气势头带	猛攻哑铃,13,76.47%,4
,,气势头带	猛攻哑铃	锐利之爪,23,76.67%,3
,,力量头带	猛攻哑铃	锐利之爪,4,80.0%,2
,,亿奥斯饼干	猛攻哑铃	锐利之爪,6,100.0%,1
,,力量头带	气势头带	猛攻哑铃,2,100.0%,1
,,咒术手镯	弱点保险	锐利之爪,0,0.0%,1
2,苍响,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,49,7.83%,242,74.23%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Kleu,76,77.55%
,,Buzzwole,38,70.37%
,,brutalhunter,19,73.08%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,金属爪	高速移动	逃脱按键,93,79.49%,18
,,金属爪	高速移动	万灵药,58,72.5%,21
,,金属爪	嬉闹		逃脱按键,40,67.8%,6
,,圣剑		高速移动	逃脱按键,31,72.09%,12
,,金属爪	嬉闹		万灵药,16,76.19%,6
,,圣剑		高速移动	万灵药,4,80.0%,3
,,圣剑		嬉闹		逃脱按键,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	腐朽的剑	锐利之爪,80,77.67%,19
,,力量头带	猛攻哑铃	腐朽的剑,125,73.53%,10
,,力量头带	焦点镜	腐朽的剑,6,75.0%,5
,,猛攻哑铃	腐朽的剑	锐利之爪,6,54.55%,5
,,力量头带	腐朽的剑	连打围巾,4,66.67%,3
,,焦点镜	腐朽的剑	锐利之爪,1,50.0%,2
,,力量头带	气势头带	腐朽的剑,10,83.33%,1
,,亿奥斯饼干	力量头带	腐朽的剑,6,66.67%,1
,,充能坠饰	力量头带	腐朽的剑,2,100.0%,1
,,焦点镜	腐朽的剑	连打围巾,1,100.0%,1
,,力量头带	弱点保险	腐朽的剑,1,50.0%,1
3,武道熊师,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,59,7.64%,237,74.53%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,FL_Solo,18,90.0%
,,おでがキラだ,16,69.57%
,,ʚchokolɞ,14,87.5%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,暗冥强击	深渊突刺	逃脱按键,213,74.74%,58
,,水流连打	水流裂破	万灵药,21,70.0%,13
,,水流连打	水流裂破	逃脱按键,2,100.0%,2
,,水流连打	水流裂破	攻击强化,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	猛攻哑铃	锐利之爪,156,73.58%,40
,,力量头带	弱点保险	锐利之爪,15,68.18%,6
,,弱点保险	猛攻哑铃	锐利之爪,21,75.0%,5
,,力量头带	焦点镜	锐利之爪,30,78.95%,3
,,充能坠饰	力量头带	焦点镜,4,100.0%,1
,,弱点保险	焦点镜	猛攻哑铃,4,57.14%,1
,,力量头带	学习装置	锐利之爪,3,100.0%,1
,,充能坠饰	力量头带	锐利之爪,2,100.0%,1
,,焦点镜	猛攻哑铃	锐利之爪,2,100.0%,1
4,达克莱伊,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,57,7.55%,227,72.29%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Mfxy,45,81.82%
,,DB_Renyiwei,44,72.13%
,,五人ニキ,27,77.14%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,暗黑洞	恶之波动	万灵药,131,76.61%,15
,,暗黑洞	诡计		万灵药,51,70.83%,29
,,暗黑洞	恶之波动	逃脱按键,21,55.26%,13
,,暗黑洞	暗影爪	脱壳忍者玩偶,3,100.0%,2
,,暗黑洞	暗影爪	万灵药,3,75.0%,3
,,暗黑洞	暗影爪	逃脱按键,3,75.0%,4
