,一共游戏场数,4272
1,红莲铠骑,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,61,8.26%,254,71.95%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,任义伟,44,66.67%
,,Renoヾ,14,87.5%
,,члz,13,86.67%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,铠农炮	精神冲击	逃脱按键,105,80.15%,31
,,火焰旋涡	蓄能焰袭	速度强化,54,60.67%,15
,,铠农炮	蓄能焰袭	逃脱按键,43,65.15%,21
,,铠农炮	精神冲击	速度强化,30,81.08%,8
,,火焰旋涡	蓄能焰袭	万灵药,7,87.5%,5
,,铠农炮	蓄能焰袭	速度强化,6,100.0%,5
,,火焰旋涡	蓄能焰袭	逃脱按键,6,60.0%,6
,,铠农炮	精神冲击	万灵药,1,100.0%,1
,,铠农炮	精神冲击	脱壳忍者玩偶,1,100.0%,1
,,火焰旋涡	蓄能焰袭	伤药	,1,50.0%,2
,,铠农炮	蓄能焰袭	伤药	,0,0.0%,1
,,铠农炮	蓄能焰袭	万灵药,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,博识眼镜	穿透汤匙	讲究眼镜,94,75.2%,28
,,咒术熏香	穿透汤匙	讲究眼镜,32,69.57%,9
,,博识眼镜	咒术熏香	穿透汤匙,30,73.17%,4
,,博识眼镜	咒术熏香	讲究眼镜,22,88.0%,3
,,咒术熏香	气势头带	穿透汤匙,9,60.0%,3
,,博识眼镜	讲究眼镜	进击眼镜,5,83.33%,3
,,气势头带	穿透汤匙	讲究眼镜,3,60.0%,2
,,亿奥斯饼干	气势头带	进击眼镜,2,66.67%,2
,,亿奥斯饼干	穿透汤匙	进击眼镜,2,50.0%,2
,,气势头带	穿透汤匙	连打围巾,44,66.67%,1
,,气势头带	穿透汤匙	贝壳之铃,6,100.0%,1
,,穿透汤匙	讲究眼镜	进击眼镜,3,50.0%,1
,,气势头带	穿透汤匙	进击眼镜,2,50.0%,1
,,亿奥斯饼干	气势头带	穿透汤匙,0,0.0%,1
2,火焰鸡,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,66,8.19%,258,73.71%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,N'shiro_,22,84.62%
,,LFS・Shinji,17,73.91%
,,LFT・Lunyxシ,14,73.68%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,火焰拳	真气弹	逃脱按键,137,76.54%,51
,,过热		火焰踢	逃脱按键,121,70.76%,57
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,弱点保险	猛攻哑铃	锐利之爪,240,74.3%,55
,,弱点保险	气势头带	猛攻哑铃,10,76.92%,4
,,气势头带	猛攻哑铃	锐利之爪,7,70.0%,4
,,亿奥斯饼干	弱点保险	猛攻哑铃,0,0.0%,2
,,亿奥斯饼干	猛攻哑铃	锐利之爪,1,100.0%,1
2,嘟嘟利,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,54,8.19%,258,73.71%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
