,一共游戏场数,12590
1,达克莱伊,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,75,17.16%,1627,75.29%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,FL_Shingdí,106,91.38%
,,謝れない,106,68.83%
,,Eclipsekazoo,93,76.86%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,暗黑洞	恶之波动	逃脱按键,477,78.2%,26
,,暗黑洞	暗影爪	逃脱按键,289,73.72%,29
,,暗黑洞	暗影爪	万灵药,261,70.16%,26
,,暗黑洞	恶之波动	万灵药,260,80.25%,21
,,暗黑洞	恶之波动	脱壳忍者玩偶,152,72.04%,10
,,暗黑洞	暗影爪	速度强化,73,69.52%,13
,,暗黑洞	恶之波动	伤药	,46,85.19%,1
,,暗黑洞	恶之波动	速度强化,31,72.09%,4
,,暗黑洞	暗影爪	脱壳忍者玩偶,9,69.23%,3
,,暗黑洞	暗影爪	攻击强化,8,80.0%,2
,,暗黑洞	恶之波动	攻击强化,8,72.73%,1
,,诡计		恶之波动	逃脱按键,5,83.33%,4
,,诡计		恶之波动	速度强化,3,100.0%,1
,,诡计		暗影爪	逃脱按键,2,66.67%,1
,,诡计		暗影爪	万灵药,1,100.0%,1
,,诡计		恶之波动	万灵药,1,100.0%,1
,,暗黑洞	暗影爪	迟缓烟雾,1,50.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,博识眼镜	穿透汤匙	讲究眼镜,558,74.01%,34
,,博识眼镜	穿透汤匙	进击眼镜,620,78.78%,17
,,穿透汤匙	讲究眼镜	进击眼镜,118,72.39%,5
,,穿透汤匙	讲究眼镜	贝壳之铃,95,77.24%,4
,,博识眼镜	气势头带	穿透汤匙,45,61.64%,4
,,博识眼镜	学习装置	穿透汤匙,7,100.0%,2
,,穿透汤匙	能量增幅器	讲究眼镜,6,50.0%,2
,,博识眼镜	咒术熏香	穿透汤匙,55,78.57%,1
,,咒术熏香	穿透汤匙	能量增幅器,50,67.57%,1
,,穿透汤匙	贝壳之铃	进击眼镜,24,68.57%,1
,,博识眼镜	穿透汤匙	贝壳之铃,22,73.33%,1
,,穿透汤匙	能量增幅器	贝壳之铃,21,84.0%,1
,,学习装置	穿透汤匙	讲究眼镜,5,71.43%,1
,,气势头带	穿透汤匙	进击眼镜,1,100.0%,1
2,苍炎刃鬼,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,138,8.62%,772,71.15%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,ŕØsè,68,64.15%
,,Fly1ngDutch,43,86.0%
,,ĆčĆ,41,87.23%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,悔念剑	潜灵奇袭	逃脱按键,283,70.93%,92
,,精神利刃	潜灵奇袭	逃脱按键,150,68.49%,24
,,悔念剑	潜灵奇袭	攻击强化,127,69.78%,28
,,精神利刃	潜灵奇袭	攻击强化,105,72.92%,18
,,精神利刃	潜灵奇袭	万灵药,48,77.42%,5
,,精神利刃	蓄能焰袭	攻击强化,42,82.35%,3
,,悔念剑	潜灵奇袭	万灵药,13,65.0%,12
,,精神利刃	蓄能焰袭	逃脱按键,1,100.0%,1
,,悔念剑	蓄能焰袭	攻击强化,1,100.0%,1
,,精神利刃	潜灵奇袭	伤药	,1,50.0%,1
,,悔念剑	潜灵奇袭	伤药	,1,33.33%,1
,,悔念剑	潜灵奇袭	速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,弱点保险	猛攻哑铃	锐利之爪,230,73.72%,64
,,力量头带	猛攻哑铃	锐利之爪,289,68.97%,29
,,力量头带	焦点镜	猛攻哑铃,75,80.65%,8
,,猛攻哑铃	能量增幅器	锐利之爪,24,72.73%,8
,,力量头带	猛攻哑铃	能量增幅器,41,68.33%,3
,,力量头带	焦点镜	锐利之爪,8,80.0%,3
,,焦点镜	猛攻哑铃	锐利之爪,17,65.38%,2
,,力量头带	气势头带	猛攻哑铃,7,70.0%,2
,,弱点保险	气势头带	猛攻哑铃,6,85.71%,2
,,咒术手镯	猛攻哑铃	锐利之爪,4,100.0%,2
,,弱点保险	猛攻哑铃	能量增幅器,4,40.0%,2
,,力量头带	弱点保险	锐利之爪,3,33.33%,2
,,力量头带	弱点保险	猛攻哑铃,1,50.0%,2
,,力量头带	咒术手镯	锐利之爪,18,66.67%,1
,,咒术手镯	弱点保险	猛攻哑铃,11,78.57%,1
,,力量头带	能量增幅器	锐利之爪,11,68.75%,1
,,猛攻哑铃	轻石	锐利之爪,7,100.0%,1
,,亿奥斯饼干	猛攻哑铃	锐利之爪,7,63.64%,1
,,力量头带	猛攻哑铃	连打围巾,6,85.71%,1
,,焦点镜	猛攻哑铃	能量增幅器,2,40.0%,1
,,弱点保险	焦点镜	猛攻哑铃,1,50.0%,1
,,猛攻哑铃	连打围巾	锐利之爪,0,0.0%,1
3,红莲铠骑,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,123,8.43%,770,72.57%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,NiJntJe,84,71.19%
,,TX・Shadow,46,74.19%
,,愛に恋よ,43,71.67%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,火焰旋涡	精神冲击	速度强化,350,73.38%,41
,,火焰旋涡	蓄能焰袭	速度强化,104,71.23%,22
,,铠农炮	精神冲击	逃脱按键,78,76.47%,41
,,火焰旋涡	精神冲击	逃脱按键,75,75.76%,14
,,火焰旋涡	精神冲击	万灵药,38,73.08%,15
,,铠农炮	精神冲击	速度强化,34,68.0%,21
,,火焰旋涡	蓄能焰袭	逃脱按键,34,59.65%,11
,,火焰旋涡	蓄能焰袭	万灵药,32,80.0%,13
,,铠农炮	蓄能焰袭	逃脱按键,15,83.33%,4
,,铠农炮	精神冲击	万灵药,3,100.0%,3
,,火焰旋涡	精神冲击	伤药	,2,25.0%,4
,,铠农炮	蓄能焰袭	速度强化,1,100.0%,1
,,火焰旋涡	精神冲击	攻击强化,1,100.0%,1
,,火焰旋涡	蓄能焰袭	攻击强化,1,50.0%,1
,,铠农炮	蓄能焰袭	万灵药,1,50.0%,2
,,火焰旋涡	蓄能焰袭	伤药	,1,33.33%,3
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,博识眼镜	穿透汤匙	讲究眼镜,179,73.66%,24
,,咒术熏香	气势头带	穿透汤匙,103,76.87%,15
,,气势头带	穿透汤匙	讲究眼镜,91,76.47%,10
,,力量头带	气势头带	穿透汤匙,10,55.56%,10
,,气势头带	穿透汤匙	贝壳之铃,11,44.0%,7
,,咒术熏香	穿透汤匙	讲究眼镜,23,74.19%,6
,,亿奥斯饼干	穿透汤匙	进击眼镜,140,72.54%,5
,,共鸣护盾	气势头带	穿透汤匙,19,59.38%,5
,,博识眼镜	穿透汤匙	进击眼镜,17,85.0%,5
,,博识眼镜	穿透汤匙	贝壳之铃,27,60.0%,4
,,气势头带	穿透汤匙	进击眼镜,9,90.0%,4
,,博识眼镜	咒术熏香	穿透汤匙,3,50.0%,4
,,博识眼镜	气势头带	穿透汤匙,9,81.82%,3
,,气势头带	穿透汤匙	连打围巾,35,71.43%,2
,,共鸣护盾	咒术熏香	穿透汤匙,24,80.0%,2
,,亿奥斯饼干	气势头带	进击眼镜,18,69.23%,2
,,穿透汤匙	贝壳之铃	进击眼镜,5,62.5%,2
,,博识眼镜	讲究眼镜	进击眼镜,4,80.0%,2
,,咒术熏香	穿透汤匙	贝壳之铃,13,76.47%,1
,,亿奥斯饼干	共鸣护盾	进击眼镜,6,85.71%,1
,,穿透汤匙	讲究眼镜	进击眼镜,5,62.5%,1
,,力量头带	穿透汤匙	进击眼镜,4,80.0%,1
,,力量头带	穿透汤匙	贝壳之铃,4,66.67%,1
,,咒术熏香	穿透汤匙	进击眼镜,3,75.0%,1
,,博识眼镜	咒术熏香	气势头带,2,100.0%,1
,,学习装置	气势头带	穿透汤匙,2,100.0%,1
,,亿奥斯饼干	讲究眼镜	进击眼镜,2,66.67%,1
,,力量头带	博识眼镜	穿透汤匙,1,100.0%,1
,,凸凸头盔	学习装置	气势头带,1,100.0%,1
4,谜拟丘,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,102,5.25%,465,70.35%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,별구름Nebula,70,75.27%
,,Mr.Yang心,47,72.31%
,,大泉_洋(23),41,68.33%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,嬉闹		影子偷袭	逃脱按键,116,70.3%,20
,,暗影爪	戏法空间	万灵药,76,76.77%,10
,,暗影爪	影子偷袭	逃脱按键,74,73.27%,9
,,嬉闹		影子偷袭	攻击强化,53,67.95%,32
,,暗影爪	影子偷袭	万灵药,35,63.64%,24
,,嬉闹		影子偷袭	速度强化,32,71.11%,8
,,暗影爪	影子偷袭	攻击强化,29,65.91%,6
,,嬉闹		影子偷袭	万灵药,26,66.67%,16
,,暗影爪	影子偷袭	速度强化,10,66.67%,8
,,嬉闹		影子偷袭	伤药	,9,75.0%,1
,,暗影爪	影子偷袭	伤药	,2,100.0%,1
,,暗影爪	戏法空间	伤药	,1,100.0%,1
,,暗影爪	戏法空间	速度强化,1,100.0%,1
,,暗影爪	戏法空间	攻击强化,1,50.0%,2
,,暗影爪	戏法空间	逃脱按键,0,0.0%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
