,一共游戏场数,6766
1,阿罗拉雷丘,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,74,10.97%,564,76.01%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,AE_77chin,37,75.51%
,,VlacanIsLive,36,76.6%
,,Tеи,30,88.24%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,辅助力量	精神强念	逃脱按键,249,74.55%,38
,,辅助力量	精神强念	攻击强化,105,83.33%,11
,,辅助力量	十万伏特	逃脱按键,71,73.96%,23
,,辅助力量	十万伏特	速度强化,38,77.55%,9
,,辅助力量	精神强念	速度强化,37,75.51%,7
,,电球		十万伏特	逃脱按键,25,69.44%,20
,,辅助力量	十万伏特	攻击强化,15,75.0%,9
,,辅助力量	精神强念	万灵药,8,88.89%,3
,,电球		十万伏特	攻击强化,5,71.43%,3
,,电球		精神强念	逃脱按键,3,100.0%,3
,,辅助力量	精神强念	脱壳忍者玩偶,3,60.0%,4
,,电球		十万伏特	速度强化,2,100.0%,2
,,电球		精神强念	攻击强化,1,100.0%,1
,,电球		十万伏特	万灵药,1,100.0%,1
,,辅助力量	十万伏特	万灵药,1,50.0%,1
,,辅助力量	十万伏特	脱壳忍者玩偶,0,0.0%,1
,,辅助力量	精神强念	伤药	,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,穿透汤匙	连打围巾	驱动镜,95,70.9%,18
,,博识眼镜	连打围巾	驱动镜,54,70.13%,10
,,力量头带	连打围巾	驱动镜,87,74.36%,8
,,博识眼镜	穿透汤匙	驱动镜,55,76.39%,8
,,力量头带	穿透汤匙	驱动镜,51,76.12%,6
,,穿透汤匙	讲究眼镜	驱动镜,45,80.36%,4
,,力量头带	穿透汤匙	连打围巾,35,74.47%,3
,,博识眼镜	讲究眼镜	驱动镜,12,75.0%,3
,,力量头带	博识眼镜	驱动镜,22,88.0%,2
,,咒术熏香	穿透汤匙	驱动镜,15,78.95%,2
,,力量头带	贝壳之铃	驱动镜,30,88.24%,1
,,学习装置	进击眼镜	驱动镜,26,96.3%,1
,,能量增幅器	讲究眼镜	驱动镜,14,77.78%,1
,,博识眼镜	贝壳之铃	连打围巾,9,60.0%,1
,,穿透汤匙	进击眼镜	驱动镜,5,100.0%,1
,,力量头带	博识眼镜	讲究眼镜,4,80.0%,1
,,穿透汤匙	能量增幅器	驱动镜,2,100.0%,1
,,博识眼镜	学习装置	讲究眼镜,1,50.0%,1
,,能量增幅器	贝壳之铃	驱动镜,1,50.0%,1
,,咒术熏香	讲究眼镜	驱动镜,1,50.0%,1
2,叶伊布,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,64,6.3%,311,73.0%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,?रोहित,27,81.82%
,,ONICeeyorr王,23,71.88%
,,Overtsutsumi,20,64.52%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,飞叶快刀	燕返		攻击强化,259,72.35%,51
,,飞叶快刀	燕返		万灵药,17,73.91%,7
