,一共游戏场数,10436
1,阿勃梭鲁,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,150,17.92%,1398,74.76%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,새우_,59,88.06%
,,Iguin花,56,80.0%
,,ヌメたん天使,54,77.14%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,暗袭要害	精神利刃	万灵药,380,76.15%,46
,,追打		精神利刃	万灵药,207,76.38%,42
,,暗袭要害	精神利刃	逃脱按键,194,73.21%,34
,,追打		精神利刃	逃脱按键,177,77.63%,26
,,追打		精神利刃	攻击强化,127,75.6%,23
,,追打		精神利刃	向尾喵的尾巴,76,73.08%,7
,,暗袭要害	精神利刃	攻击强化,47,62.67%,26
,,追打		突袭		逃脱按键,46,77.97%,15
,,暗袭要害	精神利刃	向尾喵的尾巴,38,71.7%,10
,,追打		突袭		伤药	,29,76.32%,1
,,追打		精神利刃	速度强化,21,80.77%,3
,,追打		突袭		万灵药,20,60.61%,21
,,暗袭要害	精神利刃	速度强化,15,88.24%,6
,,暗袭要害	突袭		逃脱按键,7,63.64%,3
,,追打		精神利刃	伤药	,5,71.43%,2
,,追打		突袭		攻击强化,3,75.0%,3
,,追打		精神利刃	脱壳忍者玩偶,2,100.0%,1
,,暗袭要害	突袭		万灵药,2,66.67%,1
,,暗袭要害	突袭		伤药	,1,100.0%,1
,,暗袭要害	精神利刃	脱壳忍者玩偶,1,100.0%,1
,,暗袭要害	精神利刃	伤药	,0,0.0%,1
,,暗袭要害	突袭		攻击强化,0,0.0%,2
,,追打		突袭		得分加速装置,0,0.0%,1
,,追打		突袭		向尾喵的尾巴,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,焦点镜	猛攻哑铃	锐利之爪,568,76.45%,61
,,焦点镜	能量增幅器	锐利之爪,500,74.74%,51
,,充能坠饰	焦点镜	锐利之爪,197,76.36%,18
,,焦点镜	猛攻哑铃	能量增幅器,12,50.0%,4
,,气势头带	焦点镜	锐利之爪,37,62.71%,3
,,焦点镜	轻石	锐利之爪,54,73.97%,2
,,治愈王冠	焦点镜	锐利之爪,20,68.97%,2
,,力量头带	焦点镜	锐利之爪,3,60.0%,2
,,猛攻哑铃	能量增幅器	锐利之爪,2,100.0%,2
,,弱点保险	焦点镜	锐利之爪,2,100.0%,1
,,得分护盾	焦点镜	锐利之爪,2,66.67%,1
