,一共游戏场数,4082
1,火焰鸡,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,70,9.82%,285,71.07%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Ex_Pisterio,20,76.92%
,,よひめろでぃ,18,94.74%
,,Gеnzo若林!,17,77.27%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,火焰拳	真气弹	逃脱按键,167,74.89%,61
,,过热		火焰踢	逃脱按键,111,65.68%,55
,,火焰拳	真气弹	伤药	,4,80.0%,3
,,过热		火焰踢	伤药	,3,75.0%,3
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,弱点保险	猛攻哑铃	锐利之爪,108,65.85%,29
,,增速护腕	猛攻哑铃	锐利之爪,26,76.47%,7
,,凸凸头盔	弱点保险	猛攻哑铃,24,72.73%,6
,,气势头带	猛攻哑铃	锐利之爪,13,59.09%,6
,,亿奥斯饼干	猛攻哑铃	锐利之爪,44,78.57%,5
,,亿奥斯饼干	弱点保险	猛攻哑铃,17,68.0%,4
,,亿奥斯饼干	凸凸头盔	猛攻哑铃,18,75.0%,3
,,凸凸头盔	猛攻哑铃	锐利之爪,15,75.0%,3
,,力量头带	弱点保险	猛攻哑铃,3,100.0%,2
,,增速护腕	弱点保险	猛攻哑铃,2,66.67%,2
,,亿奥斯饼干	增速护腕	猛攻哑铃,10,90.91%,1
,,弱点保险	气势头带	猛攻哑铃,4,100.0%,1
,,凸凸头盔	气势头带	猛攻哑铃,1,50.0%,1
2,千面避役,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,60,7.79%,225,70.75%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,ʚあいにーとɞ,29,87.88%
,,LDX_Nerie,23,69.7%
,,xLancelot.,10,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,致命针刺	狙击		逃脱按键,215,71.67%,57
,,致命针刺	狙击		万灵药,5,71.43%,1
,,杂技		水流裂破	逃脱按键,4,57.14%,5
,,致命针刺	狙击		脱壳忍者玩偶,1,100.0%,1
,,致命针刺	水流裂破	逃脱按键,0,0.0%,1
,,杂技		水流裂破	脱壳忍者玩偶,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,博识眼镜	穿透汤匙	讲究眼镜,172,70.2%,37
,,穿透汤匙	讲究眼镜	驱动镜,27,72.97%,11
,,博识眼镜	讲究眼镜	驱动镜,17,62.96%,8
,,穿透汤匙	讲究眼镜	贝壳之铃,6,100.0%,1
,,博识眼镜	咒术熏香	穿透汤匙,1,100.0%,1
,,穿透汤匙	进击眼镜	驱动镜,1,100.0%,1
,,博识眼镜	穿透汤匙	驱动镜,1,100.0%,1
3,月亮伊布,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,54,7.25%,208,70.27%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,ÄĮ,25,86.21%
,,LDX_mare,19,76.0%
,,"Charu_""",16,76.19%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,移花接木	大声咆哮	速度强化,142,68.93%,44
,,黑色目光	祈愿		速度强化,32,71.11%,20
,,移花接木	祈愿		速度强化,21,72.41%,12
,,黑色目光	大声咆哮	速度强化,12,85.71%,7
,,移花接木	大声咆哮	伤药	,1,50.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,学习装置	救援屏障	气势头带,65,73.03%,15
,,亿奥斯饼干	学习装置	气势头带,41,65.08%,11
