,一共游戏场数,2593
1,火焰鸡,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,65,14.81%,276,71.88%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,AXIZ_Yupono,23,53.49%
,,xLancelot.,18,81.82%
,,LDX_GGLemon,17,70.83%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,火焰拳	真气弹	逃脱按键,157,74.76%,54
,,过热		火焰踢	逃脱按键,113,68.9%,46
,,过热		火焰踢	伤药	,3,75.0%,2
,,火焰拳	真气弹	伤药	,3,50.0%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,弱点保险	猛攻哑铃	锐利之爪,138,73.8%,35
,,气势头带	猛攻哑铃	锐利之爪,50,78.12%,17
,,亿奥斯饼干	猛攻哑铃	锐利之爪,25,80.65%,3
,,凸凸头盔	弱点保险	猛攻哑铃,15,68.18%,3
,,力量头带	猛攻哑铃	锐利之爪,17,65.38%,2
,,凸凸头盔	气势头带	猛攻哑铃,23,53.49%,1
,,亿奥斯饼干	弱点保险	猛攻哑铃,5,83.33%,1
,,增速护腕	猛攻哑铃	锐利之爪,2,100.0%,1
,,充能坠饰	猛攻哑铃	锐利之爪,1,50.0%,1
,,弱点保险	气势头带	猛攻哑铃,0,0.0%,1
2,叶伊布,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,37,8.87%,171,74.35%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,</>メLeo.,58,84.06%
,,AXIZ_Yupono,11,91.67%
,,Vlacan1vs9,11,68.75%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,飞叶快刀	燕返		攻击强化,156,74.29%,33
,,日光刃	叶刃		逃脱按键,12,85.71%,3
,,飞叶快刀	燕返		万灵药,2,40.0%,4
,,飞叶快刀	燕返		得分加速装置,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,猛攻哑铃	能量增幅器	锐利之爪,143,73.33%,29
,,增速护腕	猛攻哑铃	能量增幅器,5,55.56%,3
,,充能坠饰	增速护腕	能量增幅器,11,91.67%,1
,,增速护腕	猛攻哑铃	锐利之爪,8,88.89%,1
,,充能坠饰	猛攻哑铃	能量增幅器,2,66.67%,1
,,学习装置	得分护盾	护符金币,1,100.0%,1
,,充能坠饰	猛攻哑铃	锐利之爪,1,100.0%,1
3,超梦Y,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,44,7.06%,127,69.4%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,</>メRen-Ren,25,96.15%
,,RC_piui,8,88.89%
,,RB_GGKotа,8,80.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,精神击破	瞬间移动	攻击强化,110,70.06%,37
,,精神击破	瞬间移动	逃脱按键,12,66.67%,7
,,预知未来	瞬间移动	攻击强化,2,50.0%,3
,,预知未来	自我再生	逃脱按键,1,100.0%,1
,,预知未来	瞬间移动	逃脱按键,1,100.0%,1
,,精神击破	瞬间移动	万灵药,1,50.0%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	讲究眼镜	连打围巾,23,54.76%,8
,,力量头带	讲究围巾	连打围巾,23,60.53%,7
,,力量头带	穿透汤匙	连打围巾,12,85.71%,4
,,咒术熏香	学习装置	讲究眼镜,3,50.0%,3
,,博识眼镜	学习装置	讲究眼镜,3,75.0%,2
,,博识眼镜	穿透汤匙	讲究眼镜,3,42.86%,2
,,穿透汤匙	讲究眼镜	连打围巾,2,100.0%,2
,,博识眼镜	咒术熏香	穿透汤匙,25,96.15%,1
,,咒术熏香	穿透汤匙	驱动镜,8,72.73%,1
,,咒术熏香	讲究围巾	连打围巾,6,75.0%,1
,,咒术熏香	讲究眼镜	连打围巾,3,75.0%,1
,,穿透汤匙	讲究围巾	连打围巾,3,75.0%,1
,,力量头带	咒术熏香	连打围巾,3,75.0%,1
,,学习装置	穿透汤匙	讲究眼镜,2,100.0%,1
,,博识眼镜	讲究眼镜	驱动镜,2,100.0%,1
,,力量头带	学习装置	连打围巾,1,100.0%,1
,,学习装置	讲究围巾	讲究眼镜,1,100.0%,1
,,咒术熏香	穿透汤匙	讲究眼镜,1,100.0%,1
,,力量头带	学习装置	讲究眼镜,1,100.0%,1
,,咒术熏香	讲究围巾	讲究眼镜,1,100.0%,1
,,博识眼镜	讲究围巾	讲究眼镜,1,50.0%,1
,,学习装置	讲究眼镜	驱动镜,0,0.0%,1
,,学习装置	讲究眼镜	连打围巾,0,0.0%,1
4,千面避役,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,37,6.75%,131,74.86%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,ENOCSeVra¿,12,92.31%
,,HƚtmanㅤR,12,75.0%
,,よひしろよひ,12,66.67%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,致命针刺	狙击		逃脱按键,128,74.85%,37
,,杂技		水流裂破	逃脱按键,2,100.0%,1
,,致命针刺	水流裂破	逃脱按键,1,50.0%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,博识眼镜	穿透汤匙	讲究眼镜,108,75.0%,26
,,博识眼镜	讲究眼镜	驱动镜,10,76.92%,5
,,穿透汤匙	讲究眼镜	驱动镜,10,83.33%,3
,,博识眼镜	穿透汤匙	驱动镜,0,0.0%,2
,,博识眼镜	咒术熏香	讲究眼镜,3,75.0%,1
5,甜冷美后,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,44,5.98%,118,76.13%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,LD・OorA,14,93.33%
,,storм,11,78.57%
,,Chokoru*,8,80.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,三旋击	热带踢	万灵药,48,70.59%,26
,,踩踏		热带踢	万灵药,21,75.0%,11
,,三旋击	青草滑梯	万灵药,13,86.67%,10
,,三旋击	青草滑梯	攻击强化,10,83.33%,2
,,踩踏		热带踢	攻击强化,8,100.0%,3
,,踩踏		青草滑梯	万灵药,6,85.71%,5
,,三旋击	热带踢	攻击强化,4,66.67%,4
,,三旋击	热带踢	速度强化,4,66.67%,2
,,踩踏		青草滑梯	攻击强化,2,100.0%,1
,,三旋击	热带踢	伤药	,1,100.0%,1
,,三旋击	青草滑梯	速度强化,1,50.0%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,弱点保险	气势头带	猛攻哑铃,88,77.19%,29
,,力量头带	气势头带	猛攻哑铃,6,54.55%,5
,,增速护腕	气势头带	猛攻哑铃,3,75.0%,3
,,凸凸头盔	气势头带	突击背心,11,78.57%,1
,,凸凸头盔	弱点保险	猛攻哑铃,3,100.0%,1
,,力量头带	猛攻哑铃	连打围巾,2,100.0%,1
,,气势头带	猛攻哑铃	连打围巾,2,100.0%,1
,,凸凸头盔	气势头带	猛攻哑铃,2,66.67%,1
,,气势头带	猛攻哑铃	锐利之爪,1,100.0%,1
,,弱点保险	猛攻哑铃	能量增幅器,0,0.0%,1
6,烈咬陆鲨,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,38,5.44%,103,73.05%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,</>メLeo.,16,88.89%
,,ISN・Miva,11,55.0%
,,AXIZ_Yupono,10,76.92%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,龙之俯冲	龙爪		逃脱按键,101,73.72%,37
,,挖洞		地震		伤药	,1,100.0%,1
,,龙之俯冲	龙爪		万灵药,1,50.0%,1
,,龙之俯冲	龙爪		攻击强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,弱点保险	气势头带	连打围巾,24,77.42%,9
,,力量头带	气势头带	猛攻哑铃,19,90.48%,6
,,气势头带	猛攻哑铃	连打围巾,11,68.75%,6
,,力量头带	气势头带	连打围巾,32,72.73%,5
,,力量头带	焦点镜	连打围巾,4,66.67%,2
,,凸凸头盔	力量头带	气势头带,3,75.0%,2
,,凸凸头盔	气势头带	连打围巾,3,60.0%,2
,,力量头带	猛攻哑铃	连打围巾,2,100.0%,1
,,力量头带	气势头带	焦点镜,2,66.67%,1
,,力量头带	弱点保险	气势头带,2,66.67%,1
,,力量头带	猛攻哑铃	能量增幅器,1,33.33%,1
,,凸凸头盔	力量头带	连打围巾,0,0.0%,1
,,力量头带	讲究围巾	连打围巾,0,0.0%,1
7,嘟嘟利,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,38,5.4%,104,74.29%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,</>メLeo.,11,84.62%
,,LD・Piachu,9,81.82%
,,ことぶき君,8,72.73%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,三重攻击	飞踢		万灵药,86,74.14%,34
,,啄钻		飞踢		万灵药,13,72.22%,8
,,三重攻击	飞踢		得分加速装置,2,100.0%,1
,,三重攻击	高速移动	万灵药,2,66.67%,3
,,啄钻		高速移动	万灵药,1,100.0%,1
