排名,名称,使用人数,使用率,使用率变化,胜场数,胜率
1,嘟嘟利,60,27.67%,7.38%,1237,77.02%
2,梦幻,65,27.41%,2.61%,1199,75.36%
3,魔墙人偶,60,24.46%,-0.21%,1060,74.65%
4,索罗亚克,37,14.23%,0.98%,592,71.67%
5,甜冷美后,41,10.65%,-0.76%,445,72.01%
6,坚盾剑怪,33,9.53%,0.92%,389,70.34%
7,路卡利欧,51,7.61%,2.03%,305,69.0%
8,玛力露丽,33,6.2%,0.29%,255,70.83%
9,妙蛙花,30,4.36%,-0.84%,186,73.52%
10,象牙猪,24,3.69%,0.59%,166,77.57%
11,甲贺忍蛙,33,3.51%,0.7%,151,74.02%
12,白蓬蓬,22,3.22%,-0.16%,125,66.84%
13,巨钳螳螂,24,3.2%,-0.5%,130,69.89%
14,烈咬陆鲨,14,2.48%,-1.15%,96,66.67%
15,卡比兽,27,2.46%,-0.05%,104,72.73%
15,幸福蛋,12,2.46%,-0.65%,102,71.33%
17,妖火红狐,31,2.36%,-1.15%,105,76.64%
18,冰伊布,16,2.33%,-2.23%,92,68.15%
19,阿罗拉九尾,16,1.91%,-0.8%,75,67.57%
20,阿勃梭鲁,18,1.83%,1.08%,75,70.75%
21,喷火龙,25,1.55%,-0.09%,66,73.33%
22,怪力,13,1.02%,-1.07%,39,66.1%
23,皮可西,6,0.96%,-0.33%,38,67.86%
24,闪焰王牌,18,0.95%,0.17%,36,65.45%
25,耿鬼,15,0.91%,-0.2%,39,73.58%
26,皮卡丘,16,0.86%,-0.46%,29,58.0%
27,沙奈朵,9,0.79%,0.21%,33,71.74%
28,捷拉奥拉,9,0.76%,0.48%,28,63.64%
29,爆肌蚊,10,0.71%,0.16%,24,58.54%
30,快龙,16,0.67%,0.27%,28,71.79%
31,岩殿居蟹,10,0.65%,-0.22%,28,73.68%
32,狙射树枭,14,0.64%,0.41%,23,62.16%
32,铝钢龙,11,0.64%,0.34%,24,64.86%
34,烈箭鹰,9,0.53%,-0.01%,22,70.97%
35,班基拉斯,15,0.48%,-0.53%,23,82.14%
36,胡帕,11,0.45%,-0.96%,20,76.92%
37,藏饱栗鼠,13,0.43%,0.13%,21,84.0%
38,呆壳兽,9,0.41%,-0.3%,15,62.5%
39,古月鸟,8,0.33%,0.01%,12,63.16%
40,胖可丁,9,0.29%,-0.09%,11,64.71%
41,水箭龟,8,0.19%,-0.11%,8,72.73%
41,仙子伊布,7,0.19%,-0.06%,7,63.64%
43,太阳伊布,3,0.14%,-0.13%,4,50.0%
44,朽木妖,5,0.09%,-0.2%,4,80.0%
