排名,名称,使用人数,使用率,使用率变化,胜场数,胜率
1,梦幻,112,32.53%,-5.58%,1705,74.29%
2,魔墙人偶,113,23.07%,-1.98%,1212,74.45%
3,坚盾剑怪,96,12.53%,-4.26%,631,71.38%
4,嘟嘟利,51,8.53%,4.23%,457,75.91%
5,阿勃梭鲁,61,7.72%,0.7%,379,69.54%
6,甜冷美后,71,7.31%,-5.71%,372,72.09%
7,甲贺忍蛙,44,6.62%,0.67%,325,69.59%
8,玛力露丽,68,6.34%,-8.73%,331,74.05%
9,巨钳螳螂,46,6.07%,5.06%,294,68.69%
10,冰伊布,44,5.34%,-1.15%,262,69.5%
11,皮可西,19,4.9%,0.0%,262,75.72%
12,路卡利欧,47,4.12%,-2.47%,195,67.01%
13,耿鬼,33,3.27%,-1.05%,165,71.43%
14,喷火龙,49,3.2%,-1.61%,170,75.22%
15,闪焰王牌,25,2.85%,2.08%,141,70.15%
16,快龙,37,2.79%,-0.92%,145,73.6%
17,班基拉斯,31,2.78%,1.59%,149,76.02%
18,幸福蛋,28,2.75%,-1.88%,137,70.62%
19,象牙猪,31,2.68%,-1.31%,131,69.31%
20,卡比兽,38,2.34%,-3.17%,115,69.7%
21,妖火红狐,40,2.03%,-1.11%,96,67.13%
22,古月鸟,20,1.76%,0.62%,93,75.0%
23,胖可丁,14,1.09%,-1.53%,62,80.52%
24,狙射树枭,24,1.05%,-1.86%,55,74.32%
25,爆肌蚊,23,1.01%,-1.21%,47,66.2%
26,烈箭鹰,19,0.89%,-3.18%,36,57.14%
27,藏饱栗鼠,9,0.85%,-0.49%,38,63.33%
28,铝钢龙,12,0.79%,0.38%,41,73.21%
29,怪力,22,0.78%,0.01%,37,67.27%
30,朽木妖,14,0.74%,-0.06%,40,76.92%
31,呆壳兽,12,0.72%,0.18%,27,52.94%
32,皮卡丘,18,0.58%,0.17%,27,65.85%
33,烈咬陆鲨,5,0.5%,0.44%,29,82.86%
34,妙蛙花,14,0.43%,0.19%,22,73.33%
35,捷拉奥拉,6,0.37%,-0.22%,16,61.54%
36,水箭龟,13,0.34%,-0.3%,14,58.33%
37,仙子伊布,10,0.17%,-0.24%,11,91.67%
38,阿罗拉九尾,7,0.16%,-0.15%,9,81.82%
39,太阳伊布,5,0.11%,-0.17%,3,37.5%
40,沙奈朵,7,0.1%,-0.26%,3,42.86%
41,胡帕,5,0.07%,-0.57%,2,40.0%
42,岩殿居蟹,4,0.06%,0.03%,2,50.0%
42,白蓬蓬,4,0.06%,-0.64%,3,75.0%
