排名,名称,使用人数,使用率,使用率变化,胜场数,胜率
1,梦幻,57,33.13%,0.0%,700,76.34%
2,魔墙人偶,49,26.73%,0.0%,582,78.65%
3,嘟嘟利,36,20.7%,0.0%,442,77.14%
4,坚盾剑怪,36,12.03%,0.0%,251,75.38%
5,甲贺忍蛙,20,7.33%,0.0%,141,69.46%
6,玛力露丽,32,7.23%,0.0%,149,74.5%
7,甜冷美后,30,7.12%,0.0%,152,77.16%
8,冰伊布,22,7.08%,0.0%,147,75.0%
9,阿勃梭鲁,26,6.11%,0.0%,122,72.19%
10,皮可西,10,5.2%,0.0%,113,78.47%
11,路卡利欧,21,4.91%,0.0%,87,63.97%
12,象牙猪,11,2.93%,0.0%,59,72.84%
13,巨钳螳螂,17,2.71%,0.0%,53,70.67%
14,班基拉斯,8,2.67%,0.0%,60,81.08%
15,幸福蛋,9,2.49%,0.0%,54,78.26%
16,耿鬼,13,2.17%,0.0%,38,63.33%
17,喷火龙,17,1.63%,0.0%,34,75.56%
18,闪焰王牌,8,1.52%,0.0%,37,88.1%
19,快龙,10,1.41%,0.0%,32,82.05%
20,卡比兽,10,1.37%,0.0%,25,65.79%
21,妖火红狐,12,1.23%,0.0%,26,76.47%
22,烈箭鹰,7,0.72%,0.0%,14,70.0%
22,狙射树枭,8,0.72%,0.0%,15,75.0%
24,藏饱栗鼠,4,0.61%,0.0%,14,82.35%
25,怪力,6,0.51%,0.0%,10,71.43%
26,胖可丁,3,0.47%,0.0%,10,76.92%
27,爆肌蚊,5,0.43%,0.0%,10,83.33%
27,捷拉奥拉,4,0.43%,0.0%,11,91.67%
29,古月鸟,7,0.29%,0.0%,6,75.0%
30,皮卡丘,3,0.25%,0.0%,5,71.43%
31,朽木妖,4,0.18%,0.0%,4,80.0%
32,铝钢龙,4,0.14%,0.0%,3,75.0%
33,沙奈朵,3,0.11%,0.0%,2,66.67%
33,仙子伊布,3,0.11%,0.0%,3,100.0%
35,妙蛙花,2,0.07%,0.0%,2,100.0%
35,白蓬蓬,2,0.07%,0.0%,1,50.0%
35,呆壳兽,2,0.07%,0.0%,2,100.0%
35,水箭龟,2,0.07%,0.0%,2,100.0%
35,太阳伊布,2,0.07%,0.0%,1,50.0%
35,胡帕,2,0.07%,0.0%,0,0.0%
41,阿罗拉九尾,1,0.04%,0.0%,0,0.0%
41,烈咬陆鲨,1,0.04%,0.0%,0,0.0%
