排名,名称,使用人数,使用率,使用率变化,胜场数,胜率
1,梦幻,40,33.07%,0.0%,358,79.2%
2,魔墙人偶,36,28.53%,0.0%,302,77.44%
3,冰伊布,31,16.17%,0.0%,168,76.02%
4,阿勃梭鲁,28,12.51%,0.0%,140,81.87%
5,卡比兽,18,11.27%,0.0%,114,74.03%
5,路卡利欧,25,11.27%,0.0%,110,71.43%
7,坚盾剑怪,25,9.29%,0.0%,98,77.17%
8,耿鬼,15,7.24%,0.0%,73,73.74%
9,古月鸟,16,5.12%,0.0%,60,85.71%
10,喷火龙,16,4.61%,0.0%,50,79.37%
11,甲贺忍蛙,13,3.8%,0.0%,38,73.08%
12,藏饱栗鼠,8,3.15%,0.0%,33,76.74%
13,妖火红狐,9,2.71%,0.0%,29,78.38%
14,胡帕,4,2.41%,0.0%,25,75.76%
15,甜冷美后,16,2.34%,0.0%,21,65.62%
15,班基拉斯,6,2.34%,0.0%,26,81.25%
17,幸福蛋,9,2.27%,0.0%,18,58.06%
18,闪焰王牌,7,1.9%,0.0%,18,69.23%
19,象牙猪,4,1.68%,0.0%,18,78.26%
19,怪力,8,1.68%,0.0%,14,60.87%
19,快龙,3,1.68%,0.0%,16,69.57%
22,捷拉奥拉,8,1.46%,0.0%,15,75.0%
23,妙蛙花,3,1.32%,0.0%,12,66.67%
23,朽木妖,5,1.32%,0.0%,16,88.89%
25,白蓬蓬,3,0.95%,0.0%,11,84.62%
25,烈箭鹰,4,0.95%,0.0%,11,84.62%
27,阿罗拉九尾,5,0.88%,0.0%,7,58.33%
28,狙射树枭,5,0.8%,0.0%,11,100.0%
29,胖可丁,4,0.73%,0.0%,7,70.0%
30,水箭龟,5,0.59%,0.0%,6,75.0%
31,爆肌蚊,5,0.44%,0.0%,4,66.67%
31,皮卡丘,2,0.44%,0.0%,6,100.0%
33,太阳伊布,4,0.37%,0.0%,4,80.0%
34,玛力露丽,4,0.29%,0.0%,2,50.0%
34,岩殿居蟹,4,0.29%,0.0%,4,100.0%
34,仙子伊布,3,0.29%,0.0%,4,100.0%
37,烈咬陆鲨,2,0.15%,0.0%,1,50.0%
37,沙奈朵,2,0.15%,0.0%,2,100.0%
39,呆壳兽,1,0.07%,0.0%,1,100.0%
