排名,名称,使用人数,使用率,使用率变化,胜场数,胜率
1,梦幻,66,38.27%,-6.32%,1383,73.02%
2,魔墙人偶,82,29.2%,-4.2%,1042,72.11%
3,坚盾剑怪,63,18.69%,3.53%,664,71.78%
4,阿勃梭鲁,45,14.87%,-4.2%,507,68.89%
5,冰伊布,41,9.44%,-3.34%,336,71.95%
6,卡比兽,40,9.38%,-1.8%,312,67.24%
7,喷火龙,45,8.39%,-2.5%,290,69.88%
8,古月鸟,31,6.14%,-6.4%,213,70.07%
9,甜冷美后,33,5.56%,3.19%,193,70.18%
10,嘟嘟利,19,5.11%,3.26%,173,68.38%
11,甲贺忍蛙,25,4.18%,-2.78%,153,73.91%
12,耿鬼,27,3.62%,1.44%,130,72.63%
13,路卡利欧,33,3.54%,-3.58%,119,68.0%
13,烈箭鹰,25,3.54%,-2.55%,115,65.71%
15,藏饱栗鼠,12,3.33%,0.42%,118,71.52%
16,幸福蛋,21,3.01%,2.04%,99,66.44%
17,象牙猪,17,2.16%,1.07%,81,75.7%
18,胖可丁,9,1.72%,0.92%,63,74.12%
19,怪力,13,1.41%,0.16%,48,68.57%
20,妖火红狐,19,1.29%,-0.51%,39,60.94%
21,班基拉斯,16,1.13%,0.47%,36,64.29%
22,狙射树枭,15,1.03%,0.45%,35,68.63%
23,朽木妖,12,0.99%,0.04%,38,77.55%
24,捷拉奥拉,15,0.89%,0.02%,31,70.45%
25,快龙,13,0.69%,-0.37%,19,55.88%
26,玛力露丽,3,0.65%,0.53%,24,75.0%
27,沙奈朵,9,0.55%,0.32%,20,74.07%
28,闪焰王牌,12,0.53%,-0.5%,18,69.23%
29,皮卡丘,9,0.48%,-0.83%,17,70.83%
30,胡帕,9,0.46%,-0.61%,13,56.52%
31,烈咬陆鲨,4,0.4%,0.29%,10,50.0%
32,呆壳兽,9,0.36%,-0.2%,12,66.67%
33,太阳伊布,11,0.3%,-0.02%,8,53.33%
33,白蓬蓬,6,0.3%,-0.28%,9,60.0%
35,水箭龟,13,0.26%,-0.13%,6,46.15%
36,阿罗拉九尾,5,0.24%,0.16%,8,66.67%
36,爆肌蚊,6,0.24%,-0.25%,6,50.0%
38,妙蛙花,5,0.16%,-0.25%,6,75.0%
39,岩殿居蟹,2,0.12%,-0.01%,5,83.33%
39,仙子伊布,5,0.12%,-0.1%,4,66.67%
41,铝钢龙,5,0.1%,0.08%,2,40.0%
