排名,名称,使用人数,使用率,使用率变化,胜场数,胜率
1,超梦X,89,39.49%,-14.59%,1589,71.61%
2,苍响,55,16.23%,5.19%,654,71.71%
3,拉普拉斯,57,10.59%,4.9%,440,73.95%
4,皮可西,48,10.09%,0.16%,399,70.37%
5,阿罗拉九尾,52,8.95%,1.2%,375,74.55%
6,千面避役,45,6.8%,0.52%,250,65.45%
7,梦幻,43,6.25%,-0.36%,232,66.1%
8,索罗亚克,42,6.05%,3.18%,226,66.47%
9,武道熊师,36,5.2%,2.11%,206,70.55%
10,冰伊布,44,4.73%,2.82%,190,71.43%
11,水箭龟,43,4.04%,2.24%,167,73.57%
12,月亮伊布,46,4.02%,-1.71%,165,73.01%
13,叶伊布,42,3.86%,-0.42%,149,68.66%
14,花疗环环,29,3.59%,-1.69%,130,64.36%
15,路卡利欧,34,3.11%,-0.48%,123,70.29%
16,捷拉奥拉,21,2.94%,1.67%,111,67.27%
17,白蓬蓬,28,2.6%,1.25%,115,78.77%
18,呆壳兽,31,2.38%,-1.44%,95,70.9%
19,妙蛙花,40,2.26%,0.66%,92,72.44%
20,沙奈朵,21,2.01%,0.66%,86,76.11%
21,嘟嘟利,31,1.99%,-0.03%,69,61.61%
22,妖火红狐,30,1.94%,0.38%,79,72.48%
23,幸福蛋,25,1.62%,0.48%,65,71.43%
24,太阳伊布,24,1.46%,0.11%,66,80.49%
25,胡帕,31,1.39%,-0.44%,46,58.97%
26,朽木妖,31,1.26%,0.11%,47,66.2%
27,狙射树枭,19,1.12%,1.01%,44,69.84%
28,水晶灯火灵,21,0.93%,-0.38%,36,69.23%
29,怪力,18,0.85%,-0.17%,36,75.0%
30,爆肌蚊,20,0.73%,-0.03%,24,58.54%
31,仙子伊布,11,0.69%,0.47%,24,61.54%
32,烈咬陆鲨,7,0.68%,0.59%,31,81.58%
33,巨钳螳螂,20,0.62%,-0.3%,23,65.71%
33,古月鸟,14,0.62%,0.19%,20,57.14%
35,甲贺忍蛙,16,0.55%,0.12%,18,58.06%
36,卡比兽,14,0.53%,-0.63%,22,73.33%
36,黏美龙,15,0.53%,-0.03%,20,66.67%
36,象牙猪,15,0.53%,-0.44%,20,66.67%
36,闪焰王牌,11,0.53%,0.11%,20,66.67%
40,岩殿居蟹,12,0.34%,0.11%,10,52.63%
40,皮卡丘,9,0.34%,-0.03%,17,89.47%
42,玛力露丽,10,0.27%,0.21%,7,46.67%
42,魔墙人偶,13,0.27%,0.11%,9,60.0%
42,坚盾剑怪,11,0.27%,0.2%,14,93.33%
45,阿勃梭鲁,9,0.25%,0.02%,10,71.43%
46,快龙,7,0.21%,-0.04%,4,33.33%
47,胖可丁,8,0.18%,-0.19%,9,90.0%
47,耿鬼,7,0.18%,0.04%,7,70.0%
47,烈箭鹰,7,0.18%,-0.12%,6,60.0%
50,勾魂眼,4,0.16%,-0.19%,3,33.33%
51,甜冷美后,5,0.14%,0.0%,3,37.5%
51,班基拉斯,7,0.14%,-0.05%,7,87.5%
51,多龙巴鲁托,6,0.14%,0.04%,7,87.5%
54,藏饱栗鼠,5,0.09%,-0.05%,4,80.0%
55,喷火龙,4,0.07%,-0.01%,3,75.0%
55,铝钢龙,3,0.07%,0.03%,3,75.0%
