排名,名称,使用人数,使用率,使用率变化,胜场数,胜率
1,超梦Y,79,56.04%,10.12%,1679,74.42%
2,苍响,47,11.18%,1.32%,314,69.78%
3,拉普拉斯,58,11.13%,0.77%,338,75.45%
4,幸福蛋,40,9.71%,-2.41%,290,74.17%
5,月亮伊布,37,6.78%,0.26%,183,67.03%
6,千面避役,48,6.11%,-0.83%,166,67.48%
7,梦幻,29,4.99%,0.86%,133,66.17%
8,叶伊布,41,4.74%,-0.53%,123,64.4%
9,武道熊师,32,4.05%,-0.29%,112,68.71%
10,索罗亚克,33,3.65%,0.26%,76,51.7%
11,妙蛙花,33,3.2%,-0.39%,86,66.67%
12,嘟嘟利,30,2.88%,0.77%,73,62.93%
13,烈咬陆鲨,14,2.21%,-0.4%,65,73.03%
14,皮可西,16,1.94%,-2.37%,48,61.54%
15,妖火红狐,30,1.86%,-0.74%,46,61.33%
16,水箭龟,21,1.81%,0.36%,63,86.3%
17,胡帕,20,1.79%,0.19%,48,66.67%
17,卡比兽,12,1.79%,-0.57%,54,75.0%
19,沙奈朵,21,1.76%,-0.27%,52,73.24%
20,勾魂眼,9,1.74%,0.9%,53,75.71%
21,阿罗拉九尾,22,1.64%,-1.06%,52,78.79%
22,路卡利欧,18,1.56%,0.35%,39,61.9%
23,冰伊布,20,1.54%,-0.64%,35,56.45%
24,怪力,17,1.24%,-0.73%,28,56.0%
24,超梦X,15,1.24%,-2.0%,27,54.0%
26,朽木妖,20,1.22%,0.54%,31,63.27%
27,白蓬蓬,17,1.09%,-0.88%,34,77.27%
28,呆壳兽,18,1.04%,-0.76%,32,76.19%
29,太阳伊布,15,0.99%,-0.18%,25,62.5%
30,烈箭鹰,7,0.84%,0.01%,26,76.47%
31,巨钳螳螂,8,0.79%,0.1%,26,81.25%
32,岩殿居蟹,11,0.77%,-0.36%,24,77.42%
33,爆肌蚊,13,0.75%,-0.29%,18,60.0%
34,水晶灯火灵,13,0.7%,-0.39%,21,75.0%
34,古月鸟,7,0.7%,0.44%,21,75.0%
36,花疗环环,8,0.65%,-0.1%,20,76.92%
37,甲贺忍蛙,11,0.55%,0.26%,17,77.27%
37,狙射树枭,15,0.55%,0.16%,11,50.0%
39,耿鬼,7,0.52%,-0.14%,16,76.19%
40,皮卡丘,12,0.45%,0.19%,11,61.11%
41,捷拉奥拉,9,0.42%,-0.27%,12,70.59%
42,快龙,7,0.37%,0.24%,9,60.0%
43,黏美龙,9,0.35%,-0.23%,10,71.43%
43,班基拉斯,8,0.35%,-0.18%,9,64.29%
45,闪焰王牌,10,0.3%,0.07%,8,66.67%
45,象牙猪,9,0.3%,0.15%,7,58.33%
47,魔墙人偶,5,0.22%,-0.29%,5,55.56%
47,甜冷美后,5,0.22%,0.11%,7,77.78%
47,仙子伊布,4,0.22%,-0.29%,7,77.78%
50,喷火龙,8,0.2%,-0.09%,4,50.0%
51,阿勃梭鲁,5,0.17%,-0.05%,5,71.43%
52,铝钢龙,3,0.15%,0.05%,4,66.67%
53,胖可丁,4,0.1%,0.0%,3,75.0%
54,多龙巴鲁托,3,0.07%,0.03%,0,0.0%
54,藏饱栗鼠,3,0.07%,0.01%,2,66.67%
54,坚盾剑怪,2,0.07%,-0.2%,2,66.67%
54,玛力露丽,3,0.07%,-0.07%,3,100.0%
