排名,名称,使用人数,使用率,使用率变化,胜场数,胜率
1,梦幻,63,23.15%,4.14%,649,69.04%
2,嘟嘟利,51,21.25%,7.71%,662,76.71%
3,武道熊师,63,20.17%,-1.63%,602,73.5%
4,妖火红狐,55,16.35%,-1.83%,476,71.69%
5,皮可西,39,9.26%,0.4%,280,74.47%
6,勾魂眼,11,8.67%,0.31%,272,77.27%
7,巨钳螳螂,33,8.08%,-2.01%,227,69.21%
8,冰伊布,45,7.93%,1.46%,221,68.63%
9,胡帕,34,7.63%,0.5%,228,73.55%
10,坚盾剑怪,46,7.46%,3.66%,208,68.65%
11,呆壳兽,45,7.39%,2.71%,213,71.0%
12,路卡利欧,40,5.84%,0.19%,169,71.31%
13,索罗亚克,34,5.64%,1.6%,145,63.32%
14,卡比兽,38,5.49%,0.67%,149,66.82%
15,沙奈朵,37,5.1%,-0.09%,160,77.29%
16,玛力露丽,26,4.01%,1.88%,121,74.23%
17,幸福蛋,34,3.99%,-0.23%,104,64.2%
18,甜冷美后,27,3.64%,-2.44%,93,62.84%
19,怪力,34,3.57%,-0.47%,93,64.14%
20,古月鸟,23,3.45%,1.34%,99,70.71%
21,水箭龟,39,2.98%,0.99%,87,71.9%
22,甲贺忍蛙,33,2.95%,-0.08%,79,65.83%
23,班基拉斯,29,2.63%,0.28%,82,76.64%
24,狙射树枭,25,2.51%,0.7%,75,73.53%
25,象牙猪,29,2.49%,0.5%,72,71.29%
26,烈咬陆鲨,17,2.07%,1.14%,52,61.9%
27,仙子伊布,26,1.99%,0.49%,61,75.31%
27,魔墙人偶,28,1.99%,0.15%,61,75.31%
29,太阳伊布,22,1.97%,1.05%,51,63.75%
30,白蓬蓬,26,1.87%,0.57%,51,67.11%
31,阿勃梭鲁,27,1.8%,0.15%,48,65.75%
32,皮卡丘,22,1.75%,1.05%,52,73.24%
33,爆肌蚊,22,1.58%,0.47%,44,68.75%
34,烈箭鹰,16,1.53%,0.64%,43,69.35%
35,藏饱栗鼠,20,1.38%,-0.29%,46,82.14%
36,多龙巴鲁托,16,1.23%,-0.44%,38,76.0%
37,闪焰王牌,17,0.94%,0.25%,31,81.58%
38,耿鬼,13,0.86%,0.64%,25,71.43%
39,妙蛙花,18,0.79%,-0.8%,22,68.75%
40,花疗环环,8,0.71%,0.0%,13,44.83%
41,朽木妖,12,0.59%,0.25%,17,70.83%
42,胖可丁,7,0.54%,0.22%,14,63.64%
43,阿罗拉九尾,11,0.52%,-0.37%,17,80.95%
44,快龙,16,0.44%,0.2%,14,77.78%
45,铝钢龙,8,0.25%,0.15%,8,80.0%
45,岩殿居蟹,6,0.25%,-0.3%,6,60.0%
47,捷拉奥拉,7,0.2%,0.1%,3,37.5%
48,喷火龙,5,0.15%,0.07%,5,83.33%
