排名,名称,使用人数,使用率,使用率变化,胜场数,胜率
1,苍响,56,38.62%,0.0%,2031,85.41%
2,花疗环环,60,15.25%,12.32%,793,84.45%
3,梦幻,63,12.39%,-4.96%,664,87.02%
4,太阳伊布,62,11.11%,8.71%,605,88.45%
5,呆壳兽,54,9.09%,-2.17%,493,88.04%
6,冰伊布,53,8.18%,2.66%,445,88.29%
7,嘟嘟利,48,7.96%,-11.51%,433,88.37%
8,勾魂眼,31,7.75%,-1.93%,436,91.4%
9,怪力,51,5.21%,0.35%,280,87.23%
10,朽木妖,48,4.82%,3.95%,268,90.24%
11,妖火红狐,40,4.45%,-8.59%,246,89.78%
12,武道熊师,44,3.8%,-14.52%,199,85.04%
13,沙奈朵,41,3.62%,-2.62%,192,86.1%
14,卡比兽,32,3.26%,-0.39%,174,86.57%
15,皮可西,26,3.22%,-3.24%,175,88.38%
16,路卡利欧,47,3.04%,-2.42%,158,84.49%
17,水箭龟,39,2.47%,-2.27%,130,85.53%
18,索罗亚克,31,2.39%,-3.54%,116,78.91%
19,巨钳螳螂,30,2.05%,-0.92%,106,84.13%
20,古月鸟,24,2.03%,-1.46%,112,89.6%
21,幸福蛋,27,1.9%,0.18%,99,84.62%
22,象牙猪,21,1.88%,0.48%,104,89.66%
23,闪焰王牌,22,1.8%,1.24%,88,79.28%
24,坚盾剑怪,26,1.58%,-3.11%,83,85.57%
25,魔墙人偶,20,1.53%,-0.31%,83,88.3%
26,狙射树枭,33,1.32%,-1.02%,71,87.65%
27,妙蛙花,25,1.22%,-0.62%,63,84.0%
28,胡帕,21,1.15%,-1.9%,61,85.92%
29,阿勃梭鲁,18,1.09%,-0.53%,54,80.6%
29,甲贺忍蛙,25,1.09%,-0.91%,56,83.58%
31,甜冷美后,16,0.94%,-1.34%,52,89.66%
32,仙子伊布,24,0.93%,-0.82%,48,84.21%
33,玛力露丽,16,0.81%,-2.59%,32,64.0%
34,班基拉斯,13,0.75%,-6.49%,40,86.96%
35,耿鬼,18,0.63%,-0.02%,33,84.62%
36,多龙巴鲁托,8,0.62%,0.02%,35,92.11%
37,胖可丁,8,0.58%,-0.01%,31,86.11%
37,白蓬蓬,15,0.58%,-0.73%,31,86.11%
39,爆肌蚊,14,0.55%,-0.88%,29,85.29%
40,烈箭鹰,16,0.5%,-2.55%,23,74.19%
41,皮卡丘,15,0.45%,0.02%,25,89.29%
42,快龙,17,0.41%,0.0%,20,80.0%
43,喷火龙,7,0.36%,0.11%,21,95.45%
44,烈咬陆鲨,11,0.34%,-4.56%,18,85.71%
45,藏饱栗鼠,15,0.31%,-0.38%,14,73.68%
46,阿罗拉九尾,4,0.29%,0.07%,17,94.44%
47,捷拉奥拉,8,0.24%,-0.47%,15,100.0%
48,岩殿居蟹,4,0.08%,-0.17%,5,100.0%
49,铝钢龙,2,0.03%,-1.28%,2,100.0%
