排名,名称,使用人数,使用率,使用率变化,胜场数,胜率
1,超梦X,89,53.96%,26.88%,3215,73.93%
2,苍响,56,10.19%,-0.01%,581,70.77%
3,花疗环环,38,7.87%,2.18%,449,70.82%
4,千面避役,55,6.55%,-3.49%,368,69.7%
5,皮可西,43,5.93%,2.66%,365,76.36%
6,叶伊布,55,5.61%,-1.73%,293,64.82%
7,阿罗拉九尾,57,4.96%,-1.28%,277,69.25%
8,月亮伊布,50,4.14%,-1.63%,240,71.86%
9,梦幻,42,3.95%,0.51%,233,73.27%
10,拉普拉斯,49,3.9%,-1.01%,224,71.34%
11,索罗亚克,43,3.66%,-0.26%,204,69.15%
12,呆壳兽,45,3.6%,0.06%,199,68.62%
13,嘟嘟利,31,2.71%,-0.39%,156,71.56%
14,武道熊师,36,2.67%,-0.92%,150,69.77%
15,妖火红狐,40,2.63%,0.83%,134,63.21%
16,沙奈朵,27,2.54%,1.25%,161,78.54%
17,路卡利欧,50,2.43%,-1.49%,131,66.84%
18,冰伊布,33,2.23%,0.52%,118,65.56%
19,胡帕,36,2.11%,-0.53%,116,68.24%
20,象牙猪,26,1.79%,-0.0%,101,70.14%
21,捷拉奥拉,34,1.77%,-1.72%,94,65.73%
22,怪力,22,1.53%,0.67%,86,69.92%
23,水箭龟,31,1.5%,-0.64%,82,67.77%
24,白蓬蓬,18,1.24%,0.33%,71,71.0%
25,太阳伊布,24,1.12%,-0.02%,67,74.44%
26,妙蛙花,33,1.1%,-0.87%,56,62.92%
27,朽木妖,27,1.03%,0.37%,59,71.08%
28,胖可丁,11,1.02%,0.8%,52,63.41%
29,水晶灯火灵,26,0.94%,-0.86%,59,77.63%
30,卡比兽,13,0.89%,0.21%,57,79.17%
31,幸福蛋,25,0.81%,-0.37%,43,66.15%
32,巨钳螳螂,18,0.76%,-0.33%,42,68.85%
33,爆肌蚊,20,0.69%,-0.42%,36,64.29%
34,闪焰王牌,23,0.68%,-0.86%,35,63.64%
35,黏美龙,16,0.65%,-0.05%,35,67.31%
36,仙子伊布,10,0.57%,0.32%,33,71.74%
37,勾魂眼,8,0.48%,0.11%,28,71.79%
38,甲贺忍蛙,15,0.45%,-0.85%,25,69.44%
39,皮卡丘,13,0.41%,0.1%,24,72.73%
40,古月鸟,16,0.27%,-0.03%,12,54.55%
40,烈箭鹰,11,0.27%,-0.1%,16,72.73%
40,狙射树枭,17,0.27%,-0.73%,12,54.55%
40,耿鬼,10,0.27%,-0.23%,14,63.64%
44,快龙,8,0.2%,-1.09%,13,81.25%
44,班基拉斯,8,0.2%,0.03%,10,62.5%
46,魔墙人偶,12,0.17%,-0.01%,9,64.29%
46,甜冷美后,6,0.17%,-0.1%,3,21.43%
48,玛力露丽,8,0.15%,-0.49%,7,58.33%
49,多龙巴鲁托,7,0.14%,-0.0%,7,63.64%
49,喷火龙,6,0.14%,-0.04%,9,81.82%
51,坚盾剑怪,7,0.11%,-0.08%,6,66.67%
52,藏饱栗鼠,6,0.09%,-0.05%,3,42.86%
53,岩殿居蟹,4,0.07%,-0.52%,3,50.0%
54,烈咬陆鲨,5,0.06%,-0.11%,3,60.0%
54,铝钢龙,3,0.06%,-0.04%,4,80.0%
54,阿勃梭鲁,4,0.06%,-0.11%,2,40.0%
