排名,名称,使用人数,使用率,使用率变化,胜场数,胜率
1,超梦X,92,54.08%,0.12%,2786,72.38%
2,苍响,55,11.04%,0.86%,583,74.17%
3,皮可西,39,9.93%,4.0%,527,74.54%
4,阿罗拉九尾,61,7.76%,2.79%,398,72.1%
5,梦幻,42,6.6%,2.66%,323,68.72%
6,千面避役,47,6.28%,-0.27%,309,69.13%
7,月亮伊布,46,5.73%,1.59%,300,73.53%
8,拉普拉斯,47,5.69%,1.79%,290,71.6%
9,花疗环环,35,5.28%,-2.58%,251,66.76%
10,叶伊布,43,4.29%,-1.32%,204,66.89%
11,呆壳兽,35,3.82%,0.22%,169,62.13%
12,路卡利欧,36,3.6%,1.16%,165,64.45%
13,武道熊师,30,3.09%,0.42%,150,68.18%
14,索罗亚克,38,2.87%,-0.79%,135,66.18%
15,嘟嘟利,31,2.02%,-0.68%,88,61.11%
16,冰伊布,24,1.91%,-0.32%,92,67.65%
17,胡帕,29,1.83%,-0.28%,94,72.31%
18,水箭龟,32,1.8%,0.3%,95,74.22%
19,妙蛙花,34,1.6%,0.5%,88,77.19%
20,妖火红狐,28,1.56%,-1.07%,78,70.27%
21,沙奈朵,24,1.35%,-1.19%,71,73.96%
21,太阳伊布,23,1.35%,0.23%,70,72.92%
21,白蓬蓬,27,1.35%,0.11%,57,59.38%
24,水晶灯火灵,26,1.31%,0.36%,58,62.37%
25,捷拉奥拉,27,1.26%,-0.51%,53,58.89%
26,卡比兽,17,1.17%,0.27%,56,67.47%
27,朽木妖,19,1.15%,0.12%,56,68.29%
28,幸福蛋,25,1.14%,0.33%,58,71.6%
29,怪力,24,1.03%,-0.5%,54,73.97%
30,象牙猪,14,0.97%,-0.82%,43,62.32%
31,巨钳螳螂,16,0.93%,0.17%,43,65.15%
32,爆肌蚊,22,0.76%,0.06%,33,61.11%
33,黏美龙,14,0.56%,-0.08%,28,70.0%
34,古月鸟,16,0.44%,0.16%,19,61.29%
34,甲贺忍蛙,12,0.44%,-0.01%,21,67.74%
36,闪焰王牌,16,0.42%,-0.26%,22,73.33%
37,胖可丁,10,0.37%,-0.65%,14,53.85%
37,皮卡丘,12,0.37%,-0.04%,19,73.08%
39,勾魂眼,9,0.35%,-0.13%,11,44.0%
40,烈箭鹰,11,0.3%,0.02%,11,52.38%
41,快龙,6,0.25%,0.05%,15,83.33%
42,岩殿居蟹,7,0.22%,0.15%,10,62.5%
42,仙子伊布,13,0.22%,-0.35%,10,62.5%
42,阿勃梭鲁,7,0.22%,0.16%,9,56.25%
45,班基拉斯,5,0.2%,-0.0%,9,64.29%
46,魔墙人偶,9,0.15%,-0.02%,6,54.55%
47,甜冷美后,8,0.14%,-0.03%,6,60.0%
47,耿鬼,7,0.14%,-0.13%,7,70.0%
47,藏饱栗鼠,6,0.14%,0.05%,6,60.0%
50,狙射树枭,7,0.11%,-0.16%,7,87.5%
51,多龙巴鲁托,4,0.1%,-0.04%,5,71.43%
52,烈咬陆鲨,5,0.08%,0.02%,5,83.33%
52,喷火龙,6,0.08%,-0.05%,6,100.0%
54,坚盾剑怪,4,0.07%,-0.04%,4,80.0%
55,玛力露丽,2,0.06%,-0.09%,2,50.0%
56,铝钢龙,1,0.04%,-0.02%,2,66.67%
