排名,名称,使用人数,使用率,使用率变化,胜场数,胜率
1,月亮伊布,67,23.07%,-2.17%,1042,73.85%
2,叶伊布,55,18.32%,-0.33%,787,70.27%
3,索罗亚克,54,15.99%,1.87%,683,69.84%
4,快龙,45,10.78%,3.11%,489,74.2%
5,水晶灯火灵,54,9.7%,-1.61%,453,76.39%
6,梦幻,53,7.75%,0.34%,323,68.14%
7,阿罗拉九尾,42,6.59%,2.81%,300,74.44%
8,皮可西,43,6.49%,-1.13%,291,73.3%
9,胡帕,36,6.0%,1.33%,253,68.94%
10,武道熊师,43,5.41%,1.51%,238,71.9%
11,冰伊布,42,5.18%,-0.42%,200,63.09%
12,白蓬蓬,24,3.5%,0.37%,157,73.36%
13,妖火红狐,36,3.25%,0.04%,157,78.89%
13,嘟嘟利,38,3.25%,0.75%,130,65.33%
15,拉普拉斯,41,3.22%,-3.85%,138,70.05%
16,呆壳兽,28,3.04%,0.79%,141,75.81%
17,太阳伊布,28,2.68%,1.99%,109,66.46%
18,幸福蛋,26,2.44%,0.95%,112,75.17%
19,巨钳螳螂,32,2.42%,0.5%,105,70.95%
20,沙奈朵,25,2.31%,1.3%,96,68.09%
21,妙蛙花,34,1.96%,-0.22%,87,72.5%
22,狙射树枭,28,1.82%,0.03%,75,67.57%
23,坚盾剑怪,25,1.67%,0.58%,68,66.67%
24,水箭龟,22,1.49%,0.1%,67,73.63%
25,路卡利欧,23,1.37%,-0.04%,53,63.1%
26,爆肌蚊,26,1.31%,0.01%,47,58.75%
27,捷拉奥拉,7,1.28%,0.57%,52,66.67%
28,朽木妖,23,1.26%,0.44%,58,75.32%
29,勾魂眼,9,1.14%,0.11%,43,61.43%
30,甲贺忍蛙,19,1.11%,0.25%,50,73.53%
31,玛力露丽,17,0.92%,-0.65%,38,67.86%
31,怪力,19,0.92%,-0.27%,32,57.14%
33,卡比兽,16,0.9%,-1.14%,31,56.36%
34,仙子伊布,18,0.88%,0.13%,39,72.22%
35,苍响,10,0.8%,-0.95%,31,63.27%
36,烈咬陆鲨,13,0.72%,0.14%,32,72.73%
37,皮卡丘,14,0.64%,0.28%,25,64.1%
38,闪焰王牌,21,0.62%,-0.58%,27,71.05%
39,多龙巴鲁托,9,0.56%,0.2%,24,70.59%
40,耿鬼,11,0.52%,-0.14%,21,65.62%
41,古月鸟,13,0.51%,-0.81%,22,70.97%
42,藏饱栗鼠,13,0.47%,0.29%,20,68.97%
43,烈箭鹰,16,0.39%,-0.47%,15,62.5%
43,班基拉斯,5,0.39%,0.14%,17,70.83%
45,魔墙人偶,15,0.38%,-0.26%,16,69.57%
46,阿勃梭鲁,13,0.34%,-0.12%,10,47.62%
47,喷火龙,9,0.29%,0.05%,16,88.89%
48,甜冷美后,8,0.26%,0.09%,12,75.0%
49,花疗环环,7,0.25%,-0.82%,3,20.0%
50,胖可丁,7,0.2%,-0.03%,6,50.0%
50,岩殿居蟹,7,0.2%,0.01%,8,66.67%
50,黏美龙,8,0.2%,-0.07%,6,50.0%
53,象牙猪,8,0.18%,0.05%,6,54.55%
54,铝钢龙,4,0.07%,0.01%,3,75.0%
