排名,名称,使用人数,使用率,使用率变化,胜场数,胜率
1,苍响,73,42.57%,7.1%,2723,87.95%
2,花疗环环,56,23.32%,-0.6%,1493,88.03%
3,冰伊布,56,14.4%,2.17%,925,88.35%
4,朽木妖,66,14.11%,0.6%,915,89.18%
5,勾魂眼,32,11.19%,1.86%,733,90.05%
6,太阳伊布,57,10.64%,-1.71%,682,88.11%
7,梦幻,50,10.53%,2.11%,673,87.86%
8,呆壳兽,57,7.1%,0.51%,446,86.43%
9,嘟嘟利,55,5.71%,-0.56%,365,87.95%
10,沙奈朵,42,5.01%,0.26%,329,90.38%
11,武道熊师,46,4.63%,-1.85%,294,87.24%
12,路卡利欧,42,3.59%,0.26%,213,81.61%
13,巨钳螳螂,29,3.44%,2.39%,212,84.8%
14,古月鸟,31,3.38%,0.55%,213,86.59%
15,皮可西,25,3.22%,-1.98%,198,84.62%
16,怪力,44,3.09%,-0.6%,183,81.33%
17,妖火红狐,44,3.08%,-0.55%,189,84.38%
18,狙射树枭,31,2.63%,1.17%,171,89.53%
19,卡比兽,29,2.04%,0.16%,128,86.49%
20,甲贺忍蛙,36,1.97%,-1.94%,116,81.12%
21,闪焰王牌,24,1.82%,-1.13%,113,85.61%
22,索罗亚克,23,1.68%,-2.18%,103,84.43%
23,水箭龟,35,1.55%,-1.25%,95,84.07%
24,黏美龙,9,1.5%,0.0%,91,83.49%
25,妙蛙花,29,1.38%,0.31%,81,81.0%
26,胡帕,24,1.36%,-0.97%,79,79.8%
27,阿勃梭鲁,28,1.17%,0.12%,73,85.88%
28,多龙巴鲁托,10,1.16%,0.93%,73,86.9%
29,白蓬蓬,12,1.07%,0.18%,65,83.33%
30,象牙猪,19,1.05%,-0.06%,70,92.11%
31,爆肌蚊,24,1.02%,0.25%,65,87.84%
32,烈咬陆鲨,23,0.96%,0.09%,61,87.14%
33,烈箭鹰,20,0.87%,-0.38%,48,76.19%
34,甜冷美后,14,0.84%,-0.35%,51,83.61%
35,幸福蛋,16,0.73%,-0.85%,42,79.25%
35,仙子伊布,20,0.73%,-0.13%,43,81.13%
37,耿鬼,18,0.62%,-0.13%,35,77.78%
38,魔墙人偶,16,0.61%,-0.18%,39,88.64%
39,班基拉斯,20,0.56%,-0.54%,35,85.37%
40,坚盾剑怪,19,0.52%,-0.44%,32,84.21%
41,玛力露丽,14,0.34%,-0.53%,20,80.0%
42,藏饱栗鼠,13,0.33%,0.15%,17,70.83%
42,皮卡丘,16,0.33%,-0.16%,14,58.33%
44,胖可丁,14,0.3%,0.18%,19,86.36%
45,捷拉奥拉,14,0.25%,-1.03%,15,83.33%
46,快龙,9,0.21%,0.12%,12,80.0%
47,喷火龙,6,0.18%,0.02%,12,92.31%
48,岩殿居蟹,6,0.08%,-0.02%,3,50.0%
49,铝钢龙,5,0.07%,-0.0%,4,80.0%
50,阿罗拉九尾,4,0.06%,-0.14%,3,75.0%
