排名,名称,使用人数,使用率,使用率变化,胜场数,胜率
1,苍响,53,34.38%,-4.19%,1977,87.32%
2,花疗环环,54,18.04%,0.35%,1003,84.43%
3,朽木妖,69,16.26%,0.61%,928,86.65%
4,冰伊布,57,14.59%,2.57%,832,86.58%
5,勾魂眼,45,13.52%,0.8%,787,88.43%
6,梦幻,52,10.49%,1.1%,584,84.52%
7,太阳伊布,52,9.54%,-0.0%,534,85.03%
8,呆壳兽,59,9.02%,1.58%,505,85.02%
9,武道熊师,48,6.09%,1.99%,328,81.8%
10,嘟嘟利,40,4.72%,-0.23%,260,83.6%
11,怪力,40,4.01%,0.55%,223,84.47%
12,沙奈朵,32,3.68%,-1.75%,214,88.43%
13,水箭龟,48,3.43%,0.76%,182,80.53%
14,阿勃梭鲁,26,3.02%,1.96%,157,78.89%
15,妖火红狐,31,2.89%,-1.26%,164,86.32%
16,索罗亚克,18,2.78%,-0.33%,148,80.87%
17,路卡利欧,37,2.31%,0.16%,117,76.97%
18,妙蛙花,21,2.03%,1.15%,117,87.31%
19,古月鸟,25,2.02%,-0.08%,118,88.72%
20,卡比兽,29,1.94%,-0.03%,105,82.03%
21,皮可西,21,1.64%,0.18%,78,72.22%
22,白蓬蓬,25,1.61%,0.81%,84,79.25%
23,烈箭鹰,21,1.31%,0.07%,66,76.74%
24,狙射树枭,26,1.25%,-0.61%,72,87.8%
25,象牙猪,21,1.23%,0.12%,69,85.19%
26,甲贺忍蛙,31,1.2%,-0.06%,61,77.22%
27,幸福蛋,19,1.03%,0.32%,53,77.94%
28,胡帕,25,1.0%,0.15%,47,71.21%
29,巨钳螳螂,29,0.94%,-1.23%,48,77.42%
30,胖可丁,15,0.73%,0.32%,44,91.67%
30,魔墙人偶,19,0.73%,-0.42%,44,91.67%
32,闪焰王牌,17,0.7%,-0.05%,41,89.13%
33,仙子伊布,19,0.64%,-0.47%,33,78.57%
34,烈咬陆鲨,18,0.53%,-0.08%,27,77.14%
35,爆肌蚊,12,0.52%,-0.12%,29,85.29%
36,玛力露丽,11,0.49%,0.24%,23,71.88%
37,甜冷美后,19,0.46%,0.09%,26,86.67%
38,多龙巴鲁托,10,0.43%,-0.41%,24,85.71%
38,皮卡丘,16,0.43%,0.06%,23,82.14%
40,坚盾剑怪,14,0.38%,-0.32%,20,80.0%
41,黏美龙,7,0.36%,-0.57%,19,79.17%
42,班基拉斯,13,0.29%,0.0%,14,73.68%
43,耿鬼,11,0.26%,-0.13%,15,88.24%
44,阿罗拉九尾,7,0.23%,-0.14%,13,86.67%
45,岩殿居蟹,8,0.18%,-0.0%,10,83.33%
46,藏饱栗鼠,7,0.17%,-0.02%,10,90.91%
47,捷拉奥拉,7,0.15%,-0.08%,10,100.0%
48,快龙,6,0.14%,0.05%,8,88.89%
49,铝钢龙,3,0.12%,0.08%,7,87.5%
50,喷火龙,4,0.09%,-0.05%,4,66.67%
