排名,名称,使用人数,使用率,使用率变化,胜场数,胜率
1,苍响,28,25.73%,0.4%,639,69.31%
2,冰伊布,53,13.78%,-5.99%,356,72.06%
3,索罗亚克,47,11.3%,-0.37%,269,66.42%
4,拉普拉斯,57,9.93%,0.18%,259,72.75%
5,花疗环环,22,6.78%,-2.65%,173,71.19%
6,嘟嘟利,42,6.31%,-3.79%,163,72.12%
7,呆壳兽,34,4.85%,-3.22%,133,76.44%
8,阿罗拉九尾,36,4.55%,-0.34%,115,70.55%
9,水晶灯火灵,41,4.44%,0.32%,109,68.55%
10,武道熊师,40,3.49%,1.04%,83,66.4%
11,梦幻,31,3.4%,-0.55%,82,67.21%
12,胡帕,23,3.32%,-0.94%,77,64.71%
13,妖火红狐,30,3.07%,0.38%,77,70.0%
14,月亮伊布,14,2.79%,0.0%,74,74.0%
15,卡比兽,18,2.68%,0.17%,68,70.83%
16,水箭龟,35,2.54%,-0.73%,62,68.13%
17,白蓬蓬,22,2.12%,-0.77%,49,64.47%
18,魔墙人偶,14,1.84%,0.65%,49,74.24%
19,巨钳螳螂,23,1.79%,-0.64%,47,73.44%
20,怪力,24,1.73%,0.46%,41,66.13%
21,阿勃梭鲁,15,1.53%,0.97%,38,69.09%
22,闪焰王牌,23,1.45%,0.04%,38,73.08%
23,朽木妖,21,1.4%,-0.58%,39,78.0%
23,沙奈朵,17,1.4%,-0.52%,32,64.0%
23,爆肌蚊,22,1.4%,0.43%,35,70.0%
26,勾魂眼,15,1.37%,-3.3%,31,63.27%
27,幸福蛋,15,1.28%,-1.99%,31,67.39%
27,妙蛙花,23,1.28%,-0.19%,33,71.74%
29,坚盾剑怪,16,1.26%,0.93%,27,60.0%
30,仙子伊布,22,1.23%,-0.19%,28,63.64%
31,皮可西,17,1.2%,-2.35%,28,65.12%
32,烈箭鹰,19,1.17%,-0.67%,30,71.43%
33,太阳伊布,19,1.03%,0.06%,29,78.38%
33,甲贺忍蛙,20,1.03%,0.22%,28,75.68%
35,皮卡丘,16,0.98%,0.43%,25,71.43%
36,狙射树枭,21,0.89%,-0.16%,22,68.75%
37,路卡利欧,15,0.78%,-0.53%,17,60.71%
38,烈咬陆鲨,13,0.7%,0.56%,15,60.0%
38,班基拉斯,7,0.7%,0.58%,15,60.0%
40,古月鸟,10,0.64%,-1.82%,16,69.57%
41,藏饱栗鼠,12,0.56%,0.15%,15,75.0%
42,岩殿居蟹,11,0.45%,0.12%,13,81.25%
43,胖可丁,10,0.33%,-0.17%,7,58.33%
44,喷火龙,8,0.31%,-0.3%,8,72.73%
45,甜冷美后,7,0.28%,-0.08%,9,90.0%
45,象牙猪,7,0.28%,-0.23%,8,80.0%
45,黏美龙,6,0.28%,-0.31%,3,30.0%
48,捷拉奥拉,6,0.22%,-1.45%,5,62.5%
48,多龙巴鲁托,6,0.22%,-0.08%,5,62.5%
48,快龙,5,0.22%,0.16%,5,62.5%
51,玛力露丽,4,0.14%,-0.0%,4,80.0%
51,耿鬼,5,0.14%,0.02%,3,60.0%
53,铝钢龙,4,0.11%,-0.07%,2,50.0%
