排名,名称,使用人数,使用率,使用率变化,胜场数,胜率
1,火焰鸡,78,9.39%,-0.12%,421,69.24%
2,巨钳螳螂,78,9.07%,0.21%,397,67.63%
3,梦幻,77,8.44%,-0.66%,395,72.34%
4,嘟嘟利,49,6.47%,3.4%,306,73.03%
5,叶伊布,70,5.99%,-1.13%,277,71.39%
6,千面避役,70,5.87%,1.15%,270,71.05%
7,朽木妖,66,5.75%,0.74%,272,73.12%
8,索罗亚克,62,5.36%,-1.49%,244,70.32%
9,谜拟丘,61,5.1%,0.71%,225,68.18%
10,水箭龟,64,4.65%,0.2%,222,73.75%
11,路卡利欧,62,4.56%,0.97%,217,73.56%
12,甜冷美后,53,4.48%,1.41%,209,72.07%
13,暴鲤龙,62,4.33%,-0.23%,197,70.36%
14,月亮伊布,58,4.29%,0.71%,203,73.02%
15,冰伊布,54,3.24%,0.51%,149,70.95%
16,胡帕,43,3.21%,0.99%,144,69.23%
17,快龙,40,3.03%,0.29%,141,71.94%
18,仙子伊布,68,2.95%,0.13%,144,75.39%
19,幸福蛋,46,2.83%,0.07%,124,67.76%
20,太阳伊布,49,2.07%,-0.81%,88,65.67%
21,白蓬蓬,47,2.04%,-1.5%,99,75.0%
22,藏饱栗鼠,13,1.99%,0.59%,89,68.99%
23,岩殿居蟹,42,1.87%,-0.39%,81,66.94%
23,水晶灯火灵,40,1.87%,0.08%,92,76.03%
25,魔墙人偶,27,1.84%,0.93%,99,83.19%
26,妖火红狐,41,1.65%,-0.84%,78,72.9%
27,坚盾剑怪,46,1.64%,-0.05%,76,71.7%
28,魔幻假面喵,33,1.61%,-0.63%,66,63.46%
29,武道熊师,37,1.54%,0.27%,76,76.0%
29,烈箭鹰,22,1.54%,-0.59%,69,69.0%
31,花疗环环,31,1.48%,-0.18%,66,68.75%
31,阿勃梭鲁,26,1.48%,0.1%,72,75.0%
33,捷拉奥拉,24,1.47%,0.73%,70,73.68%
34,列阵兵,13,1.37%,-0.58%,58,65.17%
35,妙蛙花,37,1.36%,-0.11%,65,73.86%
36,怪力,29,1.34%,-0.23%,60,68.97%
37,闪焰王牌,23,1.33%,-0.44%,61,70.93%
38,狙射树枭,35,1.16%,0.39%,54,72.0%
39,爆肌蚊,24,1.13%,0.64%,56,76.71%
40,呆壳兽,32,1.08%,0.01%,51,72.86%
41,勾魂眼,16,0.91%,0.47%,47,79.66%
42,烈咬陆鲨,22,0.82%,0.03%,41,77.36%
43,象牙猪,24,0.79%,0.07%,35,68.63%
44,皮卡丘,35,0.77%,-0.09%,32,64.0%
45,古月鸟,22,0.76%,0.2%,35,71.43%
46,甲贺忍蛙,21,0.74%,-0.5%,29,60.42%
46,胖可丁,9,0.74%,-0.13%,33,68.75%
48,沙奈朵,25,0.7%,-0.43%,33,73.33%
49,巨金怪,16,0.66%,-0.0%,29,67.44%
50,喷火龙,16,0.59%,0.16%,29,76.32%
51,卡比兽,12,0.57%,0.01%,30,81.08%
52,玛力露丽,14,0.54%,-0.08%,23,65.71%
53,耿鬼,17,0.51%,0.09%,23,69.7%
54,多龙巴鲁托,11,0.49%,-0.12%,23,71.88%
55,皮可西,11,0.39%,-0.12%,17,68.0%
56,黏美龙,14,0.36%,0.16%,19,82.61%
57,阿罗拉九尾,13,0.34%,0.04%,17,77.27%
58,班基拉斯,12,0.31%,-0.1%,14,70.0%
59,拉普拉斯,11,0.2%,0.01%,12,92.31%
60,铝钢龙,3,0.06%,-0.09%,2,50.0%
