排名,名称,使用人数,使用率,使用率变化,胜场数,胜率
1,苍响,66,13.5%,0.0%,277,77.37%
2,武道熊师,55,12.03%,0.0%,238,74.61%
3,谜拟丘,57,7.88%,0.0%,141,67.46%
4,密勒顿,48,7.5%,0.0%,136,68.34%
5,甜冷美后,47,6.71%,0.0%,136,76.4%
6,达克莱伊,47,6.64%,0.0%,126,71.59%
7,火焰鸡,54,6.22%,0.0%,126,76.36%
8,月亮伊布,45,5.62%,0.0%,95,63.76%
9,幸福蛋,31,5.54%,0.0%,108,73.47%
9,烈咬陆鲨,40,5.54%,0.0%,101,68.71%
11,巨锻匠,9,5.32%,0.0%,95,67.38%
12,索罗亚克,37,4.52%,0.0%,82,68.33%
13,嘟嘟利,35,4.11%,0.0%,82,75.23%
14,可达鸭,27,3.54%,0.0%,79,84.04%
15,梦幻,28,3.47%,0.0%,62,67.39%
16,路卡利欧,33,3.13%,0.0%,65,78.31%
17,怪力,22,2.94%,0.0%,49,62.82%
18,叶伊布,27,2.83%,0.0%,47,62.67%
19,超梦Y,23,2.75%,0.0%,48,65.75%
20,苍炎刃鬼,31,2.68%,0.0%,48,67.61%
21,巨钳螳螂,23,2.53%,0.0%,47,70.15%
22,白蓬蓬,18,2.45%,0.0%,43,66.15%
23,朽木妖,23,2.26%,0.0%,46,76.67%
24,甲贺忍蛙,30,2.11%,0.0%,39,69.64%
25,阿勃梭鲁,19,1.96%,0.0%,33,63.46%
25,卡比兽,17,1.96%,0.0%,40,76.92%
27,象牙猪,15,1.92%,0.0%,36,70.59%
28,呆壳兽,21,1.77%,0.0%,27,57.45%
29,闪焰王牌,8,1.32%,0.0%,26,74.29%
30,烈箭鹰,17,1.28%,0.0%,23,67.65%
31,胡帕,13,1.21%,0.0%,26,81.25%
31,狙射树枭,8,1.21%,0.0%,23,71.88%
31,阿罗拉九尾,11,1.21%,0.0%,19,59.38%
34,千面避役,18,1.17%,0.0%,21,67.74%
35,藏饱栗鼠,16,1.13%,0.0%,21,70.0%
36,太阳伊布,15,1.09%,0.0%,16,55.17%
37,沙奈朵,9,1.06%,0.0%,22,78.57%
38,花疗环环,15,1.02%,0.0%,20,74.07%
39,皮可西,15,0.98%,0.0%,17,65.38%
40,水晶灯火灵,9,0.94%,0.0%,18,72.0%
41,耿鬼,6,0.9%,0.0%,20,83.33%
42,巨金怪,17,0.87%,0.0%,16,69.57%
43,岩殿居蟹,11,0.75%,0.0%,13,65.0%
43,魔幻假面喵,7,0.75%,0.0%,14,70.0%
45,捷拉奥拉,12,0.68%,0.0%,14,77.78%
46,红莲铠骑,13,0.6%,0.0%,10,62.5%
46,妙蛙花,9,0.6%,0.0%,13,81.25%
46,勾魂眼,4,0.6%,0.0%,9,56.25%
49,冰伊布,11,0.57%,0.0%,12,80.0%
49,水箭龟,9,0.57%,0.0%,10,66.67%
51,爆肌蚊,9,0.49%,0.0%,8,61.54%
52,班基拉斯,10,0.45%,0.0%,6,50.0%
52,暴鲤龙,10,0.45%,0.0%,11,91.67%
52,妖火红狐,6,0.45%,0.0%,7,58.33%
55,快龙,7,0.41%,0.0%,8,72.73%
56,凤王,7,0.38%,0.0%,7,70.0%
56,魔墙人偶,6,0.38%,0.0%,7,70.0%
58,皮卡丘,9,0.34%,0.0%,8,88.89%
58,坚盾剑怪,8,0.34%,0.0%,8,88.89%
60,拉普拉斯,4,0.26%,0.0%,5,71.43%
60,黏美龙,3,0.26%,0.0%,5,71.43%
62,古月鸟,5,0.23%,0.0%,4,66.67%
63,喷火龙,4,0.15%,0.0%,4,100.0%
64,玛力露丽,3,0.11%,0.0%,2,66.67%
64,仙子伊布,3,0.11%,0.0%,1,33.33%
66,多龙巴鲁托,2,0.08%,0.0%,1,50.0%
67,超梦X,1,0.04%,0.0%,1,100.0%
67,胖可丁,1,0.04%,0.0%,1,100.0%
