排名,名称,使用人数,使用率,使用率变化,胜场数,胜率
1,苍炎刃鬼,66,9.27%,2.7%,261,71.51%
2,武道熊师,59,8.89%,-1.18%,264,75.43%
3,密勒顿,55,5.61%,-1.15%,168,76.02%
4,巨锻匠,27,5.49%,0.05%,164,75.93%
5,月亮伊布,45,5.46%,0.01%,160,74.42%
6,超梦Y,38,5.36%,-0.54%,156,73.93%
7,叶伊布,47,5.15%,2.23%,155,76.35%
8,千面避役,52,5.13%,-1.36%,136,67.33%
8,烈咬陆鲨,49,5.13%,-1.01%,150,74.26%
10,谜拟丘,53,5.05%,-2.46%,147,73.87%
11,甜冷美后,42,5.03%,1.14%,139,70.2%
12,爆肌蚊,46,4.75%,0.14%,130,69.52%
13,嘟嘟利,52,4.62%,-1.01%,142,78.02%
14,水箭龟,36,4.37%,0.62%,114,66.28%
15,幸福蛋,34,4.32%,0.8%,125,73.53%
16,阿勃梭鲁,36,4.27%,1.86%,119,70.83%
17,索罗亚克,43,4.16%,-1.5%,119,72.56%
18,火焰鸡,52,4.14%,-0.13%,116,71.17%
19,白蓬蓬,24,3.99%,0.67%,123,78.34%
19,甲贺忍蛙,35,3.99%,0.79%,118,75.16%
21,巨钳螳螂,39,3.83%,0.37%,107,70.86%
22,可达鸭,31,3.17%,0.73%,95,76.0%
23,胡帕,24,2.74%,-0.47%,72,66.67%
24,梦幻,34,2.69%,-0.2%,82,77.36%
25,卡比兽,22,2.62%,0.57%,72,69.9%
26,朽木妖,35,2.51%,-0.63%,76,76.77%
27,怪力,31,2.44%,0.21%,73,76.04%
28,象牙猪,27,2.34%,0.04%,64,69.57%
29,冰伊布,31,2.11%,0.06%,59,71.08%
29,路卡利欧,32,2.11%,-0.08%,69,83.13%
31,烈箭鹰,22,2.06%,1.09%,62,76.54%
32,巨金怪,27,1.96%,-0.7%,52,67.53%
33,太阳伊布,23,1.85%,0.6%,55,75.34%
34,闪焰王牌,19,1.78%,0.45%,54,77.14%
35,狙射树枭,19,1.73%,0.26%,56,82.35%
36,达克莱伊,28,1.65%,-0.65%,36,55.38%
37,呆壳兽,21,1.4%,-0.2%,40,72.73%
38,皮可西,16,1.3%,-0.21%,42,82.35%
39,妖火红狐,13,1.22%,-0.2%,40,83.33%
40,魔幻假面喵,13,1.17%,-0.25%,33,71.74%
41,妙蛙花,17,1.09%,0.09%,35,81.4%
42,暴鲤龙,15,1.07%,0.38%,34,80.95%
42,沙奈朵,20,1.07%,-0.1%,34,80.95%
44,捷拉奥拉,15,0.99%,-0.34%,24,61.54%
44,藏饱栗鼠,16,0.99%,-0.23%,30,76.92%
46,耿鬼,14,0.94%,-0.5%,29,78.38%
46,红莲铠骑,12,0.94%,0.13%,33,89.19%
48,阿罗拉九尾,13,0.89%,0.14%,27,77.14%
49,岩殿居蟹,19,0.86%,-0.5%,22,64.71%
50,皮卡丘,19,0.84%,0.17%,25,75.76%
51,魔墙人偶,16,0.79%,0.2%,23,74.19%
52,花疗环环,18,0.76%,-0.12%,19,63.33%
53,苍响,16,0.71%,-2.75%,19,67.86%
54,水晶灯火灵,13,0.69%,0.24%,21,77.78%
55,凤王,8,0.53%,-0.35%,16,76.19%
56,坚盾剑怪,12,0.41%,-0.1%,12,75.0%
57,多龙巴鲁托,9,0.38%,0.27%,11,73.33%
57,班基拉斯,12,0.38%,-0.03%,11,73.33%
59,胖可丁,7,0.36%,0.16%,10,71.43%
59,快龙,11,0.36%,-0.06%,11,78.57%
61,仙子伊布,6,0.3%,0.18%,6,50.0%
61,勾魂眼,3,0.3%,0.14%,11,91.67%
63,喷火龙,8,0.28%,0.14%,8,72.73%
63,列阵兵,8,0.28%,-0.01%,11,100.0%
65,超梦X,6,0.15%,0.04%,5,83.33%
65,拉普拉斯,6,0.15%,-0.26%,4,66.67%
67,古月鸟,5,0.13%,-0.14%,5,100.0%
68,黏美龙,2,0.1%,-0.02%,3,75.0%
69,玛力露丽,3,0.08%,-0.01%,2,66.67%
70,铝钢龙,2,0.05%,-0.0%,2,100.0%
