排名,名称,使用人数,使用率,使用率变化,胜场数,胜率
1,千面避役,77,9.34%,-0.76%,471,73.82%
2,皮可西,50,8.12%,0.68%,404,72.79%
3,冰伊布,71,8.06%,0.68%,391,70.96%
4,路卡利欧,62,6.22%,0.37%,303,71.29%
5,水箭龟,74,6.19%,2.39%,289,68.32%
6,索罗亚克,59,6.06%,-2.34%,286,69.08%
7,岩殿居蟹,53,6.04%,4.13%,312,75.54%
8,多龙巴鲁托,39,5.62%,0.88%,275,71.61%
9,沙奈朵,44,5.6%,0.67%,279,72.85%
10,叶伊布,65,5.31%,0.13%,246,67.77%
11,火焰鸡,51,4.59%,-1.83%,227,72.29%
12,快龙,51,4.55%,0.88%,238,76.53%
12,月亮伊布,49,4.55%,1.39%,211,67.85%
14,爆肌蚊,56,4.27%,0.43%,212,72.6%
15,嘟嘟利,45,4.14%,0.29%,205,72.44%
16,朽木妖,52,3.85%,-0.09%,183,69.58%
17,梦幻,57,3.53%,-0.78%,175,72.61%
18,妙蛙花,54,3.38%,0.89%,165,71.43%
19,武道熊师,43,3.07%,1.64%,154,73.33%
20,阿勃梭鲁,34,2.85%,-0.53%,135,69.23%
21,魔墙人偶,40,2.71%,0.53%,141,76.22%
21,谜拟丘,51,2.71%,-0.16%,119,64.32%
23,太阳伊布,46,2.65%,0.57%,120,66.3%
24,白蓬蓬,36,2.56%,1.14%,132,75.43%
25,巨金怪,25,2.02%,0.79%,96,69.57%
26,胡帕,31,1.98%,-0.71%,91,67.41%
27,呆壳兽,36,1.95%,0.76%,87,65.41%
28,狙射树枭,56,1.93%,0.0%,92,69.7%
29,卡比兽,35,1.92%,-0.42%,90,68.7%
29,捷拉奥拉,27,1.92%,-0.26%,94,71.76%
31,仙子伊布,45,1.84%,-0.31%,94,74.6%
32,阿罗拉九尾,29,1.67%,0.6%,87,76.32%
33,勾魂眼,18,1.51%,0.36%,69,66.99%
34,巨钳螳螂,28,1.48%,0.61%,79,78.22%
35,幸福蛋,32,1.43%,0.05%,75,76.53%
36,烈箭鹰,27,1.38%,0.07%,63,67.02%
37,烈咬陆鲨,29,1.36%,0.27%,71,76.34%
38,魔幻假面喵,29,1.35%,-1.22%,64,69.57%
39,胖可丁,20,1.24%,0.65%,61,71.76%
40,古月鸟,31,1.17%,0.06%,50,62.5%
41,水晶灯火灵,37,1.14%,-0.45%,49,62.82%
42,怪力,31,1.11%,0.39%,56,73.68%
43,象牙猪,22,1.07%,-0.87%,46,63.01%
44,暴鲤龙,18,1.04%,0.99%,53,74.65%
45,皮卡丘,33,1.01%,0.06%,54,78.26%
46,玛力露丽,13,1.0%,0.53%,52,76.47%
47,妖火红狐,25,0.92%,-0.09%,43,68.25%
47,喷火龙,10,0.92%,0.59%,49,77.78%
49,花疗环环,28,0.91%,0.05%,45,72.58%
50,甲贺忍蛙,24,0.88%,0.34%,41,68.33%
51,闪焰王牌,22,0.82%,-0.03%,44,78.57%
52,坚盾剑怪,19,0.79%,0.16%,37,68.52%
53,黏美龙,17,0.75%,0.42%,39,76.47%
54,拉普拉斯,29,0.54%,-0.08%,21,56.76%
55,甜冷美后,16,0.41%,-0.5%,19,67.86%
56,铝钢龙,6,0.38%,0.23%,22,84.62%
57,班基拉斯,8,0.35%,-0.22%,17,70.83%
58,耿鬼,8,0.34%,-0.81%,18,78.26%
59,藏饱栗鼠,9,0.13%,0.03%,7,77.78%
