排名,名称,使用人数,使用率,使用率变化,胜场数,胜率
1,火焰鸡,63,10.53%,-0.61%,244,72.62%
2,古月鸟,48,6.99%,-3.23%,161,72.2%
3,甜冷美后,42,6.71%,3.13%,156,72.9%
4,仙子伊布,53,6.27%,1.5%,131,65.5%
5,朽木妖,50,5.7%,-1.62%,130,71.43%
6,嘟嘟利,45,5.42%,0.07%,128,73.99%
7,列阵兵,32,5.2%,-1.08%,135,81.33%
8,月亮伊布,42,5.08%,-1.81%,109,67.28%
9,胡帕,33,5.05%,0.69%,114,70.81%
10,巨钳螳螂,37,4.89%,-1.44%,102,65.38%
11,白蓬蓬,26,4.7%,0.64%,112,74.67%
11,路卡利欧,43,4.7%,-0.46%,106,70.67%
13,索罗亚克,43,4.67%,-1.27%,106,71.14%
14,幸福蛋,25,4.64%,-0.11%,84,56.76%
15,叶伊布,44,4.61%,-0.48%,95,64.63%
16,快龙,37,4.51%,0.81%,103,71.53%
17,千面避役,41,4.48%,1.2%,105,73.43%
18,魔墙人偶,25,3.73%,0.64%,81,68.07%
19,梦幻,40,3.38%,0.64%,73,67.59%
20,魔幻假面喵,18,3.23%,1.65%,77,74.76%
21,暴鲤龙,36,3.17%,0.56%,67,66.34%
21,太阳伊布,35,3.17%,1.02%,71,70.3%
23,谜拟丘,43,3.13%,-0.88%,62,62.0%
24,巨金怪,39,3.1%,-0.26%,71,71.72%
25,坚盾剑怪,33,2.82%,0.22%,69,76.67%
26,班基拉斯,29,2.35%,0.04%,46,61.33%
27,妙蛙花,21,2.23%,1.25%,47,66.2%
28,象牙猪,23,2.19%,0.51%,44,62.86%
29,闪焰王牌,20,2.16%,1.34%,49,71.01%
30,水箭龟,27,1.91%,-0.25%,40,65.57%
31,沙奈朵,18,1.88%,0.23%,43,71.67%
32,卡比兽,18,1.75%,0.15%,41,73.21%
33,冰伊布,27,1.72%,0.51%,39,70.91%
34,花疗环环,17,1.69%,0.38%,38,70.37%
35,爆肌蚊,23,1.5%,0.48%,34,70.83%
36,岩殿居蟹,26,1.28%,-0.49%,29,70.73%
37,烈咬陆鲨,18,1.25%,-0.04%,29,72.5%
38,妖火红狐,22,1.19%,-0.0%,27,71.05%
39,阿勃梭鲁,20,1.13%,-0.43%,28,77.78%
40,捷拉奥拉,18,1.07%,-0.54%,24,70.59%
41,呆壳兽,18,1.03%,-0.67%,20,60.61%
41,武道熊师,18,1.03%,-0.6%,26,78.79%
43,怪力,17,0.97%,-0.17%,16,51.61%
44,狙射树枭,12,0.91%,0.2%,23,79.31%
45,甲贺忍蛙,16,0.81%,-0.23%,20,76.92%
46,皮卡丘,16,0.75%,0.27%,19,79.17%
46,勾魂眼,12,0.75%,0.51%,17,70.83%
48,水晶灯火灵,11,0.66%,-0.41%,17,80.95%
49,烈箭鹰,13,0.63%,-0.2%,17,85.0%
50,喷火龙,12,0.6%,0.23%,14,73.68%
51,多龙巴鲁托,4,0.47%,-0.09%,12,80.0%
51,皮可西,9,0.47%,-0.41%,12,80.0%
51,铝钢龙,7,0.47%,0.3%,7,46.67%
54,耿鬼,7,0.44%,0.32%,11,78.57%
55,黏美龙,9,0.41%,-0.3%,7,53.85%
55,阿罗拉九尾,9,0.41%,0.09%,11,84.62%
57,玛力露丽,4,0.28%,-0.03%,6,66.67%
57,胖可丁,7,0.28%,-0.01%,6,66.67%
59,拉普拉斯,6,0.25%,-0.11%,4,50.0%
60,藏饱栗鼠,5,0.19%,-1.3%,6,100.0%
