排名,名称,使用人数,使用率,使用率变化,胜场数,胜率
1,火焰鸡,71,11.27%,2.24%,330,70.36%
2,苍响,49,7.83%,4.01%,242,74.23%
3,武道熊师,59,7.64%,-1.37%,237,74.53%
4,达克莱伊,57,7.55%,1.77%,227,72.29%
5,谜拟丘,66,7.43%,1.26%,205,66.34%
6,密勒顿,63,7.16%,1.23%,218,73.15%
7,可达鸭,32,5.86%,2.08%,194,79.51%
8,索罗亚克,50,5.5%,-0.49%,156,68.12%
9,月亮伊布,49,5.34%,0.09%,149,67.12%
10,梦幻,49,5.26%,1.05%,151,68.95%
11,叶伊布,57,4.73%,-1.64%,136,69.04%
12,甲贺忍蛙,40,3.87%,0.53%,122,75.78%
13,幸福蛋,37,3.82%,0.09%,114,71.7%
14,超梦Y,37,3.77%,-0.72%,98,62.42%
15,烈咬陆鲨,50,3.73%,-0.11%,111,71.61%
16,嘟嘟利,43,3.53%,-0.27%,97,65.99%
17,路卡利欧,48,2.96%,-1.23%,88,71.54%
18,甜冷美后,44,2.81%,-0.17%,82,70.09%
19,怪力,45,2.76%,0.42%,81,70.43%
20,朽木妖,31,2.38%,-0.29%,70,70.71%
20,阿勃梭鲁,32,2.38%,-1.31%,69,69.7%
22,藏饱栗鼠,24,2.36%,0.45%,76,77.55%
23,苍炎刃鬼,37,2.21%,-1.03%,65,70.65%
24,冰伊布,28,1.95%,-0.49%,64,79.01%
24,呆壳兽,27,1.95%,-0.02%,55,67.9%
26,千面避役,34,1.9%,0.15%,55,69.62%
27,白蓬蓬,28,1.87%,0.37%,56,71.79%
27,捷拉奥拉,32,1.87%,-0.39%,54,69.23%
29,妙蛙花,20,1.63%,0.06%,44,64.71%
30,太阳伊布,24,1.61%,-0.48%,51,76.12%
30,魔幻假面喵,7,1.61%,0.86%,38,56.72%
30,岩殿居蟹,22,1.61%,0.77%,46,68.66%
33,卡比兽,21,1.54%,-0.14%,49,76.56%
34,阿罗拉九尾,19,1.51%,0.14%,43,68.25%
35,象牙猪,23,1.39%,0.33%,43,74.14%
35,巨钳螳螂,21,1.39%,0.62%,43,74.14%
37,胡帕,19,1.27%,-0.34%,35,66.04%
38,红莲铠骑,16,1.11%,0.35%,34,73.91%
39,花疗环环,20,0.99%,0.15%,28,68.29%
39,坚盾剑怪,11,0.99%,0.51%,29,70.73%
41,快龙,14,0.84%,0.34%,28,80.0%
42,巨金怪,17,0.77%,-0.05%,25,78.12%
43,皮可西,11,0.72%,0.17%,20,66.67%
44,凤王,13,0.67%,-0.03%,18,64.29%
45,仙子伊布,17,0.6%,-0.46%,22,88.0%
46,拉普拉斯,13,0.58%,-0.45%,20,83.33%
47,班基拉斯,8,0.53%,-0.31%,13,59.09%
47,爆肌蚊,14,0.53%,-0.23%,17,77.27%
47,沙奈朵,13,0.53%,-0.79%,19,86.36%
47,烈箭鹰,15,0.53%,-0.31%,15,68.18%
47,魔墙人偶,10,0.53%,0.05%,14,63.64%
52,皮卡丘,16,0.5%,-0.51%,16,76.19%
53,闪焰王牌,8,0.46%,-0.07%,15,78.95%
53,耿鬼,8,0.46%,-0.06%,13,68.42%
55,黏美龙,12,0.43%,-0.12%,13,72.22%
56,水箭龟,13,0.36%,-0.39%,11,73.33%
56,暴鲤龙,12,0.36%,-0.48%,15,100.0%
58,超梦X,7,0.34%,0.25%,14,100.0%
59,狙射树枭,7,0.31%,-0.13%,10,76.92%
59,勾魂眼,6,0.31%,-0.12%,6,46.15%
59,古月鸟,6,0.31%,0.23%,9,69.23%
62,列阵兵,7,0.29%,-0.47%,7,58.33%
63,玛力露丽,6,0.24%,-0.27%,5,50.0%
63,喷火龙,6,0.24%,-0.34%,8,80.0%
65,水晶灯火灵,8,0.22%,0.03%,7,77.78%
66,妖火红狐,7,0.19%,-0.01%,7,87.5%
67,胖可丁,4,0.12%,-0.21%,5,100.0%
68,铝钢龙,4,0.1%,0.06%,2,50.0%
69,多龙巴鲁托,2,0.05%,-0.02%,1,50.0%
