排名,名称,使用人数,使用率,使用率变化,胜场数,胜率
1,阿罗拉雷丘,74,10.97%,-16.7%,564,76.01%
2,叶伊布,64,6.3%,-0.02%,311,73.0%
3,水君,60,6.0%,-1.16%,309,76.11%
4,捷拉奥拉,71,5.96%,-4.52%,281,69.73%
5,烈箭鹰,80,5.93%,0.31%,259,64.59%
6,阿勃梭鲁,71,5.85%,-0.12%,278,70.2%
7,苍响,55,5.54%,1.21%,268,71.47%
8,千面避役,71,5.37%,2.87%,244,67.22%
9,魔幻假面喵,48,5.35%,-0.91%,260,71.82%
10,爆肌蚊,68,4.77%,4.2%,229,70.9%
11,月亮伊布,64,4.52%,2.44%,218,71.24%
12,暴鲤龙,61,4.39%,2.24%,196,65.99%
13,幸福蛋,47,4.2%,-3.09%,200,70.42%
14,超梦Y,64,4.01%,1.99%,194,71.59%
15,甜冷美后,52,3.87%,1.49%,183,69.85%
16,甲贺忍蛙,53,3.56%,1.72%,182,75.52%
17,索罗亚克,59,3.09%,1.42%,145,69.38%
18,可达鸭,45,2.93%,1.5%,150,75.76%
19,火焰鸡,58,2.78%,1.91%,131,69.68%
20,坚盾剑怪,48,2.7%,1.73%,123,67.21%
21,巨钳螳螂,40,2.65%,1.35%,133,74.3%
22,卡比兽,46,2.63%,1.13%,129,72.47%
23,嘟嘟利,41,2.47%,1.53%,119,71.26%
24,妙蛙花,39,2.31%,2.12%,115,73.72%
25,巨金怪,48,2.26%,0.01%,96,62.75%
26,胡帕,33,2.13%,0.73%,108,75.0%
27,伽勒尔烈焰马,31,2.04%,1.92%,102,73.91%
28,象牙猪,38,2.01%,0.58%,98,72.06%
28,耿鬼,38,2.01%,-0.4%,105,77.21%
30,武道熊师,44,1.92%,1.27%,98,75.38%
31,朽木妖,43,1.91%,-0.59%,84,65.12%
32,路卡利欧,36,1.68%,0.77%,90,78.95%
33,闪焰王牌,22,1.64%,-0.05%,85,76.58%
34,快龙,37,1.61%,1.48%,90,82.57%
35,花疗环环,32,1.58%,-1.53%,74,69.16%
36,谜拟丘,35,1.52%,0.71%,74,71.84%
37,达克莱伊,38,1.51%,0.23%,69,67.65%
38,梦幻,34,1.46%,0.65%,69,69.7%
39,怪力,32,1.27%,0.29%,54,62.79%
40,水箭龟,29,1.2%,0.67%,59,72.84%
40,苍炎刃鬼,32,1.2%,-0.03%,56,69.14%
42,冰伊布,29,1.14%,0.39%,52,67.53%
43,烈咬陆鲨,31,1.09%,0.47%,50,67.57%
44,白蓬蓬,22,1.08%,0.56%,57,78.08%
45,皮可西,21,0.95%,0.42%,45,70.31%
46,密勒顿,25,0.92%,0.69%,44,70.97%
46,拉普拉斯,16,0.92%,0.71%,44,70.97%
48,狙射树枭,29,0.84%,-0.03%,34,59.65%
49,呆壳兽,28,0.8%,-0.42%,30,55.56%
50,皮卡丘,24,0.75%,-0.29%,30,58.82%
51,喷火龙,10,0.68%,0.36%,30,65.22%
52,魔墙人偶,22,0.67%,0.41%,32,71.11%
53,太阳伊布,20,0.62%,0.42%,30,71.43%
54,凤王,21,0.56%,0.36%,25,65.79%
54,勾魂眼,6,0.56%,0.34%,27,71.05%
56,多龙巴鲁托,24,0.46%,0.29%,18,58.06%
56,妖火红狐,15,0.46%,0.26%,24,77.42%
58,班基拉斯,9,0.44%,0.35%,19,63.33%
59,列阵兵,16,0.41%,0.02%,24,85.71%
60,岩殿居蟹,17,0.38%,0.17%,21,80.77%
61,红莲铠骑,13,0.37%,0.16%,19,76.0%
62,玛力露丽,11,0.35%,0.09%,18,75.0%
63,沙奈朵,12,0.33%,0.17%,17,77.27%
64,仙子伊布,10,0.31%,0.22%,16,76.19%
65,阿罗拉九尾,12,0.27%,0.11%,12,66.67%
66,水晶灯火灵,11,0.22%,0.02%,7,46.67%
67,巨锻匠,10,0.21%,-0.04%,9,64.29%
68,胖可丁,10,0.15%,-0.19%,9,90.0%
69,古月鸟,6,0.12%,-0.07%,4,50.0%
70,黏美龙,4,0.1%,-0.1%,6,85.71%
71,藏饱栗鼠,3,0.07%,-0.36%,3,60.0%
72,超梦X,4,0.06%,-0.14%,3,75.0%
73,铝钢龙,3,0.04%,0.02%,2,66.67%
