排名,名称,使用人数,使用率,使用率变化,胜场数,胜率
1,甜冷美后,78,8.94%,0.66%,493,75.61%
2,伽勒尔烈焰马,23,7.93%,0.0%,450,77.85%
3,武道熊师,74,7.13%,-1.84%,367,70.58%
4,甲贺忍蛙,75,6.65%,1.16%,351,72.37%
5,坚盾剑怪,81,6.39%,-1.28%,313,67.17%
6,索罗亚克,69,6.14%,1.0%,305,68.08%
7,幸福蛋,56,5.27%,-1.36%,300,78.12%
8,火焰鸡,66,5.09%,0.77%,281,75.74%
9,烈咬陆鲨,70,4.55%,0.25%,241,72.59%
9,苍响,56,4.55%,-1.99%,230,69.28%
11,超梦Y,62,3.94%,0.11%,213,74.22%
12,巨锻匠,36,3.62%,2.16%,215,81.44%
13,谜拟丘,68,3.61%,1.01%,183,69.58%
14,月亮伊布,48,3.57%,0.86%,184,70.77%
15,密勒顿,61,3.4%,-0.65%,166,66.94%
16,苍炎刃鬼,58,3.37%,-2.37%,180,73.17%
17,怪力,53,3.03%,0.76%,154,69.68%
18,嘟嘟利,58,2.92%,0.28%,152,71.36%
19,可达鸭,32,2.84%,-0.44%,161,77.78%
20,巨钳螳螂,39,2.78%,0.38%,144,70.94%
21,阿勃梭鲁,50,2.62%,-2.02%,135,70.68%
22,路卡利欧,48,2.45%,-1.01%,127,70.95%
23,千面避役,49,2.43%,-0.34%,124,70.06%
24,水箭龟,49,2.34%,0.2%,125,73.1%
25,朽木妖,42,2.04%,-0.33%,114,76.51%
26,爆肌蚊,43,1.95%,-0.42%,89,62.68%
27,冰伊布,38,1.92%,0.42%,106,75.71%
28,花疗环环,40,1.71%,-0.74%,83,66.4%
29,胡帕,25,1.7%,0.39%,86,69.35%
30,太阳伊布,27,1.59%,0.72%,88,75.86%
30,叶伊布,42,1.59%,-0.39%,92,79.31%
32,梦幻,31,1.56%,0.43%,83,72.81%
33,烈箭鹰,34,1.25%,-0.15%,61,67.03%
34,巨金怪,39,1.22%,0.24%,58,65.17%
35,白蓬蓬,30,1.21%,-1.38%,71,80.68%
36,卡比兽,25,1.18%,-0.33%,65,75.58%
37,捷拉奥拉,31,1.15%,0.47%,56,66.67%
38,耿鬼,20,1.14%,0.09%,51,61.45%
39,达克莱伊,29,1.12%,-1.8%,64,78.05%
40,呆壳兽,34,1.11%,0.18%,55,67.9%
41,沙奈朵,30,1.04%,-0.3%,59,77.63%
42,闪焰王牌,30,0.96%,-1.83%,56,80.0%
43,象牙猪,31,0.9%,-0.14%,47,71.21%
43,阿罗拉九尾,19,0.9%,0.39%,50,75.76%
45,狙射树枭,31,0.77%,-0.82%,44,78.57%
45,岩殿居蟹,18,0.77%,0.3%,40,71.43%
47,妙蛙花,19,0.69%,0.2%,34,68.0%
48,多龙巴鲁托,5,0.6%,-0.09%,30,68.18%
49,喷火龙,21,0.55%,0.33%,26,65.0%
50,妖火红狐,15,0.53%,-0.36%,33,84.62%
51,皮卡丘,21,0.49%,-0.28%,20,55.56%
52,列阵兵,5,0.47%,0.39%,30,88.24%
52,暴鲤龙,17,0.47%,-0.06%,26,76.47%
54,皮可西,19,0.45%,-0.56%,24,72.73%
55,魔墙人偶,16,0.44%,-0.35%,25,78.12%
56,红莲铠骑,13,0.41%,-0.15%,17,56.67%
57,水晶灯火灵,16,0.4%,0.15%,23,79.31%
58,魔幻假面喵,16,0.38%,-0.59%,18,64.29%
59,仙子伊布,8,0.37%,0.07%,21,77.78%
59,胖可丁,10,0.37%,-0.09%,16,59.26%
61,凤王,14,0.3%,0.01%,19,86.36%
62,藏饱栗鼠,7,0.27%,-0.27%,12,60.0%
62,超梦X,9,0.27%,0.12%,15,75.0%
64,黏美龙,10,0.26%,-0.32%,16,84.21%
65,勾魂眼,12,0.23%,0.0%,8,47.06%
66,快龙,13,0.22%,-0.28%,8,50.0%
67,拉普拉斯,10,0.19%,-0.01%,9,64.29%
67,玛力露丽,7,0.19%,-0.09%,8,57.14%
69,班基拉斯,9,0.16%,-0.05%,8,66.67%
70,古月鸟,9,0.12%,0.0%,5,55.56%
71,铝钢龙,3,0.05%,0.03%,0,0.0%
