排名,名称,使用人数,使用率,使用率变化,胜场数,胜率
1,火焰鸡,145,15.15%,0.34%,1156,75.8%
2,皮可西,91,6.57%,4.6%,492,74.43%
3,伽勒尔烈焰马,65,5.97%,3.27%,449,74.71%
4,路卡利欧,101,5.1%,3.52%,372,72.51%
5,索罗亚克,87,4.82%,0.19%,338,69.69%
6,水君,56,4.41%,0.52%,331,74.55%
7,千面避役,99,4.32%,-2.43%,323,74.25%
8,烈箭鹰,55,3.89%,0.68%,297,75.96%
9,阿勃梭鲁,85,3.82%,-0.93%,286,74.48%
10,甜冷美后,89,3.44%,-2.54%,249,71.97%
11,甲贺忍蛙,68,3.23%,1.34%,259,79.69%
12,坚盾剑怪,71,3.22%,-2.14%,225,69.44%
13,花疗环环,53,3.18%,2.29%,241,75.31%
14,卡比兽,64,3.15%,-1.75%,231,72.87%
15,叶伊布,82,3.05%,-5.82%,227,73.94%
16,幸福蛋,57,3.02%,1.32%,235,77.3%
17,烈咬陆鲨,81,2.9%,-2.54%,220,75.34%
18,爆肌蚊,63,2.68%,0.41%,195,72.22%
19,嘟嘟利,64,2.63%,-2.77%,194,73.21%
20,苍炎刃鬼,46,2.58%,-0.46%,196,75.38%
21,梦幻,75,2.52%,0.98%,182,71.65%
22,捷拉奥拉,51,2.49%,0.95%,184,73.31%
22,月亮伊布,82,2.49%,-0.51%,182,72.51%
24,闪焰王牌,54,2.47%,1.36%,188,75.5%
25,玛力露丽,37,2.17%,-2.38%,167,76.61%
26,超梦Y,63,1.96%,-5.1%,144,73.1%
27,耿鬼,34,1.95%,-1.87%,148,75.51%
28,快龙,21,1.74%,1.39%,149,85.14%
29,怪力,52,1.7%,-0.07%,139,81.29%
30,苍响,46,1.69%,-1.32%,120,70.59%
31,可达鸭,44,1.64%,-1.25%,140,84.85%
32,水箭龟,52,1.63%,-0.95%,125,76.22%
33,仙子伊布,46,1.62%,1.27%,118,72.39%
34,巨钳螳螂,50,1.51%,0.82%,112,73.68%
35,巨金怪,50,1.44%,-1.76%,108,74.48%
36,胡帕,36,1.38%,-0.86%,107,76.98%
36,冰伊布,34,1.38%,0.11%,114,82.01%
38,达克莱伊,46,1.31%,-0.35%,96,72.73%
39,武道熊师,55,1.19%,-0.35%,89,74.17%
40,列阵兵,10,1.06%,0.68%,82,76.64%
41,魔幻假面喵,22,1.04%,-2.58%,81,77.14%
42,谜拟丘,50,1.0%,-1.62%,79,78.22%
43,象牙猪,45,0.88%,-0.93%,69,77.53%
43,沙奈朵,17,0.88%,0.61%,60,67.42%
45,朽木妖,47,0.85%,-0.07%,63,73.26%
46,巨锻匠,22,0.8%,0.38%,60,74.07%
47,白蓬蓬,38,0.77%,-0.58%,54,70.13%
48,密勒顿,36,0.71%,-2.23%,52,73.24%
49,皮卡丘,19,0.65%,0.41%,48,73.85%
50,阿罗拉雷丘,26,0.58%,-1.27%,38,65.52%
51,呆壳兽,26,0.57%,-0.32%,38,66.67%
52,太阳伊布,20,0.56%,-0.48%,40,71.43%
53,狙射树枭,24,0.54%,0.04%,40,74.07%
54,喷火龙,14,0.46%,-0.28%,27,58.7%
55,藏饱栗鼠,24,0.44%,0.28%,28,63.64%
56,班基拉斯,14,0.42%,0.03%,26,61.9%
57,多龙巴鲁托,10,0.4%,0.13%,28,70.0%
57,魔墙人偶,21,0.4%,-0.34%,27,67.5%
59,凤王,22,0.37%,-0.17%,26,70.27%
59,勾魂眼,17,0.37%,-0.52%,27,72.97%
61,红莲铠骑,23,0.34%,-0.59%,28,82.35%
62,拉普拉斯,25,0.32%,-1.07%,23,71.88%
63,妖火红狐,20,0.3%,0.03%,27,90.0%
64,岩殿居蟹,18,0.29%,-1.72%,18,62.07%
65,妙蛙花,20,0.26%,-1.4%,20,76.92%
66,阿罗拉九尾,14,0.25%,0.02%,18,72.0%
67,古月鸟,17,0.24%,-0.07%,15,62.5%
68,暴鲤龙,15,0.22%,-0.21%,19,86.36%
69,胖可丁,9,0.13%,-0.03%,9,69.23%
69,水晶灯火灵,9,0.13%,-0.1%,10,76.92%
69,黏美龙,6,0.13%,-0.03%,6,46.15%
72,超梦X,8,0.11%,-0.12%,7,63.64%
73,铝钢龙,5,0.05%,0.01%,4,80.0%
