排名,名称,使用人数,使用率,使用率变化,胜场数,胜率
1,超级路卡利欧,103,14.27%,-12.26%,759,73.9%
2,超级喷火龙X,29,11.08%,1.78%,590,74.03%
3,达克莱伊,82,6.44%,-3.72%,329,71.06%
4,路卡利欧,66,6.02%,1.16%,298,68.82%
5,火焰鸡,75,5.8%,-1.41%,272,65.23%
6,嘟嘟利,61,5.21%,2.61%,275,73.33%
7,拉帝亚斯,52,4.81%,2.45%,255,73.7%
8,耿鬼,48,4.59%,0.12%,221,66.97%
9,苍响,44,3.93%,1.26%,192,67.84%
10,甜冷美后,62,3.6%,1.59%,187,72.2%
11,闪焰王牌,59,3.59%,0.6%,194,75.19%
12,阿罗拉雷丘,55,3.56%,0.81%,184,71.88%
13,拉帝欧斯,60,3.54%,2.17%,176,69.02%
14,索罗亚克,63,3.38%,0.46%,168,69.14%
15,水君,50,3.27%,0.06%,162,68.94%
16,梦幻,60,3.25%,0.53%,158,67.52%
17,叶伊布,60,3.21%,0.18%,157,67.97%
18,月亮伊布,47,2.88%,0.22%,152,73.43%
19,烈箭鹰,52,2.86%,0.13%,132,64.08%
20,密勒顿,48,2.59%,0.44%,126,67.74%
21,幸福蛋,37,2.39%,-1.57%,109,63.37%
22,花疗环环,36,2.36%,-0.61%,136,80.0%
23,水箭龟,44,2.28%,0.75%,120,73.17%
24,爆肌蚊,44,2.0%,0.73%,83,57.64%
25,皮可西,35,1.99%,-0.76%,105,73.43%
26,朽木妖,37,1.96%,0.23%,102,72.34%
27,甲贺忍蛙,47,1.71%,-0.05%,84,68.29%
27,卡比兽,30,1.71%,-0.72%,86,69.92%
29,象牙猪,15,1.61%,1.01%,86,74.14%
30,谜拟丘,33,1.58%,0.85%,86,75.44%
31,巨钳螳螂,30,1.56%,0.88%,85,75.89%
32,武道熊师,39,1.45%,0.56%,72,69.23%
33,沙奈朵,27,1.43%,0.28%,76,73.79%
34,岩殿居蟹,27,1.39%,0.27%,68,68.0%
35,呆壳兽,32,1.2%,0.47%,60,69.77%
36,捷拉奥拉,28,1.14%,0.18%,52,63.41%
37,妖火红狐,34,1.13%,-0.82%,55,67.9%
38,冰伊布,33,1.11%,-0.2%,56,70.0%
39,胡帕,22,1.01%,-0.2%,52,71.23%
40,巴布土拨,23,1.0%,-0.04%,41,56.94%
41,喷火龙,29,0.97%,0.56%,50,71.43%
42,阿勃梭鲁,24,0.95%,-0.18%,50,73.53%
43,帝王拿波,28,0.92%,-0.32%,49,74.24%
44,白蓬蓬,19,0.86%,-0.15%,39,62.9%
45,千面避役,29,0.85%,0.35%,40,65.57%
46,伽勒尔烈焰马,18,0.83%,0.23%,41,68.33%
47,妙蛙花,31,0.82%,-0.14%,45,76.27%
48,狙射树枭,26,0.81%,0.46%,43,74.14%
49,霜奶仙,12,0.76%,0.28%,44,80.0%
50,怪力,27,0.69%,0.35%,27,54.0%
51,太阳伊布,19,0.63%,-0.12%,29,64.44%
51,魔幻假面喵,13,0.63%,-0.0%,30,66.67%
53,可达鸭,14,0.61%,-0.11%,33,75.0%
53,巨金怪,15,0.61%,0.36%,26,59.09%
55,坚盾剑怪,28,0.58%,0.22%,27,64.29%
55,烈咬陆鲨,18,0.58%,0.29%,30,71.43%
57,苍炎刃鬼,20,0.56%,0.14%,28,70.0%
58,拉普拉斯,12,0.53%,0.19%,28,73.68%
59,魔墙人偶,14,0.43%,0.06%,24,77.42%
60,多龙巴鲁托,12,0.42%,0.16%,20,66.67%
61,超梦Y,11,0.33%,0.24%,21,87.5%
62,红莲铠骑,11,0.31%,0.04%,17,77.27%
63,凤王,10,0.24%,-0.06%,13,76.47%
63,皮卡丘,13,0.24%,-0.22%,14,82.35%
65,玛力露丽,10,0.17%,0.06%,5,41.67%
66,藏饱栗鼠,7,0.15%,-0.7%,8,72.73%
67,暴鲤龙,5,0.13%,0.03%,6,66.67%
68,仙子伊布,5,0.1%,-0.02%,4,57.14%
69,列阵兵,4,0.07%,0.03%,3,60.0%
69,超梦X,4,0.07%,0.03%,2,40.0%
69,班基拉斯,3,0.07%,-0.04%,3,60.0%
69,阿罗拉九尾,5,0.07%,-0.25%,5,100.0%
73,巨锻匠,4,0.06%,-0.12%,1,25.0%
73,勾魂眼,3,0.06%,-0.04%,3,75.0%
73,快龙,4,0.06%,-1.09%,2,50.0%
73,水晶灯火灵,3,0.06%,-0.06%,4,100.0%
77,古月鸟,3,0.04%,0.03%,2,66.67%
77,胖可丁,2,0.04%,-0.05%,2,66.67%
79,铝钢龙,2,0.03%,0.0%,1,50.0%
79,黏美龙,1,0.03%,-0.05%,1,50.0%
