排名,名称,使用人数,使用率,使用率变化,胜场数,胜率
1,梦幻,57,8.44%,2.24%,225,69.44%
2,火焰鸡,67,7.42%,-0.72%,187,65.61%
3,路卡利欧,53,7.39%,-0.92%,196,69.01%
4,巴布土拨,44,6.85%,1.82%,191,72.62%
5,阿罗拉雷丘,48,6.64%,-1.85%,194,76.08%
6,武道熊师,54,6.56%,-1.67%,183,72.62%
7,甜冷美后,56,6.38%,-0.65%,182,74.29%
8,苍响,54,5.88%,0.17%,178,78.76%
9,嘟嘟利,47,5.81%,-1.05%,160,71.75%
10,闪焰王牌,45,5.26%,2.8%,142,70.3%
11,水箭龟,41,4.87%,0.78%,141,75.4%
12,帝王拿波,31,4.82%,2.76%,147,79.46%
13,妙蛙花,44,4.48%,1.79%,131,76.16%
14,索罗亚克,50,4.32%,-2.62%,119,71.69%
15,皮可西,24,4.06%,-0.11%,109,69.87%
16,叶伊布,47,3.54%,-1.2%,99,72.79%
17,卡比兽,20,3.46%,-0.79%,85,63.91%
18,拉帝欧斯,48,3.41%,0.21%,98,74.81%
19,超级路卡利欧,8,3.15%,3.06%,93,76.86%
20,谜拟丘,22,2.89%,-0.57%,75,67.57%
21,白蓬蓬,20,2.84%,-0.91%,79,72.48%
21,密勒顿,32,2.84%,1.27%,74,67.89%
23,爆肌蚊,39,2.81%,-0.65%,77,71.3%
24,妖火红狐,35,2.71%,-0.86%,79,75.96%
25,巨钳螳螂,33,2.63%,-0.88%,74,73.27%
26,岩殿居蟹,17,2.53%,0.9%,77,79.38%
27,朽木妖,30,2.45%,0.13%,66,70.21%
28,烈箭鹰,30,2.4%,-0.52%,73,79.35%
29,月亮伊布,33,2.37%,-0.09%,66,72.53%
30,幸福蛋,19,2.27%,0.07%,58,66.67%
31,耿鬼,21,2.24%,0.38%,58,67.44%
32,甲贺忍蛙,30,2.03%,0.29%,52,66.67%
33,胡帕,21,1.98%,0.35%,50,65.79%
34,花疗环环,30,1.95%,0.5%,63,84.0%
35,水君,22,1.85%,-0.12%,49,69.01%
36,霜奶仙,15,1.72%,0.8%,48,72.73%
37,千面避役,27,1.56%,-0.07%,33,55.0%
37,伽勒尔烈焰马,20,1.56%,-0.07%,43,71.67%
39,红莲铠骑,26,1.54%,0.11%,43,72.88%
40,冰伊布,16,1.35%,0.01%,32,61.54%
41,象牙猪,24,1.33%,0.04%,36,70.59%
42,魔幻假面喵,10,1.25%,-0.24%,35,72.92%
43,快龙,20,1.09%,0.09%,31,73.81%
43,怪力,13,1.09%,0.06%,30,71.43%
45,沙奈朵,13,1.02%,0.04%,35,89.74%
45,狙射树枭,17,1.02%,0.44%,30,76.92%
47,捷拉奥拉,21,0.96%,-0.24%,22,59.46%
48,坚盾剑怪,19,0.94%,-0.98%,24,66.67%
48,阿勃梭鲁,17,0.94%,-1.61%,24,66.67%
50,太阳伊布,21,0.91%,-0.15%,24,68.57%
51,达克莱伊,15,0.89%,-0.23%,21,61.76%
52,可达鸭,11,0.86%,-0.68%,25,75.76%
53,烈咬陆鲨,21,0.76%,-0.19%,19,65.52%
54,超梦X,7,0.6%,0.31%,17,73.91%
55,拉普拉斯,16,0.55%,0.26%,17,80.95%
56,呆壳兽,13,0.52%,-0.14%,17,85.0%
57,巨金怪,15,0.49%,0.24%,11,57.89%
58,超梦Y,9,0.44%,0.01%,11,64.71%
59,水晶灯火灵,8,0.36%,0.16%,12,85.71%
59,苍炎刃鬼,10,0.36%,-0.84%,13,92.86%
61,古月鸟,4,0.34%,0.08%,10,76.92%
62,喷火龙,7,0.31%,-0.34%,11,91.67%
62,皮卡丘,9,0.31%,0.06%,9,75.0%
62,凤王,9,0.31%,-0.2%,7,58.33%
65,勾魂眼,7,0.29%,-0.06%,8,72.73%
66,仙子伊布,6,0.26%,-0.08%,9,90.0%
67,阿罗拉九尾,8,0.21%,0.04%,6,75.0%
67,玛力露丽,6,0.21%,0.01%,7,87.5%
67,魔墙人偶,6,0.21%,0.07%,7,87.5%
70,巨锻匠,7,0.18%,-0.16%,4,57.14%
71,多龙巴鲁托,5,0.16%,0.04%,4,66.67%
72,暴鲤龙,4,0.1%,-0.5%,2,50.0%
72,铝钢龙,4,0.1%,0.02%,2,50.0%
74,班基拉斯,3,0.08%,-0.21%,2,66.67%
74,拉帝亚斯,3,0.08%,-0.24%,2,66.67%
74,黏美龙,2,0.08%,0.05%,2,66.67%
77,列阵兵,2,0.05%,-0.06%,2,100.0%
78,藏饱栗鼠,1,0.03%,-0.2%,1,100.0%
